"* Required Fields",* Câmpuri Obligatorii
"Comment",Comentariu
"Contact Form",Formular de Contact
"Contact Information",Informații de Contact
"Contact Us",Contactați-ne
"Contact Us Form",Formular Contact
"Contacts",Contacte
"Contacts Section",Secțiune Contacte
"Email",E-mail
"Email Options",Opțiuni E-mail
"Email Sender",Expeditor E-mail
"Email Template",Șablon E-mail
"Enable Contact Us",Activare Formular de Contact
"Name",Nume
"Send Emails To",Trimitere E-mailuri Către
"Submit",Trimitere
"Telephone",Telefon
"Unable to submit your request. Please, try again later",Eroare la transmiterea cererii. Încercați mai târziu.
"Your inquiry was submitted and will be responded to as soon as possible. Thank you for contacting us.",Întrebarea dvs. a fost trimisă și va primi răspuns în cel mai scurt timp. Vă mulțumim că ne-ați contactat.
