"3D Secure CAVV",CAVV 3D Secure
"3D Secure Card Validation",Validare Card 3D Secure
"3D Secure Cardholder Validation",Validare Posesor Card 3D Secure
"3D Secure Electronic Commerce Indicator",Indicator Comerț Electronic 3D Secure
"3D Secure Verification Result",Rezultat Verificare 3D Secure
"3D Secure XID",XID 3D Secure
"Card Issuer Liability",Răspundere Emitent Card
"Card Verification",Verificare Card
"Enrolled",Înscris
"Enrolled but Authentication Unavailable",Înscris dar Autentificarea e Indisponibilă
"Failed",Eșuat
"MasterCard SecureCode","MasterCard SecureCode"
"Merchant Liability",Răspundere Comerciant
"Not Enrolled",Ne-Înscris
"Order cannot be placed.",Comanda nu poate fi plasată.
"Payment information error. Please start over.",Eroare informații plată. Începeți de la început.
"Please continue with placing order.",Vă rugăm continuați cu plasarea comenzii.
"Please verify the card with the issuer bank before placing the order.",Vă rugăm verificați cardul la banca emitentă înainte de a plasa comanda.
"Please verify the card with the issuer bank:",Vă rugăm verificați cardul la banca emitentă:
"Start/Reset Validation...",Start/Resetare Validare...
"Successful",Succes
"Successful attempt",Încercare reușită
"The card has failed verification with the issuer bank.",Cardul nu a trecut de verificarea cu banca emitentă.
"There has been wrong payment information submitted or the time limit has expired. Please, try again.",Au existat informații greșite despre plată în datele trimise sau limita de timp a expirat. Vă rugăm încercați din nou.
"There has been wrong payment information submitted or time limit has expired. Please, try again.",Au existat informații greșite despre plată în datele trimise sau limita de timp a expirat. Vă rugăm încercați din nou
"This card has failed validation and cannot be used.",Acest card nu a trecut de validare și nu poate fi folosit.
"To ensure the security of your transactions",Pentru a asigura securitatea tranzacțiilor dvs.
"Unable to complete",Imposibil de finalizat
"Validation failed.",Validare eșuată.
"Verification Failed",Verificare Eșuată
"Verification Successful",Verificare Reușită
"Verification cannot be processed",Verificarea nu poate fi procesată
"Verified by Visa",Verificat de Visa
