" Select Shipping Method"," Selectare Metodă Expediere"
"<br/>Trace confirmation request:<br/>%s",<br/>Urmărire cerere confirmare:<br/>%s
"Access Key",Cheie Acces
"Access Key ID",ID Cheie Acces
"Amazon Simple Pay",Plată Simplă Amazon
"Amazon Simple Pay notification error",Eroare notificare Plată Simplă Amazon
"Amazon Simple Pay service capture confirmation error: confirmation request amount is not equal to the amount of order.",Eroare confirmare captură serviciu Plată Simplă Amazon: suma cererii de confirmare nu e egală cu suma comenzii.
"Amazon Simple Pay service capture confirmation error: the amount in the existing invoice does not match the amount in the confirmation request.",Eroare confirmare captură serviciu Plată Simplă Amazon: suma din factura existentă nu se potrivește cu suma din cererea de confirmare.
"Amazon Simple Pay service capture confirmation error: the existing transaction ID does not match the transaction ID in the confirmation request.",Eroare confirmare captură serviciu Plată Simplă Amazon: ID-ul tranzacției existente nu se potrivește cu ID-ul tranzacției din cererea de confirmare.
"Amazon Simple Pay service capture confirmation. The invoice was captured automatically.",Confirmare captură serviciu Plată Simplă Amazon. Factura a fost capturată automat.
"Amazon Simple Pay service confirmation error: order states sequence violation.",Eroare confirmare serviciu Plată Simplă Amazon: violare secvență stări comandă.
"Amazon Simple Pay service confirmation error: the order currency does not match the currency of the IPN request.",Eroare confirmare serviciu Plată Simplă Amazon: valuta comenzii nu se potrivește cu valuta cererii NPI.
"Amazon Simple Pay service confirmation error: the order specified in the IPN request cannot be found.",Eroare confirmare serviciu Plată Simplă Amazon: comanda specificată în cererea NPI nu poate fi găsită.
"Amazon Simple Pay service confirmation error: the payment method in the order is not Amazon Simple Pay.",Eroare confirmare serviciu Plată Simplă Amazon: metoda de plată a comenzii nu este Plată Simplă Amazon.
"Amazon Simple Pay service confirmed capture for invoice %s.",Captură confirmată serviciu Plată Simplă Amazon pentru factura %s.
"Amazon Simple Pay service confirmed refund for credit memo %s.",Rambursare confirmată serviciu Plată Simplă Amazon pentru memo-ul de credit %s.
"Amazon Simple Pay service has confirmed amount authorization.",Serviciul Plată Simplă Amazon a confirmat autorizarea sumei.
"Amazon Simple Pay service has confirmed cancelation.",Serviciul Plată Simplă Amazon a confirmat anularea.
"Amazon Simple Pay service has confirmed capture for invoice %s. The invoice was automatically captured.",Serviciul Plată Simplă Amazon a confirmat captura pentru factura %s. Factura va fi capturată automat.
"Amazon Simple Pay service has confirmed capture initiation.",Serviciul Plată Simplă Amazon a confirmat inițializarea capturii.
"Amazon Simple Pay service has confirmed capture.",Serviciul Plată Simplă Amazon a confirmat captura.
"Amazon Simple Pay service has confirmed payment capture. Invoice %s was automatically created after confirmation.",Serviciul Plată Simplă Amazon a confirmat captura plății. Factura %s a fost creată automat după confirmare.
"Amazon Simple Pay service has confirmed payment capture. Invoice was created automatically.",Serviciul Plată Simplă Amazon a confirmat captura plății. Factura a fost creată automat.
"Amazon Simple Pay service has confirmed payment refund. Credit memo %s was automatically created after confirmation.",Serviciul Plată Simplă Amazon a confirmat rambursarea plății. Memo-ul de credit %s a fost creat automat după confirmare.
"Amazon Simple Pay service has confirmed payment refund. Credit memo was created automatically.",Serviciul Plată Simplă Amazon a confirmat rambursarea plății. Memo-ul de credit a fost creat automat.
"Amazon Simple Pay service has confirmed payment refund. The credit memo was created automatically.",Serviciul Plată Simplă Amazon a confirmat rambursarea plății. Memo-ul de credit a fost creat automat.
"Amazon Simple Pay service has confirmed refund.",Serviciul Plată Simplă Amazon a confirmat rambursarea.
"Amazon Simple Pay service has confirmed refund. The credit memo was processed automatically.",Serviciul Plată Simplă Amazon a confirmat rambursarea. Memo-ul de credit a fost procesat automat.
"Amazon Simple Pay service has confirmed refunded credit memo %s. The credit memo was processed automatically.",Serviciul Plată Simplă Amazon a confirmat rambursarea pentru memo-ul de credit %s. Memo-ul de credit a fost procesat automat.
"Amazon Simple Pay service is not available. Payment was not processed.",Serviciul Plată Simplă Amazon nu este disponibil. Plata nu a fost procesată.
"Amazon Simple Pay service payment confirmation has failed.",Serviciul Plată Simplă Amazon a eșuat confirmarea plății.
"Amazon Simple Pay service refund confirmation error: the amount in the existing creditmemo does not match the amount in the confirmation request.",Eroare confirmare rambursare serviciu Plată Simplă Amazon: suma din memo-ul de credit existent nu se potrivește cu suma din cererea de confirmare.
"Amazon Simple Pay service refund confirmation error: the confirmation request amount does not match the order amount.",Eroare confirmare rambursare serviciu Plată Simplă Amazon: suma cererii de confirmare nu se potrivește cu suma comenzii.
"Amazon Simple Pay service refund confirmation error: the transaction ID in the existing creditmemo does not match the transaction ID in the confirmation request.",Eroare confirmare rambursare serviciu Plată Simplă Amazon: ID-ul tranzacției din memo-ul de credit existent nu se potrivește cu ID-ul tranzacției din cererea de confirmare.
"Authorize Only",Numai Autorizare
"Authorize and Capture",Autorizare și Captură
"Cancel Description",Anulare Descriere
"Cancel Order Notification received from Checkout by Amazon service.",Notificare Anulare Comandă primită de la serviciul Finalizare Comandă prin Amazon.
"Checkout by Amazon",Finalizare Comandă prin Amazon
"Continue Shopping",Continuare Cumpărături
"Customer was redirected to Amazon Simple Pay site",Clientul a fost redirecționat către site-ul Plată Simplă Amazon
"Debug",Depanare
"Debug Log",Registru Depanare
"Email Sender",Expeditor E-mail
"Enable",Activare
"Error Log",Registru Erori
"FPS Sandbox Service URI",URI Serviciu Sandbox FPS
"FPS Service URI",URI Serviciu FPS
"Immediate Return",Retur Imediat
"Invalid action code.",Cod acțiune invalid.
