"%d Catalog Price Rules based on ""%s"" attribute have been disabled.",%d Reguli Preț de Catalog bazate pe atributul "%s" nu au fost dezactivate.
"Actions",Acțiuni
"Active",Activ
"Add New Rule",Adăugare Regulă Nouă
"An error occurred while deleting the rule. Please review the log and try again.",Eroare la ștergerea regulii. Consultați registrul și încercați din nou.
"An error occurred while saving the rule data. Please review the log and try again.",Eroare la salvarea datelor regulii. Consultați registrul și încercați din nou.
"Apply",Aplicare
"Apply Rules",Aplicare Reguli
"Attribute Set",Set de Atribute
"By Fixed Amount",După Sumă Fixă
"By Percentage of the Original Price",După Procentul din Prețul Original
"Catalog","Catalog"
"Catalog Price Rule",Regulă Preț de Catalog
"Catalog Price Rules",Reguli Preț de Catalog
"Category",Categorie
"Conditions",Condiții
"Conditions (leave blank for all products)",Condiții (rămâne gol pentru toate produsele)
"Conditions Combination",Combinație Condiții
"Customer Groups",Grupuri Clienți
"Date Expire",Dată Expirare
"Date From",De la Data
"Date Start",Dată Începere
"Date To",Până la Data
"Description",Descriere
"Discount Amount",Sumă Reducere
"Edit Rule",Modificare Regulă
"Edit Rule '%s'",Modificare Regula '%s'
"Enable Discount to Subproducts",Activare Reducere pentru Subproduse
"Expiration Date",Dată Expirare
"From Date",De la Data
"General Information",Informații Generale
"ID","ID"
"Inactive",Inactiv
"New Rule",Regulă Nouă
"No",Nu
"Options",Opțiuni
"Priority",Prioritate
"Product Attribute",Atribut Produs
"Promotions",Promoții
"Rule Information",Informații Regulă
"Rule Name",Nume Regulă
"Save and Apply",Salvare și Aplicare
"Save and Continue Edit",Salvare și Continuare Editare
"Start Date",Dată Începere
"Status",Stare
"Stop Further Rules Processing",Oprire Procesare Alte Reguli
"The rule has been deleted.",Regula a fost ștearsă.
"The rule has been saved.",Regula a fost salvată.
"The rules have been applied.",Regulile au fost aplicate.
"There are rules that have been changed but were not applied. Only users with exclusive access can apply rules.",Există reguli care s-au schimbat însă nu au fost aplicate. Numai utilizatorii cu acces exclusiv pot aplica reguli
"There are rules that have been changed but were not applied. Please, click Apply Rules in order to see immediate effect in the catalog.",Există reguli care s-au schimbat dar nu au fost aplicate. Faceți click pe Aplicare Reguli pentru a vedea imediat efectul în catalog.
"This rule no longer exists.",Această regulă nu mai există.
"To Date",Până la Data
"To Fixed Amount",Până la Sumă Fixă
"To Percentage of the Original Price",Până la Procent din Prețul Original
"Type",Tip
"Unable to apply rules.",Imposibil de aplicat reguli.
"Unable to find a rule to delete.",Imposibil de găsit o regulă de șters.
"Update Prices Using the Following Information",Actualizare Prețuri Utilizând Următoarele Informații
"Update product's %s %s: %s",Actualizare pentru produs %s %s: %s
"Website","Website"
"Websites",Site-uri
"Wrong rule specified.",Regulă greșită specificată.
"Yes",Da
