"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.",%d Reguli Preț Coș Cumpărături bazate pe atributul "%s" au fost dezactivate.
"%s Coupon(s) have been generated",%s Cupon(oane) a(u) fost generat(e)
"Actions",Acțiuni
"Active",Activ
"Add New Rule",Adăugare Regulă Nouă
"Alphabetical",Alfabetic
"Alphanumeric",Alfanumeric
"An error occurred while generating coupons. Please review the log and try again.",Eroare la generarea cupoanelor. Consultați registrul și încercați din nou.
"Apply",Aplicare
"Apply To",Aplicare La
"Apply the rule only if the following conditions are met (leave blank for all products)",Aplicare regulă doar dacă următoarele condiții sunt satisfăcute (lăsați liber pentru toate produsele)
"Apply the rule only to cart items matching the following conditions (leave blank for all items)",Aplicare regulă doar articolelor din coș pentru care următoarele condiții sunt satisfăcute (lăsați liber pentru toate produsele)
"Apply the rule to cart items matching the following conditions",Aplicare regulă doar articolelor din coș pentru care următoarele condiții sunt satisfăcute
"Apply to Shipping Amount",Aplicare la Sumă Expediere
"Are you sure you want to delete the selected coupon(s)?",Sunteți sigur că doriți să ștergeți cupoanele selectate?
"Auto",Automat
"Auto Generated Specific Coupon Codes",Coduri Cupon Specifice Generate Automat
"Buy X get Y free (discount amount is Y)",Cumpără X și primești Y gratis (suma redusă e Y)
"By Fixed value",După valoare Fixă
"By Percentage",După Procent
"Can\'t acquire coupon.",Nu se poate obține opțiunea.
"Cart Attribute",Atribut Coș
"Catalog","Catalog"
"Code Format",Format Cod
"Code Length",Lungime Cod
"Code Prefix",Prefix Cod
"Code Suffix",Sufix Cod
"Conditions",Condiții
"Conditions combination",Combinație condiții
"Coupon",Cupon
"Coupon Code",Cod Cupon
"Coupon Qty",Cant Cupon
"Coupon with the same code",Cupon cu același cod
"Coupons Information",Informații Cupoane
"Created On",Creat La
"Customer Groups",Grupuri de Clienți
"Dash Every X Characters",Liniuță La Fiecare X Caractere
"Date Expire",Expiră La
"Date Start",Începe La
"Default Label",Eticheta Implicită
"Default Rule Label for All Store Views",Etichetă Regulă Implicită pentru Toate Vitrinele
"Description",Descriere
"Discount Amount",Sumă Reducere
