"Add",Adăugare
"Add gift message for shopping cart",Adăugare mesaj cadou pentru coș cumpărături
"Add gift messages for quote item of shopping cart",Adăugare mesaje cadou pentru estimare articol coș cumpărături
"Add gift messages to products of shopping cart",Adăugare mesaje cadou pentru produsele din coșul de cumpărături
"Add gift options",Adăugare opțiuni cadou
"Add gift options for Individual Items",Adăugare opțiuni cadou pentru Articole Individuale
"Add gift options for the Entire Order",Adăugare opțiuni cadou pentru Întreaga Comandă
"Add gift options.",Adăugare opțiuni cadou.
"Allow Gift Messages for Order Items",Acceptare Mesaje pt Cadouri Pentru Articolele Comenzii
"Allow Gift Messages on Order Level",Acceptare Mesaje pt Cadouri la Nivel de Comandă
"An error occurred while saving the gift message.",Eroare la salvarea mesajului de cadou.
"Are you sure?",Sunteți sigur?
"Cancel",Anulare
"Do you have any gift items in your order?",Aveți vreun articol cadou pe comanda dvs.?
"Edit",Modificare
"From",De la
"Gift Message",Mesaj de Cadou
"Gift Message API",API Mesaj Cadou
"Gift Options",Opțiuni Cadou
"Gift Options for",Opțiuni Cadou pentru
"Gift Options for Individual Items",Opțiuni Cadou pentru Articole Individuale
"Gift Options for the Entire Order.",Opțiuni Cadou pentru Întreaga Comandă.
"Gift Options for this address.",Opțiuini Cadou pentru această adresă.
"Item %d of %d",Articolul %d din %d
"Message",Mesaj
"No",Nu
"OK","OK"
"Save Gift Message",Salvare Mesajul Cadou
"The gift message has been removed",Mesajul de cadou a fost eliminat
"The gift message has been saved",Mesajul de cadou a fost salvat
"The gift message has been saved.",Mesajul de cadou a fost salvat.
"To",Către
"Unknown entity type",Tip entitate necunoscut.
"Use config",Folosire configurare
"Yes",Da
"You can leave this box blank if you do not wish to add a gift message for the item.",Puteți lăsa această casetă goală dacă nu doriți să adăugați un mesaj de cadou pentru acest articol.
"You can leave this box blank if you do not wish to add a gift message for this address.",Puteți lăsa această casetă goală dacă nu doriți să adăugați un mesaj de cadou pentru această adresă.
"You can leave this box blank if you do not wish to add a gift message for whole order.",Puteți lăsa această casetă goală dacă nu doriți să adăugați un mesaj de cadou pentru întreaga comandă.
