"1.5.0.0 & later",1.5.0.0 și mai noi
"Action",Acțiune
"Add Author",Adăugare Autor
"Add Contents Path",Adăugare Cale Conținut
"Add PHP Extension dependency",Adăugare Dependență tip Extensie PHP
"Add Package dependency",Adăugare dependență tip Pachet
"Add files",Adăugare fișiere
"Authors",Autori
"Channel",Canal
"Contents",Conținut
"Create Extension Package",Creare Pachet Extensie
"Dependencies",Dependențe
"Description",Descriere
"Edit Extension",Modificare Extensie
"Email",E-mail
"Extension",Extensie
"Extensions",Extensii
"Failed to create the package.",Eșec la crearea pachetului.
"Failed to load the package data.",Eșec la încărcarea datelor pachetului.
"Failed to save the package.",Eșec la salvarea pachetului.
"Files",Fișiere
"Folder",Director
"Ignore",Ignorare
"Include",Includere
"License",Licență
"License URI",URI Licență
"Load Local Package",Încărcare Pachet Local
"Load local Package",Încarcare Pachet Local
"Magento Connect","Magento Connect"
"Magento Connect Manager",Administrare Magento Connect
"Max","Max"
"Maximum",Maxim
"Min","Min"
"Minimum",Minim
"Name",Nume
"New Extension",Extensie Nouă
"PHP Version",Versiune PHP
"Package",Pachet
"Package Extensions",Pachet Extensii
"Package File Name",Nume Fișier Pachet
"Package Info",Info Pachet
"Packages",Pachete
"Path",Cale
"Pre-1.5.0.0",Mai vechi de 1.5.0.0
"Release Info",Info Lansare
"Remove",Ștergere
"Save As...",Salvare Ca...
"Save Data and Create Package",Salvare Date și Creare Pachet
"Save package with custom package file name",Salvare pachet cu nume personalizat de fișier
"Summary",Sumar
"Supported releases",Lansări suportate
"System",Sistem
"Target",Țintă
"The package %s data has been loaded.",Datele pachetului %s au fost încărcate.
"The package data has been saved.",Datele pachetului au fost salvate.
"There was a problem saving package data",Problemă la salvarea datelor pachetului
"Type",Tip
"User",Utilizator
