"# of Use",# în Uz
"%1$s incl tax.",%1$s taxe incl.
"%s - %s","%s - %s"
"%s Item(s)",%s Articol(e)
"%s and above",%s și peste
"(%d)","(%d)"
"(Copy data from: %s)",(Copiere date de la: %s)
"* Required Fields",* Câmpuri Obligatorii
"-- Please Select --",-- Selectați --
"86400 by default, if not set. To refresh instantly, Clear the Blocks HTML Output Cache.","86400 implicit, dacă nu e setat. Pentru a reîmprospăta instant, Curățare Cache Ieșire HTML Blocuri"
"<strong style=""color:red"">Warning!</strong> Applying MAP by default will hide all product prices on the frontend.",<strong style="color:red">Atenție!</strong> Aplicarea MAP implicit va ascunde toate prețurile produselor pe interfața utilizator.
"A group with the same name already exists.",Un grup cu același nume există deja.
"A name is required",E necesar un nume
"A product type is not defined for the indexer.",Un tip de produs nu e definit pentru indexor.
"ALL GROUPS",Toate grupurile
"AM","AM"
"Action",Acțiune
"Actual Price",Preț Actual
"Add",Adăugare
"Add Attribute",Adăugare Atribut
"Add Design Change",Adăugare Schimbare Aspect
"Add Group",Adăugare Grup
"Add Group Price",Adăugare Preț Grup
"Add New",Adăugare Nou
"Add New Attribute",Adăugare Atribut Nou
"Add New Attribute Set",Adăugare Set Atribute Nou
"Add New Group",Adăugare Grup Nou
"Add New Images",Adăugare Imagini Noi
"Add New Option",Adăugați Opțiune Nouă
"Add New Row",Adăugare Rând Nou
"Add New Search Term",Adăugare Termen Căutare Nou
"Add New Set",Adăugare Set Nou
"Add Product",Adăugare Produs
"Add Product To Websites",Adăugare Produs la Site-uri
"Add Root Category",Adăugare Categorie Rădăcină
"Add Subcategory",Adăugare Subcategorie
"Add Tax",Adăugare Taxă
"Add Tier",Adăugare Nivel
"Add attribute into attribute set",Adăugare atribut în set atribute
"Add group into attribute set",Adăugare grup în set atribute
"Add new custom option into product",Adăugare opțiune personalizată nouă în produs
"Add new values into custom option",Adăugare valori noi în opțiune personalizată
"Add option",Adăugare Opțiune
"Add to Cart",Adăugare în Coș
"Add to Compare",Adăugare la Comparație
"Add to Wishlist",Adăugare Listă Dorințe
"Additional Information",Informații Suplimentare
"Alert Urls",Url-uri Alerte
"All",Toate
"All Product Types",Toate Tipurile de Produs
"All Websites",Toate Site-urile
"All products",Toate produsele
"All products - recently added products, New products - products marked as new","Toate produsele - produse adăugate recent, Produse noi - produse marcate ca noi"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?",Toate produsele acestui set vor fi șterse! Sunteți sigur că doriți ștergerea acestui set de atribute?
"Allow All Products per Page",Permitere Toate Produsele pe Pagină
"Allow Dynamic Media URLs in Products and Categories",Permitere URL-uri Media Dinamice în Produse și Categorii
"Allow HTML Tags on Frontend",Permitere Tag-uri HTML pe Frontend
"Allowed File Extensions",Extensii Fișier Permise
"Allowed file extensions to upload",Extensii fișier permise pentru încărcare
"Amount",Sumă
"An error occurred while adding products to websites.",Eroare apărută la adăugarea produselor la site-uri.
"An error occurred while clearing comparison list.",Eroare apărută la curățarea listei de comparație.
"An error occurred while deleting this review.",Eroare apărută la ștergerea acestei recenzii.
"An error occurred while removing products from websites.",Eroare apărută la eliminarea produselor din site-uri.
"An error occurred while saving the URL rewrite",Eroare apărută la salvarea rescrierii URL.
"An error occurred while saving the attribute set.",Eroare apărută la salvarea setului de atribute.
"An error occurred while saving the collection, aborting. Error message: %s","Eroare apărută la salvarea colecției, renunțare. Mesaj eroare: %s"
"An error occurred while saving the product. ",Eroare apărută la salvarea produsului.
"An error occurred while saving the search query.",Eroare apărută la salvarea interogării de căutare.
"An error occurred while saving this group.",Eroare apărută la salvarea acestui grup.
"An error occurred while saving this review.",Eroare apărută la salvarea acestei recenzii.
"An error occurred while trying to delete the category.",Eroare apărută la încercarea ștergerii categoriei.
"An error occurred while updating the product(s) attributes.",Eroare apărută la actualizarea atributelor produsului(elor).
"An error occurred while updating the product(s) status.",Eroare apărută la actualizarea statusului produsului(elor).
"An invalid group ID is specified, skipping the record.","ID grup specificat invalid, sărire peste înregistrare."
"An invalid option ID is specified for %s (%s), skipping the record.","ID opțiune specificată invalid pentru %s (%s), sărire peste înregistrare."
"An invalid store was specified.",Un magazin invalid a fost specificat.
"Anchor Custom Text",Text Personalizat Ancoră
"Anchor Custom Title",Titlu Personalizat Ancoră
