"""Remember Me"" Default Value",Valoare Implicită "Ține-mă Minte"
"(Not %s?)",(Nu %s?)
"* Required Fields",* Câmpuri Obligatorii
"Address",Adresă
"Address Information",Informații Adresă
"Already registered?",Dekja înregistrat?
"Back",Înapoi
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","Prin crearea unui cont în magazinul nostru, veți putea să parcurgeți procesul de finalizare a comenzilor mai repede, veți putea stoca mai multe adrese de expediere, vizualiza și urmări comenzile dvs. în cadrul contului personal și multe altele."
"Cannot load configuration from file %s.",Nu se poate încărca configurația din fișierul %s.
"Checkout as Guest",Finalizare Comandă Vizitator
"Checkout as a Guest or Register",Finalizare Comandă Vizitator sau Înregistrare
"City",Oraș
"Clear Persistence on Log Out",Curățare Persistență la Delogare
"Close",Închidere
"Company",Companie
"Confirm Password",Confirmare Parolă
"Continue",Continuare
"Country",Țară
"Create an Account",Creare Cont
"Easy access to your order history and status",Acces facil la istoricul și statusul comenzilor
"Email Address",Adresă E-mail
"Enable ""Remember Me""",Activare "Ține-mă Minte"
"Enable Persistence",Activare Persistență
"Fast and easy check out",Finalizare comandă rapidă și facilă
"Fax","Fax"
"Forgot Your Password?",Ați uitat Parola?
"Forgot your password?",Ați uitat parola?
"General Options",Opțiuni Generale
"If you have an account with us, please log in.","Dacă aveți deja un cont, vă rugăm să vă logați."
"Loading next step...",Încărcare pas următor...
"Login",Logare
"Login Information",Informații Logare
"Login or Create an Account",Logare sau Creare Cont
"New Customers",Clienți Noi
"Password",Parola
"Persist Shopping Cart",Persistență Coș Cumpărături
"Persistence Lifetime (seconds)",Durata de Viață Persistență (secunde)
"Persistent Shopping Cart",Coș Cumpărături Persistent
"Personal Information",Informații Personale
"Please log in below:",Logați-vă mai jos:
"Please select region, state or province","Selectați regiunea, statul sau provincia"
"Register",Înregistrare
"Register and save time!",Înregistrați-vă și economisiți timp!
"Register to Create an Account",Înregistrați-vă pentru a Crea un Cont
"Register with us for future convenience:",Înregistrați-vă la noi pentru comfort pe viitor:
"Registered Customers",Clienți Înregistrați
"Remember Me",Ține-mă Minte
"Save in address book",Salvare în agendă
"Select State/Province...",Selectare Stat/Provincie...
"Select a billing address from your address book or enter a new address.",Selectare adresă facturare din agenda dvs. sau introduceți o adresă nouă.
"Ship to different address",Expediere către altă adresă
"Ship to this address",Expediere către această adresă
"Shopping cart has been updated with appropriate prices",Coșul de cumpărături a fost actualizat cu prețurile corespunzătoare
"Sign Up for Newsletter",Abonare la Buletin
"State/Province",Stat/Provincie
"Street Address",Adresa Stradală
"Street Address %s",Adresa Stradală %s
"Submit",Trimitere
"Telephone",Telefon
"To proceed to Checkout, please log in using your email address.","Pentru a continua cu Finalizarea Comenzii, vă rugăm logați-vă folosind adresa dvs. de e-mail."
"VAT Number",Număr TVA
"Welcome, %s!","Bine ați venit, %s!"
"What\'s this?",Ce e asta?
"Zip/Postal Code",Cod Poștal
