"Add Recipient",Adăugare Destinatar
"Allow for Guests",Permitere pentru Vizitatori
"An invalid email address for recipient was entered.",O adresă e-mail invalidă a fost introdusă pentru destinatar.
"At least one recipient must be specified.",Cel puțin un destinatar trebuie să fie specificat.
"Back",Înapoi
"Catalog Product Email to a Friend",Trimitere E-mail unui Prieten Produs Catalog
"Email Address",Adresa de E-mail
"Email Address:",Adrese de E-mail:
"Email Templates",Șabloane E-mail
"Email to a Friend",Trimiteți unui Prieten
"Email:",E-mail:
"Enabled",Activat
"Invalid Sender Information",Informații Expeditor Invalide
"Invalid sender email.",E-mail expeditor invalid.
"Limit Sending By",Limitați Trimiterile de către
"Max Products Sent in 1 Hour",Nr. Maxim de Produse Trimise într-o oră
"Max Recipients",Nr. Maxim Destinatari
"Maximum %d email addresses allowed.",Maxim %d de adrese de e-mail permise.
"Message:",Mesaj:
"Name",Nume
"Name:",Nume:
"No more than %d emails can be sent at a time.",Maxim %d e-mail-uri pot fi expediate simultan.
"Please define a correct Cookie instance.",Definiți o instanță Cookie corectă.
"Please define a correct Product instance.",Definiți o instanță Produs corectă.
"Please define the correct Sender information.",Definiți informațiile Expeditor corecte.
"Recipient:",Destinatar:
"Remove Email",Eliminare E-mail
"Select Email Template",Selectare Șablon E-mail
"Send Email",Trimitere E-mail
"Send product to a friend",Trimiteți produsul unui prieten
"Sender:",Expeditor:
"Some emails were not sent.",Unele e-mail-uri nu au fost trimise.
"The link to a friend was sent.",Legătura către un prieten a fost trimisă.
"The message cannot be empty.",Mesajul nu poate fi gol.
"The messages cannot be sent more than %d times in an hour",Mesajele nu pot fi trimise mai mult de %d ori pe oră
"The sender name cannot be empty.",Numele expeditorului nu poate fi gol.
"There were some problems with the data.",Au existat unele probleme cu datele.
"You have exceeded limit of %d sends in an hour",Ați depășit limita de %d trimiteri pe oră
