"Billing Information","Informatii facturare"
"Change Payment Method","Schimba metoda de plata"
"Change Shipping Address","Schimba adresa de livrare"
"Edit Shopping Cart","Modifica cos de cumparaturi"
"Email","Email"
"Incl. Tax","Incl. Tax"
"Items in Your Shopping Cart","Articole in cos"
"No shipping method required.","No shipping method required."
"PayPal Account","Cont PayPal"
"PayPal Email","E-mail PayPal"
"Payment Method","Metoda de plata"
"Place an Order","Finalizeaza comanda"
"Please select a shipping method...","Alege o metoda de livrare..."
"Price","Pret"
"Product Name","Nume produs"
"Qty","Cantitate"
"Review Order","Detalii comanda"
"Shipping Address","Adresa de livrare"
"Shipping Information","Informatii de livrare"
"Shipping Method","Metoda de livrare"
"Sorry, no quotes are available for this order at this time.","Ne pare rau, o estimare pentru aceasta comanda este imposibila momentan."
"Submitting order information...","Se trimit informatii comanda..."
"Subtotal","Subtotal"
"Update Shipping Method","Actualizeaza metoda de livrare"
"You will be redirected to PayPal website when you place an order.","Vei fi redirectionat spre PayPal cand faci o comanda."
"You will be redirected to Paypal in a few seconds.","You will be redirected to Paypal in a few seconds."
"Your billing address will be ignored and you will be redirected to PayPal website","Adresa de facturare va fi ignorata si vei fi redirectionat spre Paypal."
