"ALL","TOUTES"
"ANY","UNE OU PLUSIEURS DE"
"Add","Ajouter"
"Apply","Appliquer"
"Description: %s","Description : %s"
"Expire at: %s","Expire le : %s"
"FALSE","FAUSSES"
"If %s of these conditions are %s:","Si %s ces conditions sont %s :"
"Invalid discount amount.","Invalid discount amount."
"MATCHING ALL","MATCHING ALL"
"MATCHING ANY","MATCHING ANY"
"NOT MATCHING ALL","NOT MATCHING ALL"
"NOT MATCHING ANY","NOT MATCHING ANY"
"Name: %s","Nom : %s"
"Open Chooser","Ouvrir le sélecteur"
"Perform following actions","Effectuer les actions suivantes"
"Please choose a condition to add...","Choisissez une condition à ajouter..."
"Please choose an action to add...","Choisissez une action à ajouter..."
"Remove","Supprimer"
"Start at: %s","Débute le : %s"
"TRUE","VRAIES"
"by","sur"
"contains","contains"
"does not contain","does not contain"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","greater than"
"is","est"
"is not","n'est pas"
"is not one of","is not one of"
"is one of","is one of"
"less than","less than"
"to","à"
