"* Required Fields","* Champs requis"
"A new password was sent","Un nouveau mot de passe a été envoyé"
"Account Dashboard","Gestionnaire de compte"
"Account Information","Informations du compte"
"Account Sharing Options","Options de partage de compte"
"Account information was successfully saved","Les informations du compte ont été sauvegardées"
"Action","Action"
"Add New Address","Ajouter une adresse"
"Add New Customer","Ajouter un nouveau client"
"Add New Customer Group","Ajouter un nouveau groupe de clients"
"Added From","Ajouté depuis"
"Additional Address Entries","Saisies d'adresses supplémentaires"
"Address","Adresse"
"Address Book","Carnet d'adresses"
"Address Information","Informations d'adresse"
"Addresses","Adresses"
"Admin","Admin"
"All","Tout"
"All Store Views","Toutes les vues magasin"
"All countries","Tous les pays"
"Always optional","Always optional"
"Amount","Montant"
"Approved","Approuvé"
"Are you sure that you want to remove this item?","Êtes-vous certain de vouloir retirer cet article ?"
"Are you sure you want to cancel adding of this address?","Êtes-vous certain de vouloir annuler l'ajout de cette adresse ?"
"Are you sure you want to delete this address?","Êtes-vous certain de vouloir effacer cette adresse ?"
"Are you sure?","Etes-vous certain ?"
"Array of Entity collections is expected","Un tableau de collections d'entités est attendu"
"Assign a customer group","Assigner un groupe client"
"Average Sale","Ventes moyennes"
"Back","Retour"
"Back to Login","Retour à l'identification"
"Bad request.","Bad request."
"Bill to Name","Bill to Name"
"Billing Information","Informations de facturation"
"Bought From","Acheté sur"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","En créant un compte sur notre boutique, vous pourrez passer vos commandes plus rapidement, enregistrer plusieurs adresses de livraison, consulter et suivre vos commandes, et plein d'autres choses encore."
"CSV","CSV"
"Can't save address","Sauvegarde impossible de l'adresse"
"Can't save customer","Sauvegarde impossible du client"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged."
"Cancel","Annuler"
"Change Account Password","Modifier le mot de passe du compte"
"Change Billing Address","Modifier l'adresse de facturation"
"Change Password","Modifier le mot de passe"
"Change Shipping Address","Modifier l'adresse de livraison"
"City","Ville"
"Company","Entreprise"
"Config","Configuration"
"Confirm New Password","Confirmer le nouveau mot de passe"
"Confirm Password","Confirmer le mot de passe"
"Confirmation Link Email","Confirmation Link Email"
"Confirmed","Confirmed"
"Contact Information","Informations de contact"
"Continue Shopping","Continuer vos achats"
"Country","Pays"
"Create","Create"
"Create New Account Options","Options de création de nouveaux comptes"
"Create New Customer Account","Créer un nouveau compte client"
"Create Order","Créer une commande"
"Create an Account","Créer un compte"
