"# of Use","Nb d'utilisations"
"%1$s incl tax.","%1$s incl tax."
"%s - %s","%s - %s"
"%s Item(s)","%s article(s)"
"(Copy data from: %s)","(Copier les données depuis: %s)"
"(Will make search for the query above return results for this search.)","(Fera une recherche pour la requête ci-dessus. Retourne des résultats pour cette recherche)"
"* Required Fields","* Required Fields"
"-- Please Select --","-- Votre choix --"
"A name is required","Un nom est requis"
"ALL GROUPS","TOUS LES GROUPES"
"AM","AM"
"Action","Action"
"Add Attribute","Ajouter un attribut"
"Add Design Change","Ajouter un changement de design"
"Add Group","Ajouter un groupe"
"Add Items to Cart","Ajouter les articles au panier"
"Add New","Ajouter"
"Add New Attribute","Ajouter nouvel attribut"
"Add New Attribute Set","Ajouter un nouveau groupe d'attributs"
"Add New Group","Ajouter un nouveau groupe"
"Add New Images","Ajouter de nouvelles images"
"Add New Option","Add New Option"
"Add New Row","Add New Row"
"Add New Search Term","Ajouter un terme de recherche"
"Add New Set","Ajouter un nouveau groupe"
"Add Option","Ajouter une option"
"Add Product","Ajouter un produit"
"Add Product To Websites","Ajouter produit aux sites web"
"Add Root Category","Add Root Category"
"Add Subcategory","Add Subcategory"
"Add Tax","Add Tax"
"Add Tier","Ajouter un niveau"
"Add to Cart","Ajouter au panier"
"Add to Compare","Ajouter au comparateur"
"Add to My Wishlist","Ajouter à ma liste-cadeaux"
"Add to Wishlist","Ajouter à ma liste-cadeaux"
"Additional Information","Informations complémentaires"
"All","Tous"
"All Product Types","Tous les types de produit"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","All products of this set will be deleted! Are you sure you want to delete this attribute set?"
"Allow HTML-tags on Front-end","Allow HTML-tags on Front-end"
"Allowed File Extensions","Allowed File Extensions"
"Allowed file extensions to upload","Allowed file extensions to upload"
"Amount","Amount"
"Apply To","S'applique à"
"Apply To Configurable/Grouped Product","Appliquer à un produit configurable/groupé"
"Approved","Approuvé"
"Are you sure you want to delete this category?","Êtes-vous certain de vouloir supprimer cette catégorie ?"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Are you sure you would like to remove this item from the compare products?","Etes-vous certains de vouloir supprimer cet article de la comparaison des produits?"
"Are you sure?","Etes-vous certain ?"
"As low as:","Aussi bas que :"
"Assign","Assign"
"Assign product link","Assign product link"
"Assign product to category","Assign product to category"
"Assigned Products","Assigned Products"
"Associated Products","Produits associés"
"Attrib. Set Name","Nom du groupe d'attributs"
"Attribute Code","Code attribut"
"Attribute Information","Informations attributs"
"Attribute Label","Libellé attribut"
"Attribute Model","Modèle d'attribut"
"Attribute Name:","Nom de l'attribut:"
"Attribute Properties","Propriétés de l'attribut"
"Attribute Set","Groupe d'attributs"
"Attribute group with the ""/name/"" name already exists","Attribute group with the ""/name/"" name already exists"
"Attribute model not defined","Modèle d'attribut non défini "
"Attribute with the same code already exists","Un attribut avec le même code existe déjà"
"Attributes","Attributs"
"Attrribute names can be specified per store.","Attrribute names can be specified per store."
"Autogenerate","Générer automatiquement"
"Availability","Availability"
"Availability: In stock.","Disponibilité: en stock."
"Availability: Out of stock.","Disponibilité: épuisé."
"Back","Retour"
"Backend Model","Modèle pour l'administration"
"Backend Table","Table de l'administration"
"Backend Table Title","Titre de table de l'administration"
"Backorders","Commande en rupture de stock"
"Base directory to upload image file is not specified","Le répertoire de base pour télécharger les images n'est pas spécifié"
"Based On","Basé sur"
"Best Value","Meilleure valeur"
"Block after Info Column","Block after Info Column"
"Bottom/Left","En bas à gauche"
"Bottom/Right","En bas à droite"
"Browse By","Consulter par"
"Buy %1$s for %2$s","Buy %1$s for %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Buy %1$s for %2$s (%3$s incl. tax) each"
"Buy %1$s for %2$s each","Buy %1$s for %2$s each"
"Can be used only with catalog input type Dropdown","Ne peut être utilisé qu'avec un catalogue type Liste déroulante"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Ne peut être utilisé qu'avec un type de saisie ""liste déroulante"", ""choix multiple"" ou ""prix"""
"Can't create image.","Can't create image."
"Cannot create writeable directory '%s'","Cannot create writeable directory '%s'"
"Cart Item Attribute","Attribut d'article panier"
"Catalog","Catalogue"
"Catalog Input Type for Store Owner","Type d'entrée catalogue pour le propriétaire du magasin"
"Catalog Price Scope","Portée des prix catalogue"
"Catalog Section","Catalog Section"
"Catalog, Search","Catalogue, Recherche"
"Categories","Catégories"
"Categories Sitemap","Plan de site des catégories"
"Category","Catégorie"
"Category API","Category API"
"Category Data","Données de catégorie"
"Category Navigation:","Navigation dans la catégorie:"
"Category Products","Produits de la catégorie"
"Category Top Navigation","Category Top Navigation"
"Category URL Suffix","Category URL Suffix"
"Category attributes API","Category attributes API"
"Category delete error","Erreur de suppression de catégorie"
"Category deleted","Catégorie supprimée"
"Category move error","Erreur de déplacement de catégorie"
"Category must be instance of Mage_Catalog_Model_Category","Category must be instance of Mage_Catalog_Model_Category"
"Category saved","Catégorie sauvegardée"
"Change","Modifier"
"Change or Retrieve attribute store view","Change or Retrieve attribute store view"
"Change status","Modifier le statut"
"Check items to add to the cart or","Check items to add to the cart or"
"Choose an Option...","Choisissez une option..."
"Choose option...","Choisissez une option..."
"Clear All","Clear All"
"Clear All Items","Effacer tous les articles"
"Close Window","Fermer la fenêtre"
"Collapse All","Collapse All"
"Comparable","Comparable"
"Comparable on Front-end","Comparable sur la partie publique"
"Compare Items","Comparer les articles"
"Compare Products","Comparer des produits"
"Compare Products (%d)","Compare Products (%d)"
"Compare Products - %d Items","Comparer les produits <span class=""count"">- %d articles</span>"
"Compare Products List","Comparer la liste des produits"
"Compare list successfully cleared","La liste de comparaison a été effacée"
"Conditions Combination","Combinaison de conditions "
"Configurable Product","Produit configurable"
"Configurable Product Settings","Paramètres produit configurable"
"Continue","Continuer"
"Copy From Configurable","Copier à partir d'un configurable"
"Country/State","Country/State"
"Create","Create"
"Create (Upload)","Create (Upload)"
"Create Empty","Créer vide"
"Create Product Settings","Créer des attributs produit"
"Create Simple Associated Product","Créer un produit simple associé"
"Create new category","Create new category"
"Create new product","Create new product"
"Cross-sells","Ventes croisées"
"Currently Shopping by","Actuellement acheté par"
"Custom Design","Design personnalisé"
"Custom Options","Custom Options"
"Customer Group","Groupe de clients"
"Customers Reviews","Clients ayant commenté"
"Customers Tagged Product","Clients ayant libellé ce produit"
"Customers for alert %s was successfuly added to queue","Les clients ont été ajoutés à la file de l'alerte %s."
"Data Type for Saving in Database","Type de données à sauvegarder dans la base de données"
"Date","Date"
"Date & Time Custom Options","Date & Time Custom Options"
"Date Subscribed","Date d'abonnement"
"Date fields order","Date fields order"
"Datetime","Date et heure"
"Decimal","Décimal"
"Decimal Number","Nombre décimal"
"Declare attribute value saving scope","Déclarer la portée d'économie de valeurs d'attributs"
"Default Qty","Qté par défaut"
"Default Values","Valeurs par défaut"
"Default price","Prix par défaut"
"Default value","Valeur par défaut"
"Delete","Supprimer"
"Delete Attribute","Supprimer l'attribut"
"Delete Attribute Set","Supprimer le groupe d'attribut"
"Delete Category","Supprimer catégorie"
"Delete Option","Supprimer l'option"
"Delete Row","Delete Row"
"Delete Search","Supprimer la recherche"
"Delete Selected Group","Supprimer le groupe sélectionné"
"Delete category","Delete category"
"Delete product","Delete product"
"Depends on design theme","Depends on design theme"
"Design","Design"
"Disabled","Désactivé"
"Display in Suggested Terms","Afficher dans les termes suggérés"
"Double click on a group to rename it","Double-cliquez sur un groupe pour le renommer"
"Double click on above image to view full picture","Double click on above image to view full picture"
"Dropdown","Liste déroulante"
"Duplicate","Dupliquer"
"Duplicate website tier price customer group and quantity.","Dupliquer le groupe client et la quantité du prix par paliers du site web"
"Duplicate website, country and state tax found.","Duplicate website, country and state tax found."
"Edit","Éditer"
"Edit Attribute Set '%s'","Éditer le jeu d'attributs '%s'"
"Edit Product Attribute","Éditer l'attribut produit"
"Edit Product Attribute ""%s""","Éditer l'attribut produit ""%s"""
"Edit Search","Modifier la recherche"
"Edit Search '%s'","Éditer la recherche '%s'"
"Email","Courriel"
"Email to a Friend","Envoyer à un ami"
"Empty","Vide"
"Enabled","Activé"
"Error during retrieval of option value: %s","Erreur lors de la récupération de la valeur de l'option: %s"
"Error while adding customers for %s alert. Message: %s","Erreur lors de l'ajout de client à la file de l'alerte %s. Message: %s"
"Error while saving this group. Group with the same name already exists.","Erreur pendant la sauvegarde de de groupe. Un groupe avec le même nom existe déjà."
"Error while saving this group. Please try again later.","Erreur pendant la sauvegarde de ce groupe. Veuillez réessayer ultérieurement."
"Exclude","Exclure"
"Expand All","Expand All"
"Failed","Échec"
"Failed to move file: %s","Erreur lors du déplacement du fichier : %s"
"Feature Products","Produits sélectionnés"
"File options format is not valid","File options format is not valid"
"File upload failed","File upload failed"
"Filter model name must be declared","Le nom du modèle de filtre doit être déclaré"
