"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s a été ajouté à votre liste-cadeaux. Cliquez <a href=""%2$s"">ici</a> pour poursuivre vos achats"
"%s's Wishlist","liste-cadeaux de %s"
"* Required Fields","* Champs requis"
"Add All to Cart","Tout ajouter au panier"
"Add to Cart","Ajouter au panier"
"Add to Wishlist","Ajouter à la liste-cadeaux"
"Added On","Ajouté le"
"Are You sure?","Êtes-vous certain ?"
"Are you sure you want to remove this product from your wishlist?","Êtes-vous certain de vouloir enlever ce produit de votre liste-cadeaux ?"
"Are you sure you would like to remove this item from the wishlist?","Etes-vous certain de vouloir supprimer cet article de la liste cadeaux?"
"Back","Retour"
"Can't save description %s","Impossible de sauvegarder la description %s"
"Cannot create wishlist","Impossible de créer la liste-cadeaux"
"Cannot specify product","Impossible de spécifier le produit"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Cochez cette case si vous souhaitez ajouter un lien vers un flux RSS vers votre liste-cadeaux"
"Comment","Commentaire"
"Email Sender","Expéditeur du courriel"
"Email Template","Gabarit du courriel"
"Email address can't be empty.","Le courriel ne peut être vide."
"Email addresses, separated by commas","Adresses courriel, séparées par des virgules"
"Enabled","Activé"
"General Options","Options générales"
"Go to Wishlist","Aller à la liste-cadeaux"
"Last Added Items","Derniers articles ajoutés"
"Message","Message"
"My Wishlist","My Wishlist"
"My Wishlist (%d item)","Ma liste-cadeaux (%d article)"
"My Wishlist (%d items)","Ma liste-cadeaux (%d articles)"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Veuillez saisir une liste d'adresses courriel valide, séparées par des virgules. Par exemple, jeandupond@domaine.com, martindupond@domaine.com"
"Please, enter your comments...","Veuillez saisir vos commentaires..."
"Product","Produit"
"RSS Feed","Flux RSS"
"RSS link to %s's wishlist","Lien RSS vers la liste-cadeaux de %s"
"Remove Item","Retirer l'article"
"Share Wishlist","Partager la liste-cadeaux"
"Share Your Wishlist","Partagez votre liste-cadeaux"
"Share options","Options de partage"
"Sharing Information","Information de partage"
"There was an error while adding item to wishlist.","Erreur lors de l'ajout d'un article dans la liste-cadeaux."
"There was an error while adding item to wishlist: %s","Erreur lors de l'ajout d'un article dans la liste-cadeaux: %s"
"There was an error while deleting item from wishlist.","Erreur lors de la suppression d'un article de la liste-cadeaux."
"There was an error while deleting item from wishlist: %s","Erreur lors de la suppression d'un article de la liste-cadeaux: %s"
"This product(s) is currently out of stock:","Produit(s) en rupture de stock:"
"Update Wishlist","Mettre à jour"
"View Product","Voir produit"
"Wishlist","liste-cadeaux"
"Wishlist Section","Wishlist Section"
"Wishlist Sharing","Partage de liste-cadeaux"
"Wishlist is empty now.","La liste-cadeaux est vide maintenant."
"You have no items in your wishlist.","Vous n'avez pas d'article dans votre liste-cadeaux."
"You input not valid email address.","Vous avez saisi une adresse courriel non valide."
"Your Wishlist was successfully shared","Votre liste-cadeaux a été partagée"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","My Wishlist - <a href=""%s"">%d Item(s)</a>"
"My Wishlist","Ma liste-cadeaux"
"Are you sure you want to remove this product from your wishlist?","Are you sure you want to remove this product from your wishlist?"
"Please, enter your comments...","Please, enter your comments..."
