"%s is not correct comparsion method.","%s is not correct comparsion method."
"<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart.","<strong>Please note</strong>, that these Settings are applicable to cart line Items, not the whole Cart."
"Allow Qty Below 0","Autoriser les quantités négatives"
"Allow Qty Below 0 and Notify Customer","Autoriser les quantités négatives et prévenir le client"
"Backorders","Commandes en rupture de stock"
"By Fixed value","remise d'une valeur de"
"By Percentage","remise (en %)"
"Can not specify product identifier for order item","Impossible de spécifier l'identifiant de produit pour l'article de la commande"
"Catalog Inventory","Catalog Inventory"
"Decrease Stock When Order is Placed","Réduire le stock quand la commande est validée"
"In Stock","In Stock"
"Inventory","Inventaire"
"Inventory API","Inventory API"
"Inventory Section","Inventory Section"
"Manage Stock","Manage Stock"
"Maximum Qty Allowed in Shopping Cart","Qté max autorisée dans le panier"
"Minimum Qty Allowed in Shopping Cart","Qté min autorisée dans le panier"
"No Backorders","Pas de commandes au delà des stocks"
"Notify for Quantity Below","Informer quand la quantité passe en dessous de"
"Out of Stock","Out of Stock"
"Product Stock Options","Product Stock Options"
"Qty for Items' Status to become Out of Stock","Qty for Items' Status to become Out of Stock"
"Retrieve stock data","Retrieve stock data"
"Retrieve stock data by product ids","Retrieve stock data by product ids"
"Rule price","Prix"
"Set Items' Status to be In Stock When Order is Cancelled","Set Items' Status to be In Stock When Order is Cancelled"
"Some of the products are currently out of stock","Some of the products are currently out of stock"
"Some of the products can not be ordered in requested quantity","Some of the products can not be ordered in requested quantity"
"Some of the products cannot be ordered in the requested quantity","Some of the products cannot be ordered in the requested quantity"
"Stock Options","Options de stock"
"Stock item for Product in option is not valid","Stock item for Product in option is not valid"
"Stock item for Product is not valid","Stock item for Product is not valid"
"The maximum quantity allowed for purchase is %s.","The maximum quantity allowed for purchase is %s."
"The minimum quantity allowed for purchase is %s.","The minimum quantity allowed for purchase is %s."
"The requested quantity for ""%s"" is not available.","La quantité demandée pour ""%s"" n'est pas disponible."
"The requested quantity is not available.","La quantité demandée n'est pas disponible."
"This product is currently out of stock.","This product is currently out of stock."
"To Fixed Value","nouveau prix"
"To Percentage","nouveau prix (en %)"
"Update","Update"
"Update product stock data","Update product stock data"
"Update the Product","Mettre à jour le produit"
