"%s and greater","%s et plus"
"Advanced Search","Recherche avancée"
"All","Tous"
"Applies for ""Like"" Search type only","Applies for ""Like"" Search type only"
"Apply Layered Navigation if search results are less than","Apply Layered Navigation if search results are less than"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process"
"Autogenerated site map","Plan du site généré automatiquement"
"Catalog Advanced Search","Recherche avancée dans le catalogue"
"Catalog Search","Catalog Search"
"Don't see what you're looking for?","Don't see what you're looking for?"
"Go","Go"
"Go to Home Page","Allez à la page d'accueil"
"Grid","Grille"
"Home","Accueil"
"List","Liste"
"Maximum Query Length","Maximum Query Length"
"Maximum Query Words Count","Maximum Query Words Count"
"Maximum Search query  length is %s. Your query was cut.","Maximum Search query  length is %s. Your query was cut."
"Minimal Query Length","Minimal Query Length"
"Modify your search","Modifier votre recherche"
"No","No"
"No items were found using the following search criteria.","No items were found using the following search criteria."
"Please enter ""0"" to enable layered navigation for any number of results","Please enter ""0"" to enable layered navigation for any number of results"
"Popular Search Terms","Termes de recherche populaires"
"Popular search terms","Termes de recherche populaires"
"Relevance","Relevance"
"Required Fields","Champs requis"
"Results","Résultats"
"Search","Recherche"
"Search Settings","Paramètres de recherche"
"Search Site","Rechercher sur le site"
"Search Terms","Termes de recherche"
"Search Type","Search Type"
"Search entire store here...","Recherche ..."
"Search results for '%s'","Résultats de recherche pour '%s'"
"Search results for: '%s'","Résultats de recherche pour : '%s'"
"Subscribe to Feed","Subscribe to Feed"
"There are no search terms available.","Aucun terme de recherche disponible."
"Yes","Yes"
"You have to specify at least one search term","Vous devez spécifier au moins un terme de recherche"
"Your search returns no results.","Aucun résultat pour votre recherche."
"up to %s","jusqu'à %s"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d item(s)</strong> were found using the following search criteria"
"Is product available for purchase with Google Checkout","Is product available for purchase with Google Checkout"
"Advanced Search","Advanced Search"
"Search Terms","Search Terms"
"Popular Search Terms","Popular Search Terms"
"There are no search terms available.","There are no search terms available."
