"-- Please select --","-- Votre choix --"
"Allowed currencies","Devises autorisées"
"Base currency","Base currency"
"Cannot retrieve rate from %s","Impossible de récupérer le taux de %s"
"Connection timeout in seconds","Connection timeout in seconds"
"Continue &raquo;","Continuer &raquo;"
"Country","Pays"
"Country Api","Country Api"
"Country and Format Type combination should be unique","La combinaison Pays et Type de format doit être unique"
"Currency","Devise"
"Currency Options","Options de devise"
"Currency Setup","Configuration des devises"
"Currency Update Warnings","Alertes de mise à jour des devises"
"Currency will be used for all online payment transactions","Currency will be used for all online payment transactions"
"Default display currency","Devise affichée par défaut"
"Directory","Directory"
"Enabled","Activé"
"Error Email Recipient","Destinataire du courriel d'erreurs"
"Error Email Sender","Expéditeur du courriel d'erreurs"
"Error Email Template","Gabarit du courriel d'erreurs"
"FATAL ERROR:","ERREUR FATALE:"
"Frequency","Fréquence"
"Installed Currencies","Devises installées"
"Invalid Import Service Specified","Service d'import spécifié non valide"
"Invalid country code: %s","Code de pays non valide: %s"
"Invalid rates received","Taux reçus non valides"
"Invalid target currency","Devise cible invalide"
"List of countries","List of countries"
"List of regions in specified country","List of regions in specified country"
"Region","Region"
"Region Api","Region Api"
"Remove space from currency sign","Remove space from currency sign"
"Scheduled Import Settings","Paramètres de planification d'import"
"Select Your Currency","Sélectionnez votre devise"
"Service","Service"
"Start Time","Heure de début"
"State/Province","État/Province"
"Strikeiron Email Update Warnings","Strikeiron Email Update Warnings"
"Unable to initialize import model","Impossible d'initialiser le modèle d'import"
"Undefined rate from ""%s-%s""","Taux indéfini pour ""%s-%s"""
"WARNING:","ATTENTION:"
"Webservicex","Webservicex"
"Your current currency is: %s","Votre devise actuelle est: %s"
