" Copy"," Copier"
"Action","Action"
"Add New Template","Ajouter un nouveau gabarit"
"Add to Queue","Ajouter à la file"
"Are you sure that you want to delete this template?","Êtes-vous certain de vouloir supprimer ce gabarit ?"
"Are you sure that you want to strip all tags?","Êtes-vous certain de vouloir supprimer tous les libellés ?"
"Back","Retour"
"Cancel","Annuler"
"Cancelled","Annulé"
"Cannot delete subscriber","Impossible de supprimer l'abonné"
"Cannot delete template","Impossible d'effacer le gabarit"
"Cannot mark as received subscriber","Impossible d'enregistrer comme abonné reçu"
"Cannot save your subscription: %s","Impossible d'enregistrer votre inscription: %s"
"Confirmation Email Sender","Expéditeur du courriel de confirmation"
"Confirmation Email Template","Gabarit du courriel de confirmation"
"Confirmation request has been sent","Une demande de confirmation a été envoyée"
"Convert to Plain Text","Convertir en texte simple"
"Create Newsletter Template","Créer un nouveau gabarit d'infolettre"
"Customer","Client"
"Customer Firstname","Prénom du client"
"Customer Lastname","Nom de famille du client"
"Date Added","Date d'ajout"
"Date Updated","Date de mise à jour"
"Delete Selected Problems","Supprimer les problèmes sélectionnés"
"Delete Template","Supprimer le gabarit"
"Do you really want to cancel the queue?","Voulez-vous vraiment supprimer la file ?"
"Duplicate of template code","Duplication de code de gabarit"
"Edit Newsletter","Éditer l'infolettre"
"Edit Newsletter Template","Éditer le gabarit de l'infolettre"
"Edit Queue","Éditer file"
"Edit Template","Éditer le gabarit"
"Email","Courriel"
"Enter your email address","Entrez votre courriel"
"Error Code","Code d'erreur"
"Error Text","Texte d'erreur"
"Form was filled incorrectly","Le formulaire n'a pas été correctement rempli"
"Guest","Invité"
"ID","ID"
"Invalid queue selected","File sélectionnée non valide"
"Invalid subscriber ID","Identifiant d'abonné non valide"
"Invalid subscription ID","Identifiant d'inscription non valide"
"Invalid subscription confirmation code","Code de confirmation d'inscription non valide"
"Message","Message"
"Need to Confirm","Confirmation nécessaire"
"New Newsletter Template","Nouveau gabarit d'infolettre"
"New Template","Nouveau gabarit"
"Newsletter","Infolettre"
"Newsletter Message Preview","Prévisualisation du message de l'infolettre"
"Newsletter Problem Reports","Rapports de problèmes d'infolettre"
"Newsletter Queue","File d'attente de l'infolettre"
"Newsletter Section","Newsletter Section"
"Newsletter Sign-up","Abonnement à l'infolettre"
"Newsletter Subscribers","Abonnés à l'infolettre"
"Newsletter Subscription","Newsletter Subscription"
"Newsletter Subscriptions","Abonnement à l'infolettre"
"Newsletter Templates","Gabarits d'infolettre"
"Newsletter subscription confirmation","Confirmation de l'abonnement à l'infolettre"
"Newsletter subscription success","Abonnement à l'infolettre réussi"
"Newsletter unsubscription success","Désabonnement à l'infolettre réussi"
