"1 star","1 étoile"
"2 stars","2 étoiles"
"3 stars","3 étoiles"
"4 stars","4 étoiles"
"5 stars","5 étoiles"
"Add New Rating","Ajouter une évaluation"
"Assigned Options","Options attribuées"
"Be the first to review this product","Soyez le premier à commenter ce produit"
"Default Value","Valeur par défaut"
"Delete Rating","Supprimer l'évaluation"
"Edit Rating","Modifier l'évaluation"
"ID","ID"
"If you do not specify a rating title for a store, the default value will be used.","Si vous ne spécifiez pas de titre d'évaluation pour un magasin, la valeur par défaut sera utilisée."
"Manage Ratings","Gérer les évaluations"
"New Rating","Nouvelle évaluation"
"Option Label","Option"
"Option Title","Titre de l'option"
"Option Title:","Titre de l'option:"
"Please select one of each ratings above","Veuillez sélectionner une évaluation pour chaque critère ci-dessus"
"Rating Information","Information des évaluations"
"Rating Name","Nom de l'évaluation"
"Rating Options","Options des évaluations"
"Rating Title","Libellé de l'évaluation"
"Rating Visibility","Visibilité de classement"
"Rating isn't Available","Les évaluations ne sont pas activées"
"Rating with the same title","Evaluation avec le même titre"
"Save Rating","Sauvegarder l'évaluation"
"Visible In","Visible dans"
