"%s was successfully added to your shopping cart.","%s a été ajouté à votre panier."
"&laquo; Back to Billing Information","&laquo; Retour aux informations de facturation"
"&laquo; Back to Select Addresses","&laquo; Retour à la sélection d'adresses"
"&laquo; Back to Shopping Cart","&laquo; Retour au panier"
"* Required Fields","* Champs requis"
"Add New Address","Ajouter une nouvelle adresse"
"Add New Condition","Add New Condition"
"Add to Cart","Ajouter au panier"
"Add to Compare","Ajouter au comparateur"
"Add to Wishlist","Ajouter à la liste-cadeaux"
"Address","Adresse"
"Address %s of %s","Adresse <span class=""shipment-count"">%s</span> sur %s"
"After adding a product redirect to shopping cart","Rediriger vers le panier après l'ajout d'un produit"
"Allow Guest Checkout","Autoriser le passage de commande en tant qu'invité"
"Already registered?","Déjà enregistré ?"
"An error occurred in the process of payment","An error occurred in the process of payment"
"Apply Coupon","Utiliser un bon de réduction"
"Are you sure you would like to remove this item from the shopping cart?","Êtes-vous certain de vouloir retirer cet article du panier ?"
"Back","Retour"
"Back to Shipping Information","Retour aux informations de livraison"
"Based on your selection, you may be interested in the following items:","D'après votre sélection, vous pourriez être intéressé(e) par les articles suivants:"
"Billing Address","Adresse de facturation"
"Billing Information","Informations de facturation"
"Billing Information - %s","Informations de facturation - %s"
"Can not add item to shopping cart","Impossible d'ajouter l'article au panier"
"Can not apply coupon code.","Impossible d'appliquer le code de réduction."
"Can't open overview page","Can't open overview page"
"Cancel Coupon","Annuler la réduction"
"Cannot remove item","Impossible de retirer l'article"
"Cannot update shopping cart","Impossible de mettre à jour le panier"
"Card Verification Number Visual Reference","Référence visuelle numérique de vérification de carte"
"Cart Subtotal:","Sous-total du panier :"
"Change","Change"
"Change Billing Address","Modifier l'adresse de facturation"
"Checkbox text","Checkbox text"
"Checkout","Régler mes achats"
"Checkout Conditions","Checkout Conditions"
"Checkout Options","Options de règlement"
"Checkout Section","Checkout Section"
"Checkout Terms and Conditions","Checkout Terms and Conditions"
"Checkout as Guest","Régler en tant qu'invité"
"Checkout as a Guest or Register","Régler en tant qu'invité ou enregistrez-vous"
"Checkout method","Mode de réglement"
"Checkout with Multiple Addresses","Régler avec plusieurs adresses"
"City","Ville"
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation."
"Close","Fermer"
"Company","Entreprise"
"Condition Name","Condition Name"
"Condition was successfully deleted","Condition was successfully deleted"
"Condition was successfully saved","Condition was successfully saved"
"Configurable product image","Image de produit configurable"
"Confirm Password","Confirmer votre mot de passe"
"Content","Content"
"Content Height","Content Height"
"Content Height (css)","Content Height (css)"
"Continue","Poursuivre"
"Continue Shopping","Poursuivre vos achats"
