"# of Uses","Nb d'utilisations"
"%s tag(s) have been accepted for moderation","%s tag(s) have been accepted for moderation"
"Action","Action"
"Actions","Actions"
"Add New Tag","Ajouter un nouveau libellé"
"Add Tags","Ajouter des libellés"
"Add Your Tags:","Ajoutez vos libellés:"
"Add to Cart","Ajouter au panier"
"Add to Wishlist","Ajouter à la liste-cadeaux"
"All Tags","Tous les libellés"
"Approved","Approuvé"
"Are you sure that you want to delete this tag?","Êtes-vous certain de vouloir supprimer ce libellé ?"
"Are you sure you want to delete this tag?","Etes-vous certain de vouloir supprimer ce libellé ?"
"Are you sure you want to do this?","Êtes-vous certain de vouloir faire cela ?"
"Are you sure?","Etes-vous certain ?"
"Back","Retour"
"Back to Tags List","Retour à la liste de libellés"
"Back to view Tag","Retour à l'affichage du libellé"
"Block Information","Informations bloc"
"CSV","CSV"
"Change status","Modifier le statut"
"Click on a tag to view your corresponding products.","Cliquez sur un libellé pour voir les produits correspondant."
"Country","Pays"
"Customer Since","Client depuis le"
"Customers","Clients"
"Customers Tagged '%s'","Les clients ont libellés '%s'"
"Delete","Supprimer"
"Delete Tag","Effacer le libellé"
"Disabled","Désactivé"
"Edit Tag","Modifier le libellé"
"Edit Tag '%s'","Éditer libellé '%s'"
"Email","Courriel"
"First Name","Prénom"
"General Information","Informations générales"
"Grid","Grille"
"ID","ID"
"Last Name","Nom de famille"
"List","Liste"
"My Recent Tags","Mes libellés récents"
"My Tags","Mes libellés"
"Name","Nom"
"New Tag","Nouveau libellé"
"No matches found.","Aucune correspondance trouvée."
"Other people marked this product with these tags:","D'autres personnes ont marqué ce produit avec ces libellés:"
"Pending","En attente"
"Pending Tags","Libellés en attente"
"Popular","Populaire"
"Popular Tags","Libellés populaires"
"Popularity","Popularité"
"Price","Prix"
"Product Name","Nom produit"
"Product SKU","SKU produit"
"Product Tags","Libellés du produit"
"Products","Produits"
"Products Tagged with '%s'","Produits libellés avec '%s'"
"Products tagged with '%s'","Produits libellés avec '%s'"
"Products tagged with '%s' (<a href='%s'>RSS</a>)","Produits libellés avec '%s' (<a href='%s'>RSS</a>)"
"SKU","SKU"
"Save Tag","Enregistrer le libellé"
"Search Results for '%s' (<a href='%s'>RSS</a>)","Résultats de recherche pour '%s' (<a href='%s'>RSS</a>)"
"Search Terms","Search Terms"
"Status","Statut"
"Tag","Libellé"
"Tag ""%s"" has already been added to the product","Tag ""%s"" has already been added to the product"
"Tag Information","Informations du libellé"
"Tag Name","Nom du libellé"
"Tag Name: %s","Nom du libellé: <strong>%s</strong>"
"Tag can't be empty.","Le champ Libellé ne peut être vide."
"Tagged in","Libellé dans"
"Tags","Libellés"
"Tags Aren't Available","Les libellés ne sont disponibles"
"Tags:","Libellés :"
"Telephone","Téléphone"
"Thank you. Your tag has been accepted for moderation.","Merci. Votre libellé a été accepté pour modération."
"Unable to find any products tagged with '%s' in the current store","Impossible de trouver des produits libellés avec '%s' dans le magasin en cours"
"Unable to remove tag. Please, try again later.","Impossible de supprimer le libellé. Veuillez réessayer plus tard."
"Unable to save tag(s)","Impossible d'enregistrer le(s) libellé(s)"
"Unable to save your tag. Please, try again later.","Impossible d'enregistrer votre libellé. Veuillez réessayer plus tard."
"Use spaces to separate tags. Use single quotes (') for phrases.","Utilisez des espaces pour séparer les libelléss. Utilisez les apostrophes (') pour les phrases."
"Uses","Utilisations"
"View All","View All"
"View All Tags","Voir tous les libellés"
"View Customers","Voir les clients"
"View Products","Voir les produits"
"Visible In","Visible dans"
"XML","XML"
"You have not tagged any products yet.","Vous n'avez pas encore libellé de produits."
"Your tag was successfully deleted","Your tag was successfully deleted"
"Your tag was successfully saved","Your tag was successfully saved"
"ZIP/Post Code","Code postal"
"You have not tagged any products yet.","You have not tagged any products yet."
