"Abandoned carts","Paniers abandonnés"
"Action","Action"
"Add to Cart","Ajouter au panier"
"Add to Compare","Ajouter au comparateur"
"Add to Wishlist","Ajouter à ma liste-cadeaux"
"Applied Coupon","Coupons utilisés"
"Avg. approved rating","Avg. approved rating"
"Avg. rating","Avg. rating"
"Bestsellers","Meilleures ventes"
"Bought from wishlists","Acheté à partir de la liste-cadeaux"
"CSV","CSV"
"Carrier/Method","Transporteur/Mode"
"Carts","Paniers"
"Coupons","Bons de réduction"
"Created at","Créé le"
"Customer","Client"
"Customer Name","Nom du client"
"Customer Tags","Libellés client"
"Customers","Clients"
"Customers Report","Rapport clients"
"Customers Reviews","Commentaires clients"
"Customers Tags","Clients ayant proposé des libellés"
"Customers by number of orders","Clients par nombre de commandes"
"Customers by orders total","Clients par montant de commande"
"Customers that have wishlist: %s%","Clients ayant une liste-caeaux: %s%"
"Day","Jour"
"Default Recently Compared Products count","Default Recently Compared Products count"
"Default Recently Viewed Products count","Default Recently Viewed Products count"
"Detail","Détail"
"Discounts","Remises"
"Downloads","Downloads"
"Email","Courriel"
"Excel","Excel"
"First Name","Prénom"
"Guest","Invité"
"Hits","Vues"
"ID","ID"
"Invalid date specified","Invalid date specified"
"Invoiced","Facturé"
"Items Ordered","Articles commandés"
"Items in Cart","Articles dans le panier"
"Last Name","Nom de famille"
"Last Review","Dernier commentaire"
"Link","Link"
"Low stock","Stock bas"
"Month","Mois"
"Most Viewed","Les plus consultés"
"Most viewed","Les plus consultés"
"Name","Nom (usage interne)"
"New Accounts","Nouveaux comptes"
"Number Added","Nombre ajouté"
"Number Fulfilled","Nombre réalisés"
"Number Of Historical Uses","Nombre d'utilisations historiques"
"Number Of Reviews","Nombre de commentaires"
"Number Of Uses","Nombre d'utilisations"
"Number Purchased","Nombre acheté"
"Number Viewed","Nombre de vues"
"Number of Items","Nombre d'articles"
"Number of Ivoiced Orders","Number of Ivoiced Orders"
"Number of New Accounts","Nombre de nouveaux comptes"
"Number of Orders","Nombre de commandes"
"Number of Refunded Orders","Number of Refunded Orders"
"Number of Reviews","Nombre de commentaires"
"Number of Total Tags","Nombre de libellés total"
"Number of Unique Tags","Nombre de libellés uniques"
"Number of Views","Nombre de consultations"
"Number of items bought from a wishlist: %s","Nombre d'articles achetés depuis une liste-cadeaux: %s"
"Number of times deleted","Nombre de suppressions"
"Number of times wishlists have been shared (emailed): %s","Nombre de fois que la liste-cadeaux a été partagée (envoyée par courriel): %s"
"Number of wishlist conversions: %s","Nombre de conversion de listes-cadeaux: %s"
"Number of wishlist referrals: %s","Nombre de référents de la liste-cadeaux: %s"
"Number of wishlists: %s","Nombre de listes-cadeaux: %s"
"Offline Refunded","Remboursé hors ligne"
"Online Refunded","Remboursé en ligne"
"Orders","Commandes"
"Out of stock","Épuisé"
"Poducts Report","Rapport produits"
"Popular Tags","Libellés populaires"
"Popularity","Popularité"
"Price","Prix"
"Product Name","Nom produit"
"Product Reviews","Commentaires de produits"
"Product Sku","SKU produit"
"Product Tags","Libellés de produits"
"Products","Produits"
"Products Report","Produits"
"Products Reviews","Produits commentés"
"Products Sold","Products Sold"
"Products Tags","Produits libellés"
"Products in carts","Produits dans des paniers"
"Purchases","Purchases"
"Quantity Ordered","Quantité commandée"
"Quantity of Items","Quantité d'articles"
"Rate","Rate"
"Recently Compared Products","Produits récemment comparés"
"Recently Viewed Products","Produits récemment consultés"
"Recently Viewed/Compared Products","Produits récemment consultés/comparés"
"Refunded","Remboursé"
"Reports","Rapports"
"Results","Résultats"
"Revenue","Revenu"
"Review","Commentaire"
"Reviews","Commentaires"
"Reviews for %s","Commentaires pour %s"
"Sales","Ventes"
"Sales Report","Ventes"
"Search Terms","Termes de recherche"
"Shipping","Livraison"
"Shopping Cart","Panier"
"Show for Current","Afficher pour le"
"Stock Qty","Quantité en stock"
"Submitted In","Soumis dans"
"Submitted On","Soumis le"
"Subtotal","Sous-total"
"Tag","Libellé"
"Tag ""%s"" details","Détails du libellé ""%s"""
"Tag Detail","Détail du libellé"
"Tag Name","Nom du libellé"
"Tag use","Utilisation de libellé"
"Tags submited by %s","Libellés soumis par %s"
"Tags submitted to %s","Libellés soumis pour %s"
"Tax","Taxe"
"Tax Amount","Montant Taxe"
"Title","Titre"
"Total","Total"
"Total Invoiced","Total Invoiced"
"Total Invoiced Captured","Total Invoiced Captured"
"Total Invoiced not Captured","Total Invoiced not Captured"
"Total Refunded","Total remboursé"
"Total Shipping","Total livraison"
"Total Tags","Nb total de libellés"
"Total invoiced","Total facturé"
"Total refunded","Total remboursé"
"Updated at","Mis à jour le"
"Visible In","Visible dans"
"Wishlist Report","Liste-cadeaux"
"Wishlist vs. Regular Order","Liste-cadeaux vs. Commande normale"
"Wishlists","Liste-cadeaux"
"Year","Année"
"Your Recently Compared","Vos dernières comparaisons"
"Your Recently Viewed","Vos dernières consultations"
