"Add Recipient","Ajouter destinataire"
"Allow for Guests","Autoriser pour les invités"
"Email Address","Courriel"
"Email Address:","Courriel:"
"Email templates","Gabarits de courriel"
"Email to a Friend","Envoyer à un ami"
"Email:","Courriel:"
"Enabled","Activé"
"Limit Sending By","Limiter l'envoi par"
"Link to a friend was sent.","Le lien a été envoyé à un ami."
"Max Products Sent in 1 Hour","Nombre max de produits envoyés en 1 heure"
"Max Recipients","Nombre max de destinataires"
"Maximum %d email addresses allowed.","%d courriels max autorisés"
"Message:","Message:"
"Name","Nom (usage interne)"
"Name:","Nom:"
"Recipient:","Destinataire:"
"Remove Email","Supprimer le courriel"
"Select email template","Sélectionner le gabarit de courriel"
"Send email","Envoyer le courriel"
"Send product to a friend","Envoyer le produit à un ami"
"Sender:","Expéditeur:"
"Some emails was not sent","Certains courriels n'ont pas été envoyé"
"Some problems with data.","Il y a des problèmes avec les données."
"You cannot email this product to a friend","Vous ne pouvez pas envoyer ce produit par courriel à un ami"
"You cannot send more than %d times in an hour","Vous ne pouvez pas faire plus de %d envois en une heure"
