"%s Item(s)","%s article(s)"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2008 Magento Demo Store. All Rights Reserved."
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"(ver. %s)","(ver. %s)"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- or Shift-click to decrease it","- or Shift-click to decrease it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"About the calendar","About the calendar"
"Click <a href=""%s"">here</a> if nothing has happened","Click <a href=""%s"">here</a> if nothing has happened"
"Close","Close"
"Close Window","Fermer la fenêtre"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
"Date selection:","Date selection:"
"Default Description","Description par défaut"
"Default welcome msg!","Default welcome msg!"
"Display %s first","Display %s first"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Drag to move","Drag to move"
"For latest version visit: %s","For latest version visit: %s"
"Go Today","Go Today"
"Help Us to Keep Magento Healthy","Aidez-nous à maintenir Magento"
"Interface Language","Langage de l'interface"
"Items %s to %s of %s total","Articles <strong>%s</strong> à <strong>%s</strong> sur un total de <strong>%s</strong>"
"Next Page","Page suivante"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Page:","Page :"
"Prev. month (hold for menu)","Prev. month (hold for menu)"
"Prev. year (hold for menu)","Prev. year (hold for menu)"
"Previous Page","Page précédente"
"Redirecting...","Redirecting..."
"Report All Bugs","Signalez les bogues"
"Select Store","Choisir une boutique"
"Select date","Select date"
"Show","Afficher"
"Skip to Footer","Skip to Footer"
"Skip to Left Column","Skip to Left Column"
"Skip to Main Content","Passer au contenu principal"
"Skip to Right Column","Skip to Right Column"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Ceci est une boutique de démonstration. Aucune commande passée sur cette boutique ne sera honorée."
"Time selection:","Time selection:"
"Time:","Time:"
"Welcome, %s!","Bienvenue, %s !"
"You're currently on:","Vous êtes actuellement sur :"
"Your Language","Votre langue"
"Your Language:","Your Language:"
"per page","par page"
"Your Language:","Your Language:"
"(ver. %s)","(ver. %s)"
"Help Us to Keep Magento Healthy","Help Us to Keep Magento Healthy"
"Report All Bugs","Report All Bugs"
"Your Language","Your Language"
