" and "," 和 "
"(Absolute path or Relative to Magento install root, ex. var/export)","(绝对路径或者相对于Magento安装根目录，例如 var/export)"
"(For US 2-letter state names)","（用于美国两个字符的州名）"
"(If left empty will be auto-generated)","（如留空将被自动生成）"
"(Leave empty for first spreadsheet)","(留空，保留给第一个电子表单)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","（若导入文件里的商店 ‘store’ 栏留空或不存在， 商品将增添至或更新于此商店。）"
"(Shift-)Click or drag to change value","(Shift-)点击（Click）或拖弋（drag）以更换值"
"(Starting with)","(开始为)""
(When 'No'"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(为'否'时，仅导入映射字段。当映射时，用'column1'、'column2'等。)"
"(You have to increase php memory_limit before changing this value)","（修改此值之前您必须先增加php的memory_limit设置值）"
"(\t for tab)","(t 为制表符)"
"- Click on any of the time parts to increase it","- 点击然后时间部分以增加它"
"- Hold mouse button on any of the above buttons for faster selection.","- 点按鼠标纽于上面任何按钮以加速选择。"
"- Use the %s buttons to select month","- 使用 %s 按钮以选择月份。"
"- Use the %s, %s buttons to select year","-使用 %s 和 %s 按钮以选择年份。"
"- or Shift-click to decrease it","- 或同时按下Shift健和按鼠标纽（Shift-click）以减少选择。"
"- or click and drag for faster selection.","- 或点击（Click）和拖弋（drag）以以加速选择。"
"API:","API:"
"About the calendar","关于此月历"
"Access Denied.","访问被拒绝"
"Account Created in:","帐号创建于："
"Account Created on (%s):","帐号创建于（%s"
"Account Created on:","帐号创建于："
"Action","操作"
"Actions","操作"
"Add","Add"
"Add Contents Path","添加内容路径"
"Add Field with URL:","添加URL栏："
"Add Maintainer","添加维护人员"
"Add New Role","添加新职责角色（Role）"
"Add New Template","增加新模板"
"Add New User","添加新用户"
"Add PHP Extension dependency","添加PHP扩展依赖"
"Add Package dependency","添加安装包依赖"
"Add Subpackage dependency","添加子安装包依赖"
"Add new store view map","Add new store view map"
"Add new website map","Add new website map"
"Address Type:","地址类型："
"All","全部"
"All Websites","所有网站"
"All fields","所有行/栏"
"Archive file name:","存档文件名："
"Are you sure that you want to delete this template?","您确定要删除此模版吗？"
"Are you sure that you want to strip tags?","您确定要删除此标签吗？"
"Attribute Set Name:","属性分组名："
"Attributes","属性"
"Available Products","可使用的商品"
"Big Image","大图"
"Billing Address","账单地址"
"Bundle Items","配套商品"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","具有动态价格的包裹不能含有自定选项。选项设置不会被保存。"
"CSV / Tab separated","CSV /Tab分隔"
"Card Verification Number","信用卡认证码"
"Catalog","目录"
"Channel","频道"
"Channel:","频道："
"Choose Store View","选择商品界面"
"Client Session timeout (sec.)","客户会话超时 （秒）"
"Close","关闭"
"Comments History","评论的历史"
"Confirmed email:","已确认的邮件："
"Connect with the Magento Community","同Magento社区联系"
"Contents","内容"
"Country:","国家："
"Create New Staging Store View","Create New Staging Store View"
"Create a backup","Create a backup"
"Created <strong>%s</strong> items","Created <strong>%s</strong> items"
"Credit Card Number","信用卡号"
"Credit Card Number: xxxx-%s","信用卡号： xxxx-%s"
"Credit Card Type","信用卡类型"
"Credit Card Type: %s","信用卡类型： %s"
"Credit Memo History","退货备注历史"
"Credit Memo Totals","总退货备注"
"Current Configuration Scope:","当前设置范围："
"Current Release Information","当前版本信息"
"Custom","自定义"
"Customer Group:","顾客分组"
"Customer Since:","顾客加入日期："
"Customers","顾客"
"DHTML Date/Time Selector","DHTML 时间/T日期选择"
"Dashboard","面板"
"Data Format","数据格式"
"Data transfer:","数据传输："
"Date selection:","日期选择："
"Date selector","日期选择"
"Date:","日期："
"Decimal separator:","小数点分隔符:"
"Default (Admin) Values","默认管理（Admin）值"
"Default Values","默认值"
"Delete","删除"
"Dependencies","前提条件"
"Description:","描述："
"Direction:","方向："
"Display %s first","先显示%s"
"Distributed under GNU LGPL. See %s for details.","发布为GNU LGPL执照。 查看%s详情。"
"Done By:","完成于："
"Done by:","完成于："
"Download Remote File","下载远程文件"
"Drag to move","拖弋移动"
"Edit Role","编辑职责角色"
"Edit User '%s'","编辑用户'%s'"
"Email","电邮"
"Email Preview","电邮预览"
"Email:","电邮："
"Enclose Values In:","附此值于："
"Entity type:","实体类型："
"Excl. Tax","不含税"
"Exclude","不含"
"Expiration Date","有效期"
"Expiration Date: %s/%s","有效期： %s/%s"
