"Actions","操作"
"Are you sure?","您确定吗？"
"Date Added","添加日期"
"Error while marking as read. Please try again later.","标记为已读时发生错误，请稍后重试。"
"Error while marking. Please try again later.","进行标记时发生错误，请稍后重试。"
"Error while removing. Please try again later.","删除信息时发生错误，清稍后重试。"
"Last update","最后更新时间"
"Mark as Read","标记为已读"
"Mark as read","标记为已读"
"Message","信息"
"Message was successfully marked as read","成功将信息标记为已读状态"
"Message was successfully removed","成功删除信息"
"Messages Inbox","信息箱"
"Notifications","告示"
"Please select messages","请选择信息"
"Read Details","阅读详情"
"Remove","删除"
"Severity","重要级别"
"Show List","显示列表"
"Show Toolbar","显示工具栏"
"Total of %d record(s) were successfully marked as read","共有%d条记录被标记为已读"
"Total of %d record(s) were successfully removed","共有%d被删除"
"Unable to proceed. Please, try again","操作无法继续。请稍后再试!"
"Update frequency","更新频率"
"Use HTTPS to get feed","使用HTTPS获得订阅内容"
"critical","高度重要"
"major","主要"
"minor","次要"
"notice","公告"
