"Abandoned carts","放弃结算的购物车"
"Action","操作"
"Add to Cart","加入购物车"
"Add to Compare","比较"
"Add to Wishlist","收藏"
"Applied Coupon","优惠券已应用。"
"Avg. approved rating","平均审核评级"
"Avg. rating","平均评级"
"Bestsellers","畅销商品"
"Bought from wishlists","购买于收藏"
"CSV","CSV"
"Carrier/Method","方式"
"Carts","购物车"
"Coupons","优惠券"
"Created at","创建于"
"Customer","顾客"
"Customer Name","顾客名字"
"Customer Tags","顾客标签"
"Customers","客户"
"Customers Report","顾客报告"
"Customers Reviews","顾客评论"
"Customers Tags","顾客标签"
"Customers by number of orders","根据订单数排列的顾客"
"Customers by orders total","根据订单总额排列的顾客"
"Customers that have wishlist: %s%","有收藏商品的顾客：%s%"
"Day","日"
"Default Recently Compared Products count","默认“最近比较商品”显示数量"
"Default Recently Viewed Products count","默认“最新查看商品”显示数量"
"Detail","详情"
"Discounts","优惠"
"Downloads","下载"
"Email","电邮"
"Excel","Excel"
"First Name","名字"
"Guest","访客"
"Hits","点击"
"ID","编号"
"Invalid date specified","指定日期有误"
"Invoiced","已出发票"
"Items Ordered","订购商品"
"Items in Cart","购物车内的商品"
"Last Name","姓氏"
"Last Review","最新评论"
"Link","链接"
"Low stock","低库存"
"Month","M月份"
"Most Viewed","最多浏览的"
"Most viewed","查看次数最多"
"Name","名称"
"New Accounts","新帐号"
"Number Added","数(号)已添加。"
"Number Fulfilled","完成次数"
"Number Of Historical Uses","记录使用数"
"Number Of Reviews","评论次数"
"Number Of Uses","使用次数"
"Number Purchased","购买次数"
"Number Viewed","查看次数"
"Number of Items","商品数"
"Number of Ivoiced Orders","已出发票订单数量"
"Number of New Accounts","新帐号数"
"Number of Orders","订单数量"
"Number of Refunded Orders","退款订单数量"
"Number of Reviews","评论次数"
"Number of Total Tags","标签总数"
"Number of Unique Tags","独立标签次数"
"Number of Views","查看次数"
"Number of items bought from a wishlist: %s","收藏商品被购买次数: %s"
"Number of times deleted","删除次数"
"Number of times wishlists have been shared (emailed): %s","收藏商品被共享次数 (通过电邮): %s"
"Number of wishlist conversions: %s","已换算的收藏件数：%s"
"Number of wishlist referrals: %s","推荐的收藏件数：%s"
"Number of wishlists: %s","收藏件数： %s"
"Offline Refunded","离线退款"
"Online Refunded","在线退款"
"Orders","订单"
"Out of stock","无库存"
"Poducts Report","商品报告"
"Popular Tags","热门标签"
"Popularity","热门度"
"Price","价格"
"Product Name","商品名称"
"Product Reviews","商品评论"
"Product Sku","商品 Sku"
"Product Tags","商品标签"
"Products","商品"
"Products Report","商品报告"
"Products Reviews","商品评论"
"Products Sold","Products Sold"
"Products Tags","商品标签"
"Products in carts","购物车中商品"
"Purchases","购买"
"Quantity Ordered","购买的件数"
"Quantity of Items","商品件数"
"Rate","评级"
"Recently Compared Products","最近比较的商品"
"Recently Viewed Products","最近浏览过的商品"
"Recently Viewed/Compared Products","最近浏览过/比较过的商品"
"Refunded","已退款"
"Reports","报告"
"Results","结果"
"Revenue","利润"
"Review","评论"
"Reviews","评论"
"Reviews for %s","评论%s"
"Sales","销售"
"Sales Report","销售报告"
"Search Terms","搜寻关键词"
"Shipping","配送"
"Shopping Cart","购物车"
"Show for Current","当前显示"
"Stock Qty","库存件数"
"Submitted In","提交于"
"Submitted On","提交于"
"Subtotal","小计"
"Tag","标签"
"Tag ""%s"" details","""%s""标签的详情"
"Tag Detail","标签详情"
"Tag Name","标签名"
"Tag use","标签使用"
"Tags submited by %s","标签提交人%s"
"Tags submitted to %s","标签提交于%s"
"Tax","税"
"Tax Amount","税额"
"Title","标题"
"Total","总额"
"Total Invoiced","已出发票总计"
"Total Invoiced Captured","已出发票收款总计"
"Total Invoiced not Captured","已出发票未收款总计"
"Total Refunded","退款总计"
"Total Shipping","发货总计"
"Total Tags","总标签"
"Total invoiced","总发票"
"Total refunded","总退货"
"Updated at","更新于"
"Visible In","显示于"
"Wishlist Report","收藏报告"
"Wishlist vs. Regular Order","收藏和一般订单对比"
"Wishlists","收藏"
"Year","年份"
"Your Recently Compared","您最近比较过的商品："
"Your Recently Viewed","您最近浏览过的商品："
