"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","成功添加%1$s到您的收藏，点击<a href=""%2$s"">这里</a>以继续购物"
"%s's Wishlist","%s的收藏"
"* Required Fields","* 必填栏目"
"Add All to Cart","全部放入购物车"
"Add to Cart","加入购物车"
"Add to Wishlist","加入收藏"
"Added On","加入在"
"Are You sure?","您确定吗？"
"Are you sure you want to remove this product from your wishlist?","请确定是否从收藏中删除此商品？"
"Are you sure you would like to remove this item from the wishlist?","你真的确定想从收藏中删除此项商品吗？"
"Back","返回"
"Can't save description %s","无法保存%s产品描述"
"Cannot create wishlist","无法创建收藏"
"Cannot specify product","无法指定产品"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","如果您要在收藏中添加一个到RSS订阅的链接，请核选该处。"
"Comment","备注"
"Email Sender","电子邮件发件人"
"Email Template","电子邮件模板"
"Email address can't be empty.","电子邮件地址不能为空。"
"Email addresses, separated by commas","多个电子邮件地址间，请使用逗号分隔"
"Enabled","已启用"
"General Options","基本选项"
"Go to Wishlist","转到收藏"
"Last Added Items","最后加入的商品"
"Message","内容"
"My Wishlist","我的收藏"
"My Wishlist (%d item)","收藏（%d 件）"
"My Wishlist (%d items)","收藏（%d 件）"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","请输入有效电子邮件地址并以逗号分隔。 例如：johndoe@domain.com, johnsmith@domain.com"
"Please, enter your comments...","请输入备注..."
"Product","产品"
"RSS Feed","RSS 订阅"
"RSS link to %s's wishlist","RSS 连接到%s的收藏"
"Remove Item","删除"
"Share Wishlist","共享收藏"
"Share Your Wishlist","共享您的收藏"
"Share options","共享选项"
"Sharing Information","共享信息"
"There was an error while adding item to wishlist.","向收藏中添加商品时出错。"
"There was an error while adding item to wishlist: %s","向收藏中添加产品时出错：%s"
"There was an error while deleting item from wishlist.","从收藏中删除产品项时出错。"
"There was an error while deleting item from wishlist: %s","从收藏中删除产品时出错：%s"
"This product(s) is currently out of stock:","此产品当前缺货："
"Update Wishlist","更新收藏"
"View Product","查看产品"
"Wishlist","收藏"
"Wishlist Section","收藏部分"
"Wishlist Sharing","共享收藏"
"Wishlist is empty now.","暂无收藏产品。"
"You have no items in your wishlist.","收藏中无任何产品项。"
"You input not valid email address.","您输入的电子邮件地址无效。"
"Your Wishlist was successfully shared","成功共享您的收藏。"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","My Wishlist - <a href=""%s"">%d Item(s)</a>"
"My Wishlist","我的收藏"
"Are you sure you want to remove this product from your wishlist?","Are you sure you want to remove this product from your wishlist?"
"Please, enter your comments...","Please, enter your comments..."
