"Actions","操作"
"Add Answer","添加答案"
"Add New Answer","添加新答案"
"Add New Poll","添加新问卷"
"Answer Title","答案标题"
"Answer Title:","答案标题："
"Answer was successfully saved","成功保存选项"
"Answer with the same title in this poll","相同的答案于此问卷中"
"Are you sure you want to delete it?","您确定要删除它？"
"Assigned Answers","已指定的答案"
"Closed","已关闭"
"Community Poll","社区问卷"
"Date Closed","已关闭日期"
"Date Posted","发布日期"
"Delete","删除"
"Delete Answer","删除答案"
"Delete Poll","删除问卷"
"Disallow voting in a poll multiple times from same IP-address","禁止相同IP地址重复投票"
"Edit Answer '%s'","编辑答案'%s'"
"Edit Poll '%s'","编辑问卷'%s'"
"Edit Poll Answer","编辑问卷答案"
"ID","编号"
"Invalid Answer","无效选项"
"New Poll","新问卷"
"Number of Responses","回复次数"
"Open","开放"
"Poll Answers","问卷答案"
"Poll Information","问卷信息"
"Poll Manager","问卷管理"
"Poll Question","问卷问题"
"Poll information","问卷信息"
"Poll not exists","投票不存在"
"Poll with the same question","相同的问卷问题"
"Save Answer","保存答案"
"Save Poll","储存文件"
"Status","状态"
"Unable to find answer to delete.","没有找到要删除的选项。"
"Visible In","显示于"
"Vote","投票"
"Votes Count","投票计算"
"Votes Count:","投票计算："
