" Copy"," 拷贝"
"Action","操作"
"Add New Template","增添新模版"
"Add to Queue","添加到队列"""
"Are you sure that you want to delete this template?","您确定要删除此模版？"
"Are you sure that you want to strip all tags?","您确定要清楚所有的标签？"
"Back","返回"
"Cancel","取消"
"Cancelled","已取消"
"Cannot delete subscriber","无法删除订阅人"
"Cannot delete template","无法删除模板"
"Cannot mark as received subscriber","不能标记为已订阅人"
"Cannot save your subscription: %s","无法保存订阅：%s"
"Confirmation Email Sender","发件人确认电邮"
"Confirmation Email Template","确认电邮模版"
"Confirmation request has been sent","确认邮件已发出"
"Convert to Plain Text","转换至纯文本格式"
"Create Newsletter Template","创建Newsletter模版"
"Customer","客户"
"Customer Firstname","客户名字"
"Customer Lastname","客户姓氏"
"Date Added","加入日期"
"Date Updated","日期已更新"
"Delete Selected Problems","删除被选的问题"
"Delete Template","删除模版"
"Do you really want to cancel the queue?","您确定要取消列队？"
"Duplicate of template code","模板代码重复"
"Edit Newsletter","编辑Newsletter"
"Edit Newsletter Template","编辑Newsletter模版"
"Edit Queue","编辑队列"
"Edit Template","编辑模版"
"Email","电邮"
"Enter your email address","输入您的电邮地址"
"Error Code","错误代码"
"Error Text","错误文字"
"Form was filled incorrectly","表格填写不正确"
"Guest","访客"
"ID","编号"
"Invalid queue selected","选择的队列不正确"
"Invalid subscriber ID","订阅人编号不正确"
"Invalid subscription ID","订阅编号不正确"
"Invalid subscription confirmation code","订阅确认码不正确"
"Message","内容"
"Need to Confirm","需确认？"
"New Newsletter Template","新添Newsletter模版"
"New Template","新模版"
"Newsletter","邮件列表"
"Newsletter Message Preview","Newsletter内容预览"
"Newsletter Problem Reports","Newsletter问题报告"
"Newsletter Queue","Newsletter列队"
"Newsletter Section","Newsletter单元"
"Newsletter Sign-up","注册邮件列表"
"Newsletter Subscribers","Newsletter订阅名单"
"Newsletter Subscription","Newsletter订阅"
"Newsletter Subscriptions","Newsletter订阅"
"Newsletter Templates","Newsletter模版"
"Newsletter subscription confirmation","Newsletter订阅确认信"
"Newsletter subscription success","Newsletter订阅成功"
"Newsletter unsubscription success","Newsletter退订成功"
"No Templates Found","查找不到模版"
"No problems found","没有找到问题"
"No subscribers selected","没有选择订阅人"
"Not Sent","寄送不成功"
"Not activated","未激活"
"Pause","暂停"
"Paused","已暂停"
"Please enter a valid email address","请输入正确的邮件地址"
"Please enter new template name","请输入模版名称。"
"Please select subscriber(s)","请选择订阅名单"
"Preview","预览"
"Preview Template","预览模版"
"Processed","已处理"
"Queue Date Start","队列日期开始"
"Queue Finish","队列结束"
"Queue Information","队列信息"
"Queue Newsletter","队列邮件列表"
"Queue Start","队列开始"
"Queue Subject","队列主题"
"Recipients","收件人"
"Reset","重置"
"Resume","继续"
"Return Html Version","返回Html版本"
"Save And Resume","储存并继续"
"Save As","储存为"
"Save Newsletter","储存Newsletter"
"Save Template","储存模版"
"Selected problem subscribers successfully unsubscribed","成功退订选择的有问题的订阅人"
"Selected problems successfully deleted","成功删除选择的问题"
"Sender","发件人"
"Sender Email","发件人电邮"
"Sender Name","发件人名字"
"Sending","正在发送"
"Sending Options","发送选项"
"Sent","已发送"
"Set Return-Path","设置返回路径"
"Sign me up","注册"
"Sign up for our newsletter:","订阅邮件列表："
"Start","开始"
"Status","状态"
"Store","商店"
"Store View","商店界面"
"Subject","主题"
"Subscribe","订阅"
"Subscribed","已订阅"
"Subscriber","订阅者"
"Subscribers","订阅名单"
"Subscribers From","订阅表单"
"Subscription Options","订阅选择"
"Success Email Sender","成功订阅发件人电邮"
"Success Email Template","成功订阅电邮模版"
"Template Content","模版内容"
"Template Information","模版信息"
"Template Name","模版名"
"Template Subject","模版主题"
"Template Type","模版类型"
"Thank you for your subscription","感谢您的订阅"
"The subscription was successfully saved","成功保存订阅"
"There was a problem with the subscription","订阅出现问题"
"There was a problem with the subscription: %s","此订阅有问题：%s"
"There was a problem with the un-subscription.","此退订有问题。"
"There was an error while saving your subscription","保存订阅时出现问题"
"Toggle Editor","切换编辑器"
"Type","类型"
"Unsubscribe","退订"
"Unsubscribe Selected","退订被选择"
"Unsubscribed","已退订"
"Unsubscription Email Sender","退订发件人电邮"
"Unsubscription Email Template","退订电邮模版"
"View Newsletter","阅览Newsletter"
"Website","网站"
"You have been successfully unsubscribed.","您已成功退订。"
"Your subscription was successfully confirmed","您的订阅已确认"
"Sign up for our newsletter:","Sign up for our newsletter:"
"Subscribe","Subscribe"
"Newsletter","Newsletter"
"Sign up for our newsletter","订阅"
"Newsletter Subscriptions","Newsletter Subscriptions"
