"(eg: domain.com/identifier)","(例如：domain.com/identifier)"
"Action","操作"
"Add New Block","添加新区块"
"Add New Page","添加新页面"
"All countries","所有国家"
"Block Information","区块信息"
"Block Title","区块标题"
"Block was successfully deleted","成功删除区块"
"Block was successfully saved","成功保存方框"
"CMS","CMS"
"CMS Home Page","CMS首页"
"CMS No Route Page","CMS No Route页）"
"Content","内容"
"Custom Design","自定义设计"
"Custom Theme","自定义模版"
"Custom Theme From","自定义主题自"
"Custom Theme To","自定义主题到"
"Customer Tax Class Information","顾客税种信息"
"Date Created","创建日期"
"Delete Block","删除区块"
"Delete Page","删除页面"
"Description","说明"
"Disabled","关闭"
"Edit Block","编辑区块"
"Edit Block '%s'","编辑区块：'%s'"
"Edit Page","编辑页面"
"Edit Page '%s'","编辑页面：'%s'"
"Enabled","已开启"
"General Information","基本信息"
"Go to Home Page","回首页"
"Home","首页"
"Identifier","标识符（Identifier）"
"Keywords","关键字"
"Last Modified","最后修改"
"Layout","版面（Layout）"
"Layout Update XML","XML版面更新"
"Manage Pages","页面管理"
"Meta Data","Meta数据（用于SEO优化）"
"Meta Description","Meta说明"
"Meta Keywords","Meta关键字"
"New Block","新区块"
"New Page","新页面"
"Page Identifier cannot consist only of numbers.","页面标识符不能只含数字。"
"Page Identifier for specified store already exist.","输入的商店页面标识符已存在。"
"Page Information","页面信息"
"Page Status","页面状态"
"Page Title","页面标题"
"Page was successfully deleted","成功删除页面"
"Page was successfully saved","成功保存页面"
"Poll Manager","投票管理"
"Product Tax Class Information","商品税种信息"
"SEF URL Identifier","搜索引擎友好网址的标识符"
"Save Block","储存区块"
"Save Page","储存页面"
"Show breadcrumbs for CMS pages","显示CMS页面导航条"
"Static Blocks","固定方框/区块(功能：适用于页面的任何地方)"
"Status","状态"
"Store View","商店界面"
"Such a block identifier in selected store already exist.","选择商店的方框标识符已存在。"
"The page you are trying to save no longer exists","要保存的页面不存在"
"This block no longer exists","该方框不存在"
"This page no longer exists","该页面不存在"
"Title","标题"
"Unable to find a block to delete","没有找到要删除的方框"
"Unable to find a page to delete","没有找到要删除的页面"
