"# of Use","# 使用"
"%1$s incl tax.","%1$s 含税."
"%s - %s","%s - %s"
"%s Item(s)","%s件"
"(Copy data from: %s)","(所拷贝数据: %s)"
"(Will make search for the query above return results for this search.)","(搜寻查询是否加入此搜查结果？)"
"* Required Fields","* 必填项"
"-- Please Select --","-- 请选择 --"
"A name is required","为必填项"
"ALL GROUPS","所有分组"
"AM","AM"
"Action","操作"
"Add Attribute","添加属性"
"Add Design Change","添加界面设计"
"Add Group","添加分组"
"Add Items to Cart","加到购物车"
"Add New","添加"
"Add New Attribute","添加新属性"
"Add New Attribute Set","添加新属性组"
"Add New Group","添加新分组"
"Add New Images","添加新图片"
"Add New Option","添加新的选项"
"Add New Row","添加新行"
"Add New Search Term","添加新的关键字搜寻"
"Add New Set","添加新组合"
"Add Option","增加选项"
"Add Product","添加商品"
"Add Product To Websites","添加商品于网站中"
"Add Root Category","添加主（Root）栏目"
"Add Subcategory","添加子栏目"
"Add Tax","加入税中"
"Add Tier","增加层次"
"Add to Cart","加入购物车"
"Add to Compare","比较"
"Add to My Wishlist","加入收藏"
"Add to Wishlist","收藏"
"Additional Information","附加信息"
"All","全部"
"All Product Types","所有商品类型"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","此分组里的所有商品将被删除，您确定要删除此属性分组？"
"Allow HTML-tags on Front-end","Allow HTML-tags on Front-end"
"Allowed File Extensions","允许文件格式"
"Allowed file extensions to upload","允许上传文件格式"
"Amount","Amount"
"Apply To","应用于"
"Apply To Configurable/Grouped Product","应用于可设置/组合商品"
"Approved","已批准"
"Are you sure you want to delete this category?","确定要删除此分类栏目？"
"Are you sure you would like to remove all products from your comparison?","确定要删除所有比较列表里的商品？"
"Are you sure you would like to remove this item from the compare products?","确定要从比较商品里删除此商品"
"Are you sure?","确定吗"
"As low as:","低至："
"Assign","指派"
"Assign product link","指派商品连接"
"Assign product to category","指派商品到分类栏目"
"Assigned Products","被指定商品。"
"Associated Products","相关商品"
"Attrib. Set Name","属性组合名称"
"Attribute Code","属性代码"
"Attribute Information","属性信息"
"Attribute Label","属性标签"
"Attribute Model","属性型号"
"Attribute Name:","属性名字:"
"Attribute Properties","属性参数"
"Attribute Set","属性分组"
"Attribute group with the ""/name/"" name already exists","此 ""/名字/""的属性分组名经已存在。"
"Attribute model not defined","属性型号未定义"
"Attribute with the same code already exists","此属性号经已存在"
"Attributes","属性"
"Attrribute names can be specified per store.","一个商店可指派属性名"
"Autogenerate","自动生成
Availability:"""
"Availability","库存"
"Availability: In stock.","库存：有货"
"Availability: Out of stock.","库存：缺货。"
"Back","回返"
"Backend Model","后台型号"
"Backend Table","后台表单"
"Backend Table Title","后台表单标题"
"Backorders","缺货订单"
"Base directory to upload image file is not specified","没有设定上传图片文件的基准目录"
"Based On","基于"
"Best Value","超值"
"Block after Info Column","信息栏之后的区块"
"Bottom/Left","底下/左边"
"Bottom/Right","B底下/右边"
"Browse By","查看"
"Buy %1$s for %2$s","买 %1$s 付 %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","买一 %1$s 付 %2$s (%3$s 含税)"
"Buy %1$s for %2$s each","买一 %1$s 付 %2$s"
"Can be used only with catalog input type Dropdown","只可用于下拉式（Dropdown）商品目录"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","只可用于下拉式（Dropdown）商品目录，多项选择式（Multiple Select）及价格"
"Can't create image.","无法创建图片"
"Cannot create writeable directory '%s'","Cannot create writeable directory '%s'"
"Cart Item Attribute","购物车商品属性"
"Catalog","商品目录"
"Catalog Input Type for Store Owner","店主的目录输入类型"
"Catalog Price Scope","商品目录价格范围"
"Catalog Section","目录单元"
"Catalog, Search","目录，搜寻"
"Categories","目录分类"
"Categories Sitemap","目录分类检索"
"Category","目录分类"
"Category API","目录分类 API"
"Category Data","目录分类数据"
"Category Navigation:","分类导航："
"Category Products","分类商品"
"Category Top Navigation","目录分类主菜单"
"Category URL Suffix","目录分类URL后缀"
"Category attributes API","目录分类属性 API"
"Category delete error","删除分类出错"
"Category deleted","分类已删除"
"Category move error","目录分类更动错误"
"Category must be instance of Mage_Catalog_Model_Category","分类必须是 Mage_Catalog_Model_Category 实例"
"Category saved","分类已保存"
"Change","编辑"
"Change or Retrieve attribute store view","修改或读取商店属性"
"Change status","修改状态"
"Check items to add to the cart or","检查商品是否可加入购物车"
"Choose an Option...","选择选项..."
"Choose option...","选择选项..."
"Clear All","清除所有"
