"%s already exist","%s已存在"
"%s already exists","%s已存在"
"-- Please Select --","-- 请选择 --"
"Add Block Names to Hints","在提示信息中添加区块名称"
"Add Secret Key to URLs","添加秘密码至URLs"
"Add Store Code to Urls","添加商店代号至Urls"
"Admin","管理"
"Admin Base URL","基准管理URL"
"Admin User Emails","管理员电邮"
"Advanced","高级"
"Allow countries","允许国家"
"Allowed IPs (comma separated)","允许的IPs (以逗号分开)"
"Are you sure?","您确定吗？"
"Back","返回"
"Backup options","备份选项"
"Base JavaScript URL","基准JavaScript URL"
"Base Link URL","基准链接URL"
"Base Media URL","基准媒体URL"
"Base Skin URL","基准Skin URL"
"Base URL","基准URL"
"Before modifying the store view code please make sure that it is not used in index.php","在修改商店界面代码前，请确认没有在index.php中使用"
"Before modifying the website code please make sure that it is not used in index.php","在修改网站代码前，请确认没有在index.php中使用"
"Block with name ""%s"" already exists","区块名""%s""已经存在。"
"Blocks HTML output","区块 HTML 输出"
"Can't retrieve request object","无法读取要求的实体。"
"Can't retrieve entity config: %s","无法获取实体配置：%s"
"Cancel","取消"
"Cannot Delete Email Template","不能删除电子邮件模板"
"Cannot complete this operation from non-admin area.","非管理设置内无法完成此操作"
"Category object is required for determining product request path","确定商品请求路径需要分类对象"
"Code","代码"
"Collections Data","集合(Collections)数据"
"Configuration","配置"
"Controller file was loaded but class does not exist","控制文件已加载但其类型不存在"
"Cookie Domain","Cookie域"
"Cookie Lifetime","Cookie时效"
"Cookie Path","Cookie路径"
"Copyright","版权信息"
"Countries options","国家选项"
"Create Store","创建商店"
"Create Store View","创建商店界面"
"Create Website","创建网站"
"Current package name","当前安装包名称"
"Custom Design","自定义设计"
"Custom admin URL","自定义管理 URL"
"Custom email 1","自定义邮件一"
"Custom email 2","自定义邮件二"
"Customer support","客户服务"
"Date From","开始日期"
"Date To","结束日期"
"Date/time format ""%s"" is not supported.","日期/时间格式""%s""不支持"
"Debug","调试"
"Default","默认"
"Default Description","默认说明"
"Default Keywords","默认Keywords"
"Default Pages","默认页"
"Default Robots","默认Robots"
"Default Store","默认商店"
"Default Store View","默认商店界面"
"Default Title","默认标题"
"Default country","缺省国家"
"Default no-route url","缺省缺失的页面"
"Default web url","缺省网址"
"Delete","删除"
"Delete Store","删除商店"
"Delete Store View","删除商店界面"
"Delete Website","删除网站"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","删除 %1$s不会删除与  %1$s相关的信息（例如类别，商品等），但是%1$s被删除后无法恢复。建议删除%1$s之前先生成一个数据库备份。"
"Design","设计"
"Design Change","设计更改"
"Developer","开发者"
"Developer Client Restrictions","Developer客户限制区"
"Disable email communications","禁用电子邮件"
"Disable modules output","模块输出"
"Duplicate Of Template Code","模板代码重复"
"Edit Design Change","编辑设计更新"
"Edit Store","编辑商店"
"Edit Store View","编辑商店界面"
"Edit Website","编辑网站"
"Empty identifier field name","清空辨识行名"
"Empty main table name","清空主表单（table）名"
"Enabled","已启用"
"Enabled for Admin","启用于后台管理"
"Enabled for Frontend","启用于前台"
"Error in file: ""%s"" - %s","文件错误L ""%s"" - %s"
"Error while saving. Please try again later.","保存时出错，请稍后再试。"
"Error: Passwords do not match","错误信息：密码不匹配"
"Exceptions Log File Name","Exceptions日志文件名"
"First Day of Week","每周的第一天"
"Footer","页脚"
"Forgot Password Email Sender","忘记密码电邮发件人"
"Forgot Password Email Template","忘记密码电邮模版"
"General","基本"
"General Settings","基本设置"
"General contact","联系人"
"Global","全站"
"HTML Head","HTML 头信息"
"Header","页眉"
"Host","主机"
"Id path for specified store","指定商店的编号路径"
"Incorrect credit card expiration date","信用卡失效日期有误"
"Invalid base url type","无效的基准url类型"
"Invalid block name to set child %s: %s","子分组%s的无效区块名: %s"
"Invalid block type: %s","无效区块类型：%s"
"Invalid block: %s","无效区块: %s"
"Invalid layout update argument, expected Mage_Core_Model_Layout_Element","版面更新参数不正确，必须是 Mage_Core_Model_Layout_Element"
"Invalid layout update handle","无效的版面更新控制柄"
"Invalid messages storage ""%s"" for layout messages initialization","启动版面信息里的""%s""无效信息库 。"
"Invalid transactional email code: ","无效的交易邮件代号："
"Invalid websites configuration path: %s","网站配置路径不正确：%s"
"Layout","版面（Layout）"
"Layouts","布局"
"Leave empty for access from any location","放空则允许从任何位置访问"
"Locale","本地化"
"Locale options","本地化选项"
"Log Settings","日志设置"
"Logging from Mage::log(). File is located in�{{base_dir}}/var/log","来自 Mage::log() 的日志。文件位于 {{base_dir}}/var/log"
"Logging from Mage::logException(). File is located in�{{base_dir}}/var/log","来自 Mage::logException() 的日志。文件位于  {{base_dir}}/var/log"
"Logo Image Alt","Logo 替代文字"
"Logo Image Src","Logo 图片源"
"Manage Stores","商店管理"
"Match expressions in the same order as displayed in the configuration.","匹配形态（Match expressions） in the same order as displayed in the configuration."
"Miscellaneous HTML","杂项HTML"
"Miscellaneous scripts","各种脚本"
"Model class does not exist: %s","型号类不存在：%s"
"Model collection resource name is not defined","型号组合资源名未定义"
"Module ""%1$s"" can not be depended from ""%2$s""","模块""%1$s""不能依""%2$s""而定"
"Module ""%1$s"" requires module ""%2$s""","Module ""%1$s"" requires module ""%2$s"""
"Name","名称"
"New Design Change","修改新设计"
"New Store","新商店"
"New Store View","新商店界面"
"New Website","新网站"
"No","否"
"Package","设计包"
"Please choose to register or to checkout as a guest","请选择注册或以访客身份结算。"
"Please define flag code.","请定义flag码。"
"Please enter 6 or more characters.","请输入6个或更多字符。"
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","请输入6个或更多字符，前后空格将被忽略。"
"Please enter a number greater than 0 in this field.","请输入0或大于0于此行里。"
"Please enter a valid $ amount. For example $100.00.","请输入正确的$额， 例如，$100.00."
"Please enter a valid URL. For example http://www.example.com or www.example.com","请输入正确的URL名。例如： http://www.example.com或www.example.com"
"Please enter a valid URL. http:// is required","请输入正确的网址，要带 http:// "
"Please enter a valid credit card number.","请输入正确的信用卡号码。"
"Please enter a valid date.","请输入正确的日期。"
"Please enter a valid email address. For example johndoe@domain.com.","请输入正确的电邮，例如： johndoe@domain.com。"
"Please enter a valid number in this field.","请输入正确的号码。"
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","请输入正确的电话号码，例如：(123) 456-7890或123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","请输入正确的社安号，例如：123-45-6789."
"Please enter a valid zip code.","请输入正确邮编。"
"Please enter a valid zip code. For example 90602 or 90602-1234.","请输入正确邮编，例如：90602或90602-1234."
"Please enter valid password.","请输入正确密码。"
"Please make sure that Base URL ends with '/' (slash), e.g. http://yourdomain/magento/","请确保 URL 以斜杠 ""/"" 结束，例如：http://yourdomain/magento/"
"Please make sure your passwords match.","请确认您的密码匹配。"
"Please select State/Province.","请选择省份。"
"Please select an option.","请选择一个选项。"
"Please select one of the above options.","请选择上面的一个选项。"
"Please select one of the options.","请选择一个选项。"
"Please specify payment method.","请选择付款方式。"
"Please specify shipping method.","请选择配送方式。"
