"Alert Email Sender","提醒发件人"
"Alert subscription was deleted successfully","成功删除订阅提醒邮件"
"Alert subscription was saved successfully","成功保存订阅提醒邮件"
"Allow alert when product comes back in stock","允许有库存时提醒"
"Allow alert when product price changes","允许价格变化时提醒"
"Click here not to receive alerts for this product","点击这里已拒接接收商品提示"
"Error Email Recipient","收件人电邮错误"
"Error Email Sender","发件人电邮错误"
"Error Email Template","电邮模版错误"
"Frequency","频率"
"Not enough parameters","没有足够的参数"
"Please try again later","请稍后再试"
"Price alert Email Template","价格提醒邮件的模板"
"Price:","价格："
"Product Alerts","商品提示"
"Product Alerts Run Settings","商品提示设置"
"Product alerts Cron error","商品提示定时作业错误"
"Product not found","商品未找到"
"Product price alert","商品价格提示"
"Product stock alert","商品库存提示"
"Sign up for price alert","注册价格提示通知"
"Sign up to get notified when this product is back in stock","此商品有库存后，通知我。"
"Special price:","特价："
"Start Time","开始时间"
"Stock alert Email Template","库存提醒邮件的模板"
"Unsubscribe from all price alerts","退订所有价格提示。"
"Unsubscribe from all stock alerts","退订所有库存提示。"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","您之所以收到此邮件是因为您订阅了库存提示通知。"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","您之所以收到此邮件是因为您订阅了此商品的价格提示通知。"
"You will no longer receive price alerts for this product","您不会再收到该商品的价格提醒"
"You will no longer receive stock alerts","您不会再收到库存提醒"
"You will no longer receive stock alerts for this product","您不会再收到该商品的库存提醒"
