"* Required Fields","* 必填栏目"
"Add","添加"
"Add Gift Message","添加礼物留言"
"Allow Gift Messages for Order Items","允许对所订商品项附礼物留言"
"Allow Gift Messages on Order Level","允许对订单附礼物留言"
"Are you sure?","您是否确定？"
"Cancel","取消"
"Check this checkbox if you want to add gift messages to your items.","如果您想给商品附礼物留言，请核选此项。"
"Check this checkbox if you want to add gift messages.","如果您想附礼物留言，请核选此项。"
"Close","关闭"
"Do you have any gift items in your order?","此订单中是否含有礼品？"
"Edit","编辑"
"Edit Gift Message","编辑礼品留言"
"Enter a gift message for each item in your order.","请对订单中每件礼品输入礼品留言。"
"Enter a gift message for entire order.","请输入该订单的礼物留言。"
"Enter a gift message for this address.","请输入对该地址的礼品留言。"
"Error while saving gift message","保存礼物留言时出错"
"From","自"
"Gift Message","礼品留言"
"Gift Messages","礼品留言"
"Gift message has been successfully saved","礼品留言成功保存"
"Item %d of %d","第%d件，共%d件"
"Message","留言"
"No","否"
"Remove","删除"
"Save","保存"
"Save Gift Message","保存礼品留言"
"To","致"
"Unknown entity type","未知实体类型"
"Use config","使用配置"
"Yes","是"
"You can leave a box blank if you don't wish to add a gift message for the item.","如果您不希望给该商品附礼品留言，请搁置此处。"
"You can leave a box blank if you don't wish to add a gift message for this address.","如果您不希望给该地址附礼品留言，请搁置此处。"
"You can leave a box blank if you don't wish to add a gift message for whole order.","如果您不想给该订单附礼物留言，请搁置此处。"
"Your gift message has been successfully removed","您的礼品留言已成功删除"
"Your gift message has been successfully saved","您的礼品留言已成功保存"
"Your gift message successfully removed","您的礼品留言删除成功"
"Your gift message successfully saved","您的礼品留言保存成功"
