"All Websites","所有网站"
"Apply Percent Discounts To FPT","应用折扣到商品固定税"
"Apply Tax To FPT","应用税率于商品固定税（FPT）"
"Display Prices In Emails","于邮件中显示价格"
"Display Prices In Product Lists","于商品列表中显示价格"
"Display Prices In Sales Modules","于销售模块中显示价格"
"Display Prices On Product View Page","在商品查看页面显示价格"
"Enable FPT","启动商品固定税（FPT）"
"Excluding FPT","不含商品固定税（FPT）"
"Excluding FPT, FPT description, final price","含商品固定税（FPT）, 说明及最终价格"
"Fixed Product Tax","商品固定税"
"Fixed Product Taxes","商品固定税"
"Include FPT In Subtotal","小计中包含商品固定税"
"Including FPT and FPT description [excl. FPT VAT]","包含商品固定税和商品固定税描述 [不包含商品固定税增值税]"
"Including FPT and FPT description [incl. FPT VAT]","I包括商品固定税（FPT）及描述 [包含商品固定税增值税]"
"Including FPT only","只含商品固定税"
"Total","总额"
"Total incl. tax","含税总额"
