"%s and greater","%s及更大"
"Advanced Search","高级搜寻"
"All","全部"
"Applies for ""Like"" Search type only","仅应用于“相似”搜索类型"
"Apply Layered Navigation if search results are less than","应用分层导航，如果搜索结果少于"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","属性设置修改与搜索索引相关。请运行<a href=""%s"">重建搜索索引</a> 程序"
"Autogenerated site map","自动生成网站地图"
"Catalog Advanced Search","高级目录搜寻"
"Catalog Search","目录搜寻"
"Don't see what you're looking for?","没看见您要查找的商品？"
"Go","Go"
"Go to Home Page","回首页"
"Grid","多栏显示"
"Home","首页"
"List","列表"
"Maximum Query Length","最大查询长度"
"Maximum Query Words Count","最大查询词数"
"Maximum Search query  length is %s. Your query was cut.","最大搜索查询字长为%s，您问题的一部分已被剪切。"
"Minimal Query Length","最小查询长度"
"Modify your search","修改您的搜索"
"No","否"
"No items were found using the following search criteria.","没有找到与下列搜索条件相匹配的产品。"
"Please enter ""0"" to enable layered navigation for any number of results","对于任意数的结果，请输入“0”来开启分层导航"
"Popular Search Terms","热门搜索关键词"
"Popular search terms","热门搜索关键词"
"Relevance","相关"
"Required Fields","必填栏目"
"Results","结果"
"Search","搜寻"
"Search Settings","搜寻设置"
"Search Site","搜索网站"
"Search Terms","搜索关键词"
"Search Type","搜索类型"
"Search entire store here...","全店搜索 ..."
"Search results for '%s'","有关'%s'的搜索结果："
"Search results for: '%s'","搜索结果: '%s'"
"Subscribe to Feed","订阅到RSS"
"There are no search terms available.","没有可用的搜索关键词。"
"Yes","是"
"You have to specify at least one search term","请输入至少一个搜索关键词"
"Your search returns no results.","没有搜索到任何结果。"
"up to %s","多达%s"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d商品</strong>为下列搜索条件相匹配的商品。"
"Is product available for purchase with Google Checkout","Is product available for purchase with Google Checkout"
"Advanced Search","Advanced Search"
"Search Terms","Search Terms"
"Popular Search Terms","Popular Search Terms"
"There are no search terms available.","There are no search terms available."
