"* Required Fields","* 必填项"
"A new password was sent","新的密码已经发出"
"Account Dashboard","帐号界面"
"Account Information","帐户信息"
"Account Sharing Options","帐户共享选项"
"Account information was successfully saved","成功保存帐户信息"
"Action","操作"
"Add New Address","加新地址"
"Add New Customer","加新顾客"
"Add New Customer Group","加新顾客组"
"Added From","加自"
"Additional Address Entries","其它地址项"
"Address","地址"
"Address Book","地址簿"
"Address Information","地址信息"
"Addresses","地址簿"
"Admin","管理"
"All","全部"
"All Store Views","所有商店界面"
"All countries","所有国家"
"Always optional","总是可选"
"Amount","金额"
"Approved","批准"
"Are you sure that you want to remove this item?","确定要删除此商品？"
"Are you sure you want to cancel adding of this address?","确定要取消添加中的地址？"
"Are you sure you want to delete this address?","确定要删除此地址？"
"Are you sure?","确定？"
"Array of Entity collections is expected","需要实体组合的数组"
"Assign a customer group","指定客户分组"
"Average Sale","平均销售"
"Back","返回"
"Back to Login","返回登陆"
"Bad request.","错误的请求。"
"Bill to Name","账单收件人"
"Billing Information","账单信息"
"Bought From","购买自"
"By creating an account with our store, you will be able to move through the checkout process faster, store multiple shipping addresses, view and track your orders in your account and more.","注册帐号让您购物更方便快捷！您还可同时储存多个运送地址及管理商品，收藏等。"
"CSV","CSV"
"Can't save address","无法保存地址"
"Can't save customer","无法保存客户"
"Can't share customer accounts global. Because some customer accounts with same emails exist on multiple websites and cannot be merged.","客户帐号无法全局共享，因为部分客户帐号在在多个网站使用相同的电子邮件，记录无法合并。"
"Cancel","取消"
"Change Account Password","修改帐户密码"
"Change Billing Address","更新账单地址"
"Change Password","更换密码"
"Change Shipping Address","更新配送地址"
"City","城市"
"Company","公司"
"Config","设置"
"Confirm New Password","确认新密码"
"Confirm Password","确认密码"
"Confirmation Link Email","确认邮件链接"
"Confirmed","确认"
"Contact Information","联系信息"
"Continue Shopping","继续购物"
"Country","国家"
"Create","创建"
"Create New Account Options","注册新帐号选项"
"Create New Customer Account","注册新帐号"
"Create Order","创建订单"
"Create an Account","注册帐号"
"Create customer","创建顾客"
