"Actions","操作"
"Active","激活"
"Add New Rule","添加新规则"
"Apply","应用"
"Apply the rule only if the following conditions are met (leave blank for all products)","仅以下条件成立才应用规则 (所有商品留空)。"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","如购物车中的商品符合以下条件 (所有商品留空)， 仅应用规则。"
"Apply the rule to cart items matching the following conditions","如购物车中的商品符合以下条件， 仅应用规则。"
"Apply to","应用于"
"Buy X get Y free (discount amount is Y)","买X送Y(优惠金额为Y)"
"By Fixed Amount","固定金额"
"By Fixed value","固定价格"
"By Percentage","百分比"
"By Percentage of the original price","原价的百分比"
"Cart Attribute","购物车属性"
"Catalog","目录"
"Conditions","条件"
"Conditions combination","条件组合"
"Coupon Code","优惠券号"
"Coupon code","优惠券代码"
"Customer Groups","顾客分组"
"Customer is new buyer: %s","新顾客：%s"
"Customer registered: %s","已注册顾客：%s"
"Date Expire","有效期"
"Date Start","开始日期"
"Delete Rule","删除规则"
"Description","描述"
"Description: %s","描述： %s"
"Discount Qty Step (Buy X)","优惠数量递增(买X)"
"Discount amount","优惠金额"
"Edit Rule","修改规则""
Edit Rule '%s'"""
"Edit Rule '%s'","修改规则'%s'"
"Expire at: %s","有效期： %s"
"Fixed amount discount","固定金额优惠"
"Fixed amount discount for whole cart","固定金额优惠用于整个购物车"
"For matching items only","仅用于匹配商品"
"For shipment with matching items",",匹配商品的配送方法"""
"Free shipping","免运费"
"From Date","开始日期"
"General Information","基本信息"
"ID","编号"
"Inactive","未激活"
"Maximum Qty Discount is Applied to","最大数量优惠应用于"
"NOT LOGGED IN","尚未登录"
"Name: %s","名称： %s"
"New Rule","新规则"
"No","否"
"Payment Method","支付方式"
"Percent of product price discount","商品价格优惠百分比"
"Price in cart","购物车内的价格"
"Priority","优先级"
"Product attribute combination","商品属性组合"
"Products subselection","商品次选择"
"Promotions","促销"
"Public In RSS Feed","发布 RSS Feed"
"Quantity in cart","购物车内的数量"
"Row total in cart","购物车总额"
"Rule Information","规则信息"
"Rule Name","规则名称"
"Rule was successfully deleted","成功删除规则"
"Rule was successfully saved","成功保存规则"
"Save Rule","保存规则"
"Shipping Country","配送国家"
"Shipping Method","配送方式"
"Shipping Postcode","配送邮编"
"Shipping Region","配送地区"
"Shipping State/Province","配送省份"
"Shopping Cart Price Rule","购物车价格规则"
"Shopping Cart Price Rules","购物车价格规则"
"Special price","特价"
"Start at: %s","开始：%s"
"Status","状态"
"Stop further rules processing","停止处理其它规则"
"Subtotal","小计"
"The page you are trying to save no longer exists","要保存的页面不存在"
"This rule no longer exists","该规则不存在"
"To Date","结束日期"
"To Fixed Amount","固定金额"
"To Fixed Value","固定价格"
"To Percentage","百分比"
"To Percentage of the original price","原价的百分比"
"Total Items Quantity","总数量"
"Total Weight","总重量"
"Unable to find a page to delete","无法找到要删除的页面"
"Update prices using the following information","用此信息来更新价格"
"Update product's %s %s: %s","更新商品的%s %s：%s"
"Update the Product","更新商品"
"Uses per coupon","每优惠券使用"
"Uses per customer","每客户使用"
"Yes","是"
