"Add Recipient","添加收件人"
"Allow for Guests","允许访客"
"Email Address","电子邮件地址"
"Email Address:","电子邮件地址："
"Email templates","电子邮件模板"
"Email to a Friend","分享此商品给您的朋友"
"Email:","Email:"
"Enabled","启用"
"Limit Sending By","设寄送方式限制为"
"Link to a friend was sent.","给朋友的链接已发送。"
"Max Products Sent in 1 Hour","一小时内最多可发送的商品次数"
"Max Recipients","最大收件人数"
"Maximum %d email addresses allowed.","最多允许%d个电子邮件地址"
"Message:","内容:"
"Name","名字"
"Name:","名字:"
"Recipient:","收件人"
"Remove Email","删除"
"Select email template","选择邮件模板"
"Send email","发送邮件"
"Send product to a friend","分享此商品给朋友"
"Sender:","发件人"
"Some emails was not sent","部分邮件未送出"
"Some problems with data.","部分数据错误。"
"You cannot email this product to a friend","不能发送该商品给朋友"
"You cannot send more than %d times in an hour","1小时内不能发送超过%d次"
