"Action","操作"
"Add Sitemap","增加网站地图"
"Always","总是"
"CMS Pages Options","CMS页面选项"
"Categories Options","目录分类选项"
"Daily","按日"
"Edit Sitemap","修改网站地图"
"Enabled","启用"
"Error Email Recipient","错误收件人"
"Error Email Sender","错误发件人"
"Error Email Template","错误邮件模版"
"File ""%s"" cannot be saved. Please, make sure the directory ""%s"" is writeable by web server.","""%s""无法储存。Please, make sure the directory ""%s"" is writeable by web server."
"Filename","文件名"
"Frequency","频率"
"Generate","生成"
"Generation Settings","设置生成"
"Google Sitemap","Google网站地图"
"Google Sitemap Section","Google 网站地图单元 "
"Hourly","按时"
"ID","编号"
"Last Time Generated","最后生成时间"
"Link for Google","Google链接"
"Monthly","按月"
"Never","从未"
"New Sitemap","新建网站地图
Path"""
"Path","路径"
"Please create the specified folder ""%s"" before saving the sitemap.","在保存网站地图之前请创建指定目录 ""%s""。"
"Please define correct path","请定义正确的路径"
"Please make sure that ""%s"" is writable by web-server.","请确保 web 服务器具有对 ""%s"" 的写入权限。"
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in the filename. No spaces or other characters are allowed.","文件命名时请只使用 字母 (a-z 或 A-Z), 数字 (0-9) 或者下划线 (_) 。不允许空格或者其他字符。"
"Priority","优先级"
"Priority must be between 0 and 1","优先级必须为 0 到 1 之间"
"Products Options","商品选项"
"Sitemap","网站地图"
"Sitemap ""%s"" has been successfully generated","网站地图 ""%s"" 生成成功"
"Sitemap generate Warnings","生成网站地图时的警告"
"Sitemap was successfully deleted","成功删除网站地图"
"Sitemap was successfully saved","成功保存网站地图"
"Start Time","开始时间"
"Store View","商店界面"
"This sitemap no longer exists","本网站地图不存在"
"Unable to find a sitemap to delete","找不到要删除的网站地图"
"Unable to find a sitemap to generate","找不到要生成的网站地图"
"Unable to generate a sitemap","无法生成网站地图"
"Valid values range from 0.0 to 1.0","取值范围从 0.0 到 1.0"
"Weekly","每周"
"Yearly","每年"
