"-- Please Select --","-- 请选择 --"
"Account Registration","注册帐号"
"All fields of script types have to be filled.","所有文本框都需填写。"
"Attributes","属性"
"Category View Optimization","目录界面优化"
"Control Script","控制文字"
"Conversion Page","换算页"
"Conversion Page URL","换算页URL"
"Conversion Script","换算文本"
"Enable","启动"
"Google Optimizer Scripts","Google优化文本"
"Google Website Optimizer","Google网站优化器（Website Optimizer）"
"Install Scripts","安装文本"
"Limit is 8 attributes only.","属性限制数量为8"
"Multi Address Checkout","多地址结算"
"One Page Checkout","单页（One Page）结算"
"Order Success (Multi Address Checkout)","订单成功（多地址结算)"
"Order Success (One Page Checkout)","订单成功（单页（One Page）结算)"
"Original Page","原始页"
"Other","其它"
"Page Type","页面类型"
"Page View Optimization","页面界面优化"
"Please copy and paste this value to experiment edit form","请拷贝并粘贴这个值从而测试编辑表单"
"Please select store view to see the URL","请选择商店界面从而查看网址（URL）"
"Product View Optimization","商品界面优化"
"Scripts Install URL","S文本安装网址（URL）"
"Shopping Cart","购物车"
"Tracking Script","追踪（Tracking）文本"
"Use Default","使用默认"
"Use Default Values","使用默认值"
"Variant Page","变体页面"
