"--Select--","--请选择--"
"Add New Option","添加新选项"
"Add Selection","添加选择"
"As low as","最低"
"Bundle Items","捆绑品项"
"Bundle Product","捆绑售品"
"Buy %1$s with %2$s discount each","买%1$s件，每件优惠%2$s"
"Checkbox","核选"
"Choose a selection...","请选择..."
"Close","选择"
"Default","默认"
"Default Qty","默认件数"
"Default Title","默认标题
Drop-down"""
"Drop-down","下拉菜单"
"Dynamic","动态"
"Excl. Tax","未含税"
"Fixed","固定"
"From","自"
"From:","自："
"Gift Message","礼物留言"
"Incl. Tax","含税"
"Input Type","输入类型"
"Is Required","必填"
"Message:","留言内容："
"Multiple Select","多选"
"N/A","(无)"
"No options of this product are available.","此商品无可用选项"
"None","无"
"Percent","百分比"
"Percent Discount","折扣百分比"
"Please enter search conditions to view products.","请输入搜索条件以查看商品。"
"Please select options for product.","请选择商品选项。"
"Please select products to add","请选择商品以添加"
"Please specify product option(s)","请指定商品选项"
"Position","位置"
"Price Range","价格范围"
"Price Type","价格类型"
"Price as configured","配置价格为"
"Qty:","件数:"
"Radio Buttons","单选"
"Required options not selected.","必选项未选择。"
"Selected required options not available.","选择的必选项无效。"
"Separately","单独"
"Ship Bundle Items","出货捆绑品项"
"Shipment","发货配送"
"Store View Title","商店界面标题"
"There is no defined renderer for ""%s"" option type","无""%s""选项类型的定义处理"
"This product is also part of bundle(s)","此商品亦为捆绑商品的一部分。"
"To","致"
"To:","致："
"Together","共"
"User Defined Qty","定义用户数量"
