" and ","และ"
"(Absolute path or Relative to Magento install root, ex. var/export)","(ตำแหน่งพาธที่แน่นอนหรือใกล้เคียงของตำแหน่ง root ที่ใช้ติดตั้ง Magento, เช่น var/export)"
"(For US 2-letter state names)","(For US 2-letter state names)"
"(If left empty will be auto-generated)","(หากเว้นว่างไว้ ระบบจะทำการสร้างให้อัตโนมัติ)"
"(Leave empty for first spreadsheet)","(Leave empty for first spreadsheet)"
"(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)","(Products will be added/updated to this store if 'store' column is blank or missing in the import file.)"
"(Shift-)Click or drag to change value","กด (Shift-) แล้วคลิกหรือลากเพื่อเปลี่ยนค่า"
"(Starting with)","(เริ่มต้นด้วย)"
"(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)","(When 'No', only mapped fields will be imported. When mapping, use 'column1', 'column2', etc.)"
"(You have to increase php memory_limit before changing this value)","(คุณจำเป็นต้องทำการเพิ่มค่า php memory_limit ก่อนเปลี่ยนแปลงค่านี้)"
"(\t for tab)","(\t for tab)"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- Hold mouse button on any of the above buttons for faster selection.","(คลิกลงบนปุ่มกดที่อยู่ด้านบนเพื่อทำการเลือกได้รวดเร็วขึ้น)"
"- Use the %s buttons to select month","- ใช้ปุ่มกด %s เพื่อเลือกเดือน"
"- Use the %s, %s buttons to select year","- ใช้ปุ่มกด %s เพื่อเลือกปี"
"- or Shift-click to decrease it","- หรือกด Shift-คลิก เพื่อลดค่าลง"
"- or click and drag for faster selection.","- หรือคลิกเมาส์แล้วลากเพื่อทำการเลือกอย่างรวดเร็ว"
"API:","API:"
"About the calendar","เกี่ยวกับปฏิทิน"
"Access Denied.","ไม่สามารถเข้าถึงได้"
"Account Created in:","บัญชีที่ถูกสร้างขึ้นใน:"
"Account Created on (%s):","บัญชีถูกสร้างขึ้นเมื่อ (%s):"
"Account Created on:","บัญชีถูกสร้างขึ้นเมื่อ:"
"Action","การกระทำ"
"Actions","การกระทำ"
"Add","เพิ่มใหม่"
"Add Contents Path","เพิ่มตำแหน่งที่เก็บเนื้อหา"
"Add Field with URL:","Add Field with URL:"
"Add Maintainer","Add Maintainer"
"Add New Role","เพิ่มข้อกำหนดใหม่"
"Add New Template","เพิ่มเทมเพลทใหม่"
"Add New User","เพิ่มชื่อผู้ใช้งานใหม่"
"Add PHP Extension dependency","Add PHP Extension dependency"
"Add Package dependency","Add Package dependency"
"Add Subpackage dependency","Add Subpackage dependency"
"Add new store view map","Add new store view map"
"Add new website map","Add new website map"
"Address Type:","ประเภทที่อยู่:"
"All","ทั้งหมด"
"All Websites","เว็บไซต์ทั้งหมด"
"All fields","ช่องรับข้อมูลทั้งหมด"
"Archive file name:","Archive file name:"
"Are you sure that you want to delete this template?","คุณแน่ใจแล้วหรือว่าต้องการลบเทมเพลทนี้ทิ้งไป?"
"Are you sure that you want to strip tags?","Are you sure that you want to strip tags?"
"Attribute Set Name:","Attribute Set Name:"
"Attributes","คุณลักษณะ"
"Available Products","Available Products"
"Big Image","Big Image"
"Billing Address","ที่อยู่สำหรับจัดส่งใบเสร็จ"
"Bundle Items","Bundle Items"
"Bundle with dynamic pricing cannot include custom defined options. Options will not be saved.","Bundle with dynamic pricing cannot include custom defined options. Options will not be saved."
"CSV / Tab separated","CSV / Tab separated"
"Card Verification Number","หมายเลขยืนยันรหัสบัตร"
"Catalog","Catalog"
"Channel","Channel"
"Channel:","Channel:"
"Choose Store View","Choose Store View"
"Client Session timeout (sec.)","Client Session timeout (sec.)"
"Close","ปิด"
"Comments History","Comments History"
"Confirmed email:","Confirmed email:"
"Connect with the Magento Community","Connect with the Magento Community"
"Contents","เนื้อหา"
"Country:","ประเทศ"
"Create New Staging Store View","Create New Staging Store View"
"Create a backup","สร้างชุดสำรองข้อมูล"
"Created <strong>%s</strong> items","Created <strong>%s</strong> items"
"Credit Card Number","หมายเลขบัตรเครดิต"
"Credit Card Number: xxxx-%s","หมายเลขบัตรเครดิต: xxxx-%s"
"Credit Card Type","ประเภทบัตรเครดิต"
"Credit Card Type: %s","ประเภทบัตรเครดิต: %s"
"Credit Memo History","Credit Memo History"
"Credit Memo Totals","Credit Memo Totals"
"Current Configuration Scope:","Current Configuration Scope:"
"Current Release Information","Current Release Information"
"Custom","กำหนดเอง"
"Customer Group:","กลุ่มลูกค้า:"
"Customer Since:","เป็นลูกค้าตั้งแต่:"
"Customers","ลูกค้า"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
"Dashboard","หน้ากระดานหลัก"
"Data Format","รูปแบบข้อมูล"
"Data transfer:","Data transfer:"
"Date selection:","เลือกวันที่:"
"Date selector","Date selector"
"Date:","วันที่:"
"Decimal separator:","สัญลักษณ์คั่นจุดทศนิยม:"
"Default (Admin) Values","Default (Admin) Values"
"Default Values","ค่าเริ่มต้น"
"Delete","ลบ"
"Dependencies","Dependencies"
"Description:","คำอธิบาย:"
"Direction:","Direction:"
