"Alert Email Sender","ผู้ส่งอีเมล์แจ้งเตือน"
"Alert subscription was deleted successfully","ลบการสมัครการแจ้งเตือนแล้ว"
"Alert subscription was saved successfully","บันทึกการสมัครการแจ้งเตือนแล้ว"
"Allow alert when product comes back in stock","อนุญาตให้แจ้งเตือนเมื่อสินค้ากลับเข้ามามีในสต๊อก"
"Allow alert when product price changes","อนุญาตให้แจ้งเตือนเมื่อมีการเปลี่ยนแปลงราคาสินค้า"
"Click here not to receive alerts for this product","คลิ๊กที่นี่เพื่อที่จะไม่รับการแจ้งเตือนสำหรับสินค้านี้"
"Error Email Recipient","ผู้รับอีเมลล์ความผิดพลาด"
"Error Email Sender","ผู้ส่งอีเมลล์ความผิดพลาด"
"Error Email Template","เทมเพลตอีเมลล์ความผิดพลาด"
"Frequency","ความถี่"
"Not enough parameters","มี Parameter ไม่เพียงพอ"
"Please try again later","กรุณาลองใหม่อีกครั้ง"
"Price alert Email Template","เทมเพลตอีเมลล์แจ้งเตือนราคา"
"Price:","ราคา:"
"Product Alerts","การแจ้งเตือนสินค้า"
"Product Alerts Run Settings","ตั้งค่าการแจ้งเตือนสินค้า"
"Product alerts Cron error","แจ้งเตือนสินค้า Cron ผิดพลาด"
"Product not found","ไม่พบสินค้า"
"Product price alert","การแจ้งเตือนราคาสินค้า"
"Product stock alert","การแจ้งเตือนสต๊อกสินค้า"
"Sign up for price alert","สมัครการแจ้งเตือนราคา"
"Sign up to get notified when this product is back in stock","สมัครเพื่อรับข้อมูลแจ้งเมื่อสินค้านี้กลับมามีในคลังสินค้า"
"Special price:","ราคาพิเศษ:"
"Start Time","เวลาที่เริ่ม"
"Stock alert Email Template","เทมเพลตอีเมลล์การแจ้งเตือนคลังสินค้า"
"Unsubscribe from all price alerts","ยกเลิกการสมัครการแจ้งเตือนราคาทั้งหมด"
"Unsubscribe from all stock alerts","ยกเลิกการสมัครการแจ้งเตือนคลังสินค้าทั้งหมด"
"You are receiving this notification because you subscribed to receive alerts when the following products are back in stock:","คุณได้รับการแจ้งเตือนนี้เนื่องจากคุณได้สมัครการรับข้อมูลแจ้งเตือนเมื่อสินค้าดังต่อไปนี้กลับเข้ามามีในคลังสินค้า:"
"You are receiving this notification because you subscribed to receive alerts when the prices for the following products changed:","คุณได้รับการแจ้งเตือนนี้เนื่องจากคุณได้สมัครการรับข้อมูลแจ้งเตือนเมื่อราคาสำหรับสินค้าเปลี่ยน :"
"You will no longer receive price alerts for this product","คุณจะไม่ได้รับการแจ้งเตือนราคาสำหรับสินค้านี้อีก"
"You will no longer receive stock alerts","คุณจะไม่ได้รับการแจ้งเตือนคลังสินค้าอีก"
"You will no longer receive stock alerts for this product","คุณจะไม่ได้รับการแจ้งเตือนคลังสินค้าสำหรับสินค้านี้อีก"
