"%d Review(s)","%d บทวิจารณ์"
"%s Review(s)","%s บทวิจารณ์"
"(Posted on %s)","(โพสต์เมื่อ %s)"
"1 star","1 ดาว"
"2 stars","2 ดาว"
"3 stars","3 ดาว"
"4 stars","4 ดาว"
"5 stars","5 ดาว"
"Add New Review","เพิ่มบทวิจารณ์ใหม่"
"Add Your Review","เพิ่มบทวิจารณ์ของคุณ"
"Administrator","ผู้ดูแลระบบ"
"All Reviews","บทวิจารณ์ทั้งหมด"
"All reviews of customer `%s`","All reviews of customer `%s`"
"Allow guests to write reviews","Allow guests to write reviews"
"Are you sure you want to do this?","คุณแน่ใจว่าต้องการทำสิ่งนี้?"
"Are you sure?","คุณแน่ใจ?"
"Average Customer Rating","ลูกค้าให้คะแนนเฉลี่ย"
"Average Customer Rating:","ลูกค้าให้คะแนนเฉลี่ย:"
"Back","กลับ"
"Back to Main Product Info","กลับไปยังหน้าหลักข้อมูลสินค้า"
"Back to My Reviews","กลับไปยังบทวิจารณ์ของฉัน"
"Back to Product Reviews","กลับไปยังบทวิจารณ์สินค้า"
"Be the first to review this product","เป็นคนแรกที่วิจารณ์สินค้านี้"
"Created On","สร้างเมื่อ"
"Customer","ลูกค้า"
"Customer Reviews","บทวิจารณ์ของลูกค้า"
"Delete","ลบ"
"Delete Review","ลบบทวิจารณ์"
"Detailed Rating","รายละเอียดการให้คะแนน"
"Edit Review '%s'","แก้ไขบทวิจารณ์ '%s'"
"Guest","ผู้เยี่ยมชม"
"How do you rate this product?","คุณจะให้คะแนนสินค้านี้อย่างไร?"
"ID","ID"
"Manage Ratings","Manage Ratings"
"My Product Reviews","บทวิจารณ์สินค้าของฉัน"
"My Recent Reviews","บทวิจารณ์ล่าสุดของฉัน"
"Name","ชื่อ"
"Name In Store","ชื่อในร้านค้า"
"New Review","บทวิจารณ์ใหม่"
"Nickname","ชื่อเล่น"
"Pending Reviews","บทวิจารณ์ที่กำลังตรวจสอบ"
"Pending reviews","Pending reviews"
"Pending reviews of customer `%s`","Pending reviews of customer `%s`"
"Please select a product","กรุณาเลือกสินค้า"
"Please select one of each of the ratings above","กรุณาเลือกให้คะแนน คะแนนใดคะแนนหนึ่งด้านบน"
"Posted By","โพสต์โดย"
"Price","ราคา"
"Product","สินค้า"
"Product Name","ชื่อสินค้า"
"Product Rating","คะแนนสินค้า"
"Product Rating:","คะแนนสินค้า:"
"Product Review (submitted on %s):","บทวิจารณ์สินค้า (ยืนยัน เมื่อ %s):"
"Product Reviews","บทวิจารณ์สินค้า"
"Product SKU","SKU สินค้า"
"Qty","จำนวน"
"Rating:","คะแนน:"
"Review","วิจารณ์"
"Review Details","รายละเอียดบทวิจารณ์"
"Review by %s","วิจารณ์โดย %s"
"Reviews and Ratings","Reviews and Ratings"
"SKU","SKU"
"Save Review","บันทึกบทวิจารณ์"
"Status","สถานะ"
"Submit Review","ยืนยัน บทวิจารณ์"
"Summary Rating","สรุปคะแนน"
"Summary of Review","สรุปบทวิจารณ์"
"Summary of Your Review","บทสรุปของการวิจารณ์ของคุณ"
"Summary of review","สรุปบทวิจารณ์"
"Title","หัวข้อ"
"Type","ประเภท"
"Unable to post review. Please, try again later.","ไม่สามารถโพสต์บทวิจารณ์ กรุณาลองใหม่อีกครั้ง"
"Update status","ปรับปรุงสถานะ"
"View All Reviews","ดูทุกบทวิจารณ์"
"View Details","ดูรายละเอียด"
"Visible In","สามารถเห็นได้ใน"
"Websites","Websites"
"Write Your Own Review","เขียนบทวิจารณ์ของคุณเอง"
"You have submitted no reviews.","คุณไม่ได้ ยืนยันบทวิจารณ์ใด ๆ"
"You're reviewing: %s","คุณกำลังวิจารณ์: %s"
"Your Rating:","คุณให้คะแนน:"
"Your Review (submitted on %s):","บทวิจารณ์ของคุณ(submit เมื่อ %s):"
"Your review has been accepted for moderation","บทวิจารณ์ของคุณถูกรับไว้ตรวจสอบแล้ว"
"OR","OR"
"My Product Reviews","My Product Reviews"
