"%s and greater","%s และมากกว่า"
"Advanced Search","ค้นหาขั้นสูง"
"All","ทั้งหมด"
"Applies for ""Like"" Search type only","Applies for ""Like"" Search type only"
"Apply Layered Navigation if search results are less than","Apply Layered Navigation if search results are less than"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process"
"Autogenerated site map","แผนผังเว็บซต์ที่สร้างโดยอัตโนมัติ"
"Catalog Advanced Search","การค้นหาขั้นสูงในรายการสินค้า"
"Catalog Search","Catalog Search"
"Don't see what you're looking for?","Don't see what you're looking for?"
"Go","ค้นหา"
"Go to Home Page","ไปยังหน้าหน้าหลัก"
"Grid","แนวตั้ง"
"Home","หน้าหลัก"
"List","รายการ"
"Maximum Query Length","Maximum Query Length"
"Maximum Query Words Count","Maximum Query Words Count"
"Maximum Search query  length is %s. Your query was cut.","Maximum Search query  length is %s. Your query was cut."
"Minimal Query Length","Minimal Query Length"
"Modify your search","ปรับแต่งการค้นหา"
"No","ไม่ตกลง"
"No items were found using the following search criteria.","No items were found using the following search criteria."
"Please enter ""0"" to enable layered navigation for any number of results","Please enter ""0"" to enable layered navigation for any number of results"
"Popular Search Terms","คำค้นหายอดนิยม"
"Popular search terms","คำค้นหายอดนิยม"
"Relevance","Relevance"
"Required Fields","ฟิลด์ที่จำเป็น"
"Results","ผลลัพธ์"
"Search","ค้นหา"
"Search Settings","ตั้งค่าการค้นหา"
"Search Site","ค้นหาภายในไซต์"
"Search Terms","การค้นหา"
"Search Type","รูปแบบการค้นหา"
"Search entire store here...","ค้นหาร้านค้าทั้งหมดที่นี่..."
"Search results for '%s'","ผลการค้นหาสำหรับ '%s'"
"Search results for: '%s'","ผลการค้นหาสำหรับ: '%s'"
"Subscribe to Feed","Subscribe to Feed"
"There are no search terms available.","ไม่มีคำที่ค้นหา"
"Yes","ตกลง"
"You have to specify at least one search term","คุณต้องระบุคำค้นหาอย่างน้อยหนึ่งคำ"
"Your search returns no results.","ไม่มีผลลัพธ์สำหรับการค้นหาของคุณ"
"up to %s","เพิ่มถึง %s"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d item(s)</strong> were found using the following search criteria"
"Is product available for purchase with Google Checkout","Is product available for purchase with Google Checkout"
"Advanced Search","Advanced Search"
"Search Terms","Search Terms"
"Popular Search Terms","Popular Search Terms"
"There are no search terms available.","There are no search terms available."
