"--Please Select--","--กรุณาเลือก--"
"<label>Make Check payable to:</label> %s","<label>สั่งจ่ายเช็คในชื่อ:</label> %s"
"<label>Make Check payable to</label>: %s","<label>สั่งจ่ายเช็คในชื่อ</label>: %s"
"Automatically invoice all items","Automatically invoice all items"
"Can not configuration for payment method with code: %s","ไม่สามารถตั้งค่าสำหรับวิธีชำระเงินด้วยโค้ด: %s"
"Can not retrieve payment info model object.","ไม่สามารถเรียกข้อมูล Object โมเดลชำระเงิน"
"Can not retrieve payment method instance","ไม่สามารถเรียกข้อมูล ตัวอย่าง ของวิธีการชำระเงิน"
"Can not retrieve payment method model object.","ไม่สามารถเรียกข้อมูล Object โมเดลของวิธีชำระเงิน"
"Card Verification Number","หมายเลขยืนยันบัตรเครดิต"
"Check / Money order","เช็ค / ใบสั่งจ่ายเงิน"
"Credit Card Number","หมายเลขบัตรเครดิต"
"Credit Card Number: %s","หมายเลขบัตรเครดิต: %s"
"Credit Card Number: xxxx-%s","หมายเลขบัตรเครดิต: xxxx-%s"
"Credit Card Type","ประเภทบัตรเครดิต"
"Credit Card Type: %s","ประเภทบัตรเครดิต: %s"
"Credit Card Types","ประเภทบัตรเครดิต"
"Credit Card Verification","การตรวจสอบบัตรเครดิต"
"Enabled","เปิดการใช้งาน"
"Expiration Date","วันหมดอายุ"
"Expiration Date: %s/%s","วันที่หมดอายุ: %s/%s"
"Make Check payable to","สั่งจ่ายเช็คในชื่อ"
"Make Check payable to: %s","สั่งจ่ายเช็คในชื่อ: %s"
"Maximum Order Total","Maximum Order Total"
"Minimum Order Total","Minimum Order Total"
"Month","เดือน"
"Name on Card","ชื่อที่ปรากฏบนบัตร"
"Name on the Card: %s","ชื่อที่ปรากฏบนบัตร: %s"
"New order status","สถานะออเดอร์ใหม่"
"Payment Methods","วิธีการชำระเงิน"
"Payment Methods Section","Payment Methods Section"
"Payment from Specific countries","การชำระเงินจากประเทศที่กำหนด"
"Payment from applicable countries","การชำระเงินจากประเทศที่นำไปใช้ได้"
"Purchase Order Number","จำนวนในการจัดซื้อ"
"Purchase Order Number: %s","จำนวนในการจัดซื้อ: %s"
"Purchase order","รายการจัดซื้อ"
"Saved CC","CC ที่บันทึกแล้ว"
"Send Check to","ส่งเช็คไปยัง"
"Send Check to:","ส่งเช็คไปยัง:"
"Sort order","เรียงลำดับออเดอร์"
"Title","หัวข้อ"
"What is this?","นี่คืออะไร?"
"Year","ปี"
"Zero Subtotal Checkout","แจ้งออกด้วยการมียอดรวมเป็น 0"
