"Actions","การกระทำ"
"Active","ทำงาน"
"Add New Rule","เพิ่มข้อกำหนดใหม่"
"Apply Rules","นำข้อกำหนดไปใช้"
"Attribute Set","ชุดคุณลักษณะ"
"Catalog","รายการสิมค้า"
"Catalog Price Rule","การควบคุมราคาสินค้าในรายการ"
"Catalog Price Rules","การควบคุมราคาสินค้าในรายการ"
"Category","ประเภทสินค้า"
"Comments History","ข้อคิดเห็นที่ี่ผ่านมา"
"Conditions","เงื่อนไข"
"Conditions (leave blank for all products)","เงื่อนไข(ปล่อยว่างไว้สำหรับทุกสินค้า)"
"Conditions Combination","การรวมเงื่อนไข"
"Credit Memos","ใบลดหนี้"
"Customer Groups","กลุ่มลูกค้า"
"Customer is new buyer: %s","ลูกค้าเป็นผู้ซื้อใหม่: %s"
"Customer registered: %s","ลูกค้าลงทะเบียนเมื่อ: %s"
"Date Expire","วันที่หมดอายุ"
"Date From","ตั้งแต่วันที่"
"Date Start","วันที่เริ่ม"
"Date To","ถึงวันที่"
"Delete Rule","ลบข้อกำหนด"
"Description","รายละเอียด"
"Description: %s","รายละเอียด: %s"
"Edit Rule","แก้ไขข้อกำหนด"
"Edit Rule '%s'","แก้ไขข้อกำหนด '%s'"
"Expire at: %s","หมดอายุเมื่อ: %s"
"From Date","จากวันที่"
"General Information","ข้อมูลทั่วไป"
"Gift Messages","Gift Message"
"ID","รหัส"
"Inactive","ไม่ทำงาน"
"Invoices","ใบส่งสินค้า"
"NOT LOGGED IN","ไม่ได้เข้าสู่ระบบ"
"Name: %s","ชื่อ: %s"
"New Rule","ข้อกำหนดใหม่"
"No","ไม่ใช่"
"Options","ตัวเลือก"
"Order Credit Memos","ใบลดหนี้ของคำสั่งซื้อ"
"Order Gift Messages","Gift Message สำหรับคำสั่งซื้อ"
"Order History","ประวัติคำสั่งซื้อ"
"Order Invoices","ใบส่งของของคำสั่งซื้อ"
"Order Shipments","การส่งสินค้าของคำสั่งซื้อ"
"Priority","สิทธิพิเศษ"
"Product Attribute","คุณลักษณะสินค้า"
"Promotions","โปรโมชั่น"
"Rule Information","ข้อมูลข้อกำหนด"
"Rule Name","ชื่อข้อกำหนด"
"Rule was successfully deleted","ลบข้อกำหนดแล้ว"
"Rule was successfully saved","บันทึกข้อกำหนดแล้ว"
"Rules were successfully applied","นำข้อบังคับไปใช้แล้ว"
"Save Rule","บันทึกข้อกำหนด"
"Save and Apply","บันทึกและนำไปใช้"
"Shipments","การส่งสินค้า"
"Start at: %s","เริ่มเมื่อ: %s"
"Status","สถานะ"
"Stop further rules processing","หยุดการดำเนินการตามข้อกำหนด"
"The page you are trying to save no longer exists","ไม่มีหน้าที่คุณพยายามบันทึกข้อมูล"
"There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog.","There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog."
"This rule no longer exists","ไม่มีข้อกำหนดนี้"
"To Date","ถึงวันที่"
"Unable to apply rules","ไม่สามารถนำข้อกำหนดไปใช้ได้"
"Unable to find a page to delete","ไม่พบหน้าที่ต้องการลบ"
"Update product's %s %s: %s","แก้ไขสินค้า %s %s: %s"
"Websites","เว็บไซต์"
"Yes","ใช่"
