"* Select shipping method","* กรุณาเลือกวิธีการขนส่งสินค้า"
"AVS Status: %s","สถานะ AVS: %s"
"Add","Add"
"Add Shipping Method","Add Shipping Method"
"Allowed Methods","Allowed Methods"
"Amount: %s","จำนวนเงิน: %s"
"Auto-generated from GoogleCheckout Charge","สร้างโดยอัตโนมัตจากการเรียกเก็บเงินของ GoogleCheckout"
"Buyer account age: %s days","อายุบัญชีผู้ใช้ของผู้ซื้อ: %s days"
"CC Partial: xxxx-%s","CC บางส่วน: xxxx-%s"
"CID Status: %s","สถานะ CID: %s"
"Carrier Calculated Methods","Carrier Calculated Methods"
"Cart Discount","ส่วนลดรถเข็น"
"Checkout Image Style","สไตล์รูปสำหรับการ Checkout"
"Continue Shopping URL","ทำการเลือกซื้อสินค้าต่อที่ URL"
"Debug","Debug"
"Default Package Height (in)","Default Package Height (in)"
"Default Package Length (in)","Default Package Length (in)"
"Default Package Width (in)","Default Package Width (in)"
"Default price for methods","Default price for methods"
"Default price:","ราคาเริ่มต้น:"
"Delivery Address Category","Delivery Address Category"
"Delivery schedule","Delivery schedule"
"Disable Default Tax Tables","Disable Default Tax Tables"
"Eligible for protection: %s","มีคุณสมบัติต้องคุ้มครอง: %s"
"Enable","เปิดการใช้งาน"
"Enable Carrier Calculated","Enable Carrier Calculated"
"Enable Digital Delivery","Enable Digital Delivery"
"Enable Flat Rate","Enable Flat Rate"
"Enable Merchant Calculated","Enable Merchant Calculated"
"Enable this if your checkout request is too big and being cut off.","Enable this if your checkout request is too big and being cut off."
"Expiration: %s","การสิ้นสุด: %s"
"Financial: %s -> %s","การเงิน: %s -> %s"
"Free Shipping","Free Shipping"
"Fulfillment: %s -> %s","ที่สำเร็จ: %s -> %s"
"Google API","Google API"
"Google Authorization:","Google Authorization:"
"Google Buyer Id: %s","รหัสผู้ซื้อของ Google: %s"
"Google Charge:","Google เรียกเก็บ:"
"Google Checkout","Google Checkout"
"Google Checkout Shipping - Carrier Calculated","การส่งของ Google Checkout - ผู้ขนส่งคำนวณราคา"
"Google Checkout Shipping - Digital Delivery","Google Checkout Shipping - Digital Delivery"
"Google Checkout Shipping - Flat Rate","การส่งของ Google Checkout - อัตราคงที่"
"Google Checkout Shipping - Merchant Calculated","การส่งของ Google Checkout - ผู้ขายคำนวณราคา"
"Google Checkout: %s","Google Checkout: %s"
"Google Order Number: %s","เลขที่ออเดอร์ของ Google: %s"
"Google Refund:","การคืนเงินของ Google:"
"Google Risk Information:","ข้อมูล Google Risk:"
"Google order status change:","การเปลี่ยนแปลงสถานะออเดอร์ของ:"
"Hide Cart Contents During Checkout","ซ่อนรถเข็นเมื่อต้องการที่จะ แจ้งออก"
"IP Address: %s","IP Address: %s"
"If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated.","If enabled, cart contents will be hidden after clicking on the Google Checkout button in the shopping cart, and restored if ""Edit Cart"" link was activated."
"Invoice auto-created: %s","ใบส่งสินค้าที่สร้างโดยอัตโนมัติ: %s"
"Is Buyer Willing To Receive Marketing E-Mails: %s","Is Buyer Willing To Receive Marketing E-Mails: %s"
"Large - %s","Large - %s"
"Latest Charge: %s","การเรียกเก็บเงินล่าสุด: %s"
"Latest Refund: %s","การคืนเงินล่าสุด: %s"
"Location","สถานที่"
"Medium - %s","Medium - %s"
"Merchant ID","รหัสผู้ขาย"
"Merchant Key","Merchant Key"
"Method","Method"
"New order status","สถานะคำสั่งซื้อใหม่ใหม่"
"No","No"
"Optional, leave empty for home page.","เป็นตัวเลือก ปล่อยว่างไว้สำหรับหน้าแรก"
"Rate 1 Amount","Rate 1 Amount"
"Rate 1 Ship To Applicable Countries","Rate 1 Ship To Applicable Countries"
"Rate 1 Ship to Specific Countries","Rate 1 Ship to Specific Countries"
"Rate 1 Title","Rate 1 Title"
"Rate 2 Amount","Rate 2 Amount"
"Rate 2 Ship To Applicable Countries","Rate 2 Ship To Applicable Countries"
"Rate 2 Ship to Specific Countries","Rate 2 Ship to Specific Countries"
"Rate 2 Title","Rate 2 Title"
"Rate 3 Amount","Rate 3 Amount"
"Rate 3 Ship To Applicable Countries","Rate 3 Ship To Applicable Countries"
"Rate 3 Ship to Specific Countries","Rate 3 Ship to Specific Countries"
"Rate 3 Title","Rate 3 Title"
"Remove","Remove"
"Required for live Google Checkout transactions.","Required for live Google Checkout transactions."
"Sandbox","Sandbox"
"Secure Callback URL","Secure Callback URL"
"Small - %s","Small - %s"
"Total Charged: %s","ราคาทั้งหมดที่เรียกเก็บ: %s"
"Total Refunded: %s","คืนเงินแล้วทั้งหมด: %s"
"Transparent","Transparent"
"United Kingdom","United Kingdom"
"United States","United States"
"Virtual item to reflect discount total","รายการที่จับต้องไม่ได้ให้แสดงส่วนลดกลับทั้งหมด"
"White Background","White Background"
"You will be redirected to GoogleCheckout in a few seconds.","You will be redirected to GoogleCheckout in a few seconds."
