"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","%1$s เพิ่มเข้าสู่ wishlist ของคุณแล้ว คลิก <a href=""%2$s"">here</a>ดำเนินการสั่งสินค้าต่อไป"
"%s's Wishlist","%s's Wishlist"
"* Required Fields","* ฟิลด์ที่ต้องการ"
"Add All to Cart","เพิ่มทั้งหมดไปยังรถเข็น"
"Add to Cart","เพิ่มไปยังรถเข็น"
"Add to Wishlist","เพิ่มไปยัง Wishlist"
"Added On","เพิ่มเมื่อ"
"Are You sure?","คุณแน่ใจ?"
"Are you sure you want to remove this product from your wishlist?","คุณแน่ใจว่าต้องการลบสินค้านี้ออกจาก Wishlist ของคุณ?"
"Are you sure you would like to remove this item from the wishlist?","คุณแน่ใจว่าต้องการลบรายการนี้ออกจาก Wishlist?"
"Back","กลับ"
"Can't save description %s","ไม่สามารถบันทึกประเภทนี้ได้%s"
"Cannot create wishlist","ไม่สามารถสร้าง wishlist"
"Cannot specify product","ไม่สามารถระบุสินค้า"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","เลือกตัวเลือกนี้หากคุณต้องการเพิ่มลิงค์ไปยัง rss feed ไปยัง wishlist ของคุณ"
"Comment","ข้อคิดเห็น"
"Email Sender","ผู้ส่งอีเมลล์"
"Email Template","เทมเพลตอีเมลล์"
"Email address can't be empty.","อีเมลล์ไม่ว่าง"
"Email addresses, separated by commas","อีเมลล์ แยกด้วยเครื่องหมายจุลภาค"
"Enabled","เปิดการใช้งาน"
"General Options","ตัวเลือกทั่วไป"
"Go to Wishlist","ไปยัง Wishlist"
"Last Added Items","เพิ่ม รายการ ล่าสุด"
"Message","ข้อความ"
"My Wishlist","รายการโปรดของฉัน"
"My Wishlist (%d item)","Wishlist ของฉัน (%d รายการ)"
"My Wishlist (%d items)","Wishlist ของฉัน (%d รายการ)"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","กรุณาใส่อีเมล์ที่ถูกต้องและแบ่งด้วยเครื่องหมายจุลภาค ตัวอย่างเช่น johndoe@domain.com, johnsmith@domain.com"
"Please, enter your comments...","กรุณาใส่ข้อความข้อคิดเห็นของคุณ..."
"Product","สินค้า"
"RSS Feed","RSS Feed"
"RSS link to %s's wishlist","RSS link to %s's wishlist"
"Remove Item","ลบรายการสินค้าออก"
"Share Wishlist","แชร์รายการโปรด"
"Share Your Wishlist","ใช้งานร่วมกันของ Wishlist ของคุณ"
"Share options","ตัวเลือกการ ใช้งานร่วมกัน"
"Sharing Information","กำลังแบ่งข้อมูล"
"There was an error while adding item to wishlist.","มีความผิดพลาดขณะเพิ่มรายการสินค้าลงใน wishlist."
"There was an error while adding item to wishlist: %s","มีความผิดพลาดขณะเพิ่มรายการสินค้าลงใน wishlist: %s"
"There was an error while deleting item from wishlist.","มีความผิดพลาดขณะลบรายการสินค้าจาก wishlist."
"There was an error while deleting item from wishlist: %s","มีความผิดพลาดขณะลบรายการสินค้าจาก wishlist: %s"
"This product(s) is currently out of stock:","สินค้าออกจากคลังสินค้า"
"Update Wishlist","ปรับปรุง Wishlist"
"View Product","ดูสินค้า"
"Wishlist","รายการโปรด"
"Wishlist Section","Wishlist Section"
"Wishlist Sharing","ใช้ Wishlist ร่วมกัน"
"Wishlist is empty now.","Wishlist ตอนนี้ว่าง."
"You have no items in your wishlist.","คุณยังไม่มีรายการสินค้าใน wishlist ของคุณ"
"You input not valid email address.","คุณใส่ที่อยู่อีเมลล์ไม่ถูกต้อง."
"Your Wishlist was successfully shared","สร้า้งการใช้งานร่วมกัน Wishlist ของคุณแล้ว"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","My Wishlist - <a href=""%s"">%d Item(s)</a>"
"My Wishlist","Wishlist ของฉัน"
"Are you sure you want to remove this product from your wishlist?","Are you sure you want to remove this product from your wishlist?"
"Please, enter your comments...","Please, enter your comments..."
