"# of Use","# จำนวนที่ใช้"
"%1$s incl tax.","%1$s incl tax."
"%s - %s","%s - %s"
"%s Item(s)","%s รายการ(s)"
"(Copy data from: %s)","(คัดลอกข้อมูลจาก: %s)"
"(Will make search for the query above return results for this search.)","(จะทำการค้นหาจาก Query ด้านบนแล้วนำผลลัพธ์ที่ได้กลับมายังการค้นหา.)"
"* Required Fields","* Required Fields"
"-- Please Select --","-- กรุณาเลือก --"
"A name is required","ต้องใส่ชื่อให้ระบบ"
"ALL GROUPS","ทุกกลุ่ม"
"AM","AM"
"Action","การกระทำ"
"Add Attribute","เพิ่มคุณลักษณะ"
"Add Design Change","เพิ่มการเปลี่ยนแปลงดีไซน์"
"Add Group","เพิ่มกลุ่ม"
"Add Items to Cart","เพิ่มรายการไปยังรถเข็น"
"Add New","เพิ่มใหม่"
"Add New Attribute","เพิ่่มคุณลักษณะใหม่"
"Add New Attribute Set","เพิ่มชุดคุณลักษณะใหม่"
"Add New Group","เพิ่มกลุ่มใหม่"
"Add New Images","เพิ่มรุปภาพใหม่"
"Add New Option","Add New Option"
"Add New Row","Add New Row"
"Add New Search Term","เพิ่มการค้นหาใหม่"
"Add New Set","เพิ่มชุดสินค้าใหม่"
"Add Option","เพิ่มตัวเลือก"
"Add Product","เพิ่มสินค้า"
"Add Product To Websites","เพิ่่มสินค้าไปยังเว็บไซต์"
"Add Root Category","Add Root Category"
"Add Subcategory","Add Subcategory"
"Add Tax","Add Tax"
"Add Tier","เพิ่มระดับ"
"Add to Cart","เพิ่มในรถเข็น"
"Add to Compare","เพิ่มไปเปรียบเทียบ"
"Add to My Wishlist","เพิ่มไปยัง Wishlist ของฉัน"
"Add to Wishlist","เพิ่มไปยัง Wishlist"
"Additional Information","ข้อมูลที่เพิ่มขึ้น"
"All","ทั้งหมด"
"All Product Types","ประเภทสินค้าทั้งหมด"
"All products of this set will be deleted! Are you sure you want to delete this attribute set?","All products of this set will be deleted! Are you sure you want to delete this attribute set?"
"Allow HTML-tags on Front-end","Allow HTML-tags on Front-end"
"Allowed File Extensions","Allowed File Extensions"
"Allowed file extensions to upload","Allowed file extensions to upload"
"Amount","Amount"
"Apply To","ใช้งานไปยัง"
"Apply To Configurable/Grouped Product","ใช้งานไปยัง  กราตั้งค่า/กลุ่มสินค้า"
"Approved","อนุมัติ"
"Are you sure you want to delete this category?","คุณแน่ใจว่าต้องการลบประเภทนี้?"
"Are you sure you would like to remove all products from your comparison?","Are you sure you would like to remove all products from your comparison?"
"Are you sure you would like to remove this item from the compare products?","คุณแน่ใจว่าต้องการลบรายการนี้จากรายการเปรียบเทียบสินค้า?"
"Are you sure?","คุณแน่ใจ?"
"As low as:","ต่ำเท่ากับ:"
"Assign","Assign"
"Assign product link","Assign product link"
"Assign product to category","Assign product to category"
"Assigned Products","Assigned Products"
"Associated Products","สินค้าที่เกี่ยวข้องกัน"
"Attrib. Set Name","ชื่อชุดคุณลักษณะสินค้า"
"Attribute Code","รหัสคุณลักษณะ"
"Attribute Information","ข้อมูลคุณลักษณะ"
"Attribute Label","ป้ายคุณลักษณะ"
"Attribute Model","แบบคูณลักษณะ"
"Attribute Name:","ชื่อคูณลักษณะ:"
"Attribute Properties","คุณสมบัติของคุณลักษณะ"
"Attribute Set","ชุดคุณลักษณะ"
"Attribute group with the ""/name/"" name already exists","Attribute group with the ""/name/"" name already exists"
"Attribute model not defined","แบบคุณลักษณะไม่ได้กำหนด"
"Attribute with the same code already exists","มีคุณลักษณะที่ใช้โค้ดเดียวกันอยู่แล้ว"
"Attributes","คุณลักษณะ"
"Attrribute names can be specified per store.","Attrribute names can be specified per store."
"Autogenerate","สร้างอัตโนมัติ"
"Availability","Availability"
"Availability: In stock.","สินค้า: มีในคลังสินค้า."
"Availability: Out of stock.","สินค้า: หมดในคลังสินค้า."
"Back","กลับ"
"Backend Model","แบบส่วนหลัง"
"Backend Table","ตารางส่วนหลัง"
"Backend Table Title","หัวข้อตารางส่วนหลัง"
"Backorders","คำสั่งซื้อล่วงหน้า"
"Base directory to upload image file is not specified","ไดเ็ร็คทอรี่พื้นฐานที่จะอัฟโหลด ไฟล์รูปภาพไม่ได้กำหนด"
"Based On","อยู่บนพื้นฐานของ"
"Best Value","ความนิยมมากที่สุด"
"Block after Info Column","Block after Info Column"
"Bottom/Left","ล่าง/ซ้าย"
"Bottom/Right","ล่าง/ขวา"
"Browse By","ค้นหาโดย"
"Buy %1$s for %2$s","Buy %1$s for %2$s"
"Buy %1$s for %2$s (%3$s incl. tax) each","Buy %1$s for %2$s (%3$s incl. tax) each"
"Buy %1$s for %2$s each","Buy %1$s for %2$s each"
"Can be used only with catalog input type Dropdown"," สามารถใช้ได้เฉพาะกับรายการสินค้าที่มีการนำเข้าข้อมูลแบบดรอปดาวน์"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","สามารถใช้ได้เฉพาะกับแค็ตตาล็อคที่มีการนำเข้าข้อมูลแบบดรอปดาวน์, และเลือกหลายราคา"
"Can't create image.","Can't create image."
"Cannot create writeable directory '%s'","Cannot create writeable directory '%s'"
"Cart Item Attribute","คุณลักษณะรายการรถเข็น"
"Catalog","รายการสินค้า"
"Catalog Input Type for Store Owner","ประเภทการนำเข้าข้อมูลจากรายการสินค้าสำหรับเจ้าของร้าน"
"Catalog Price Scope","ขอบเขตราคารายการสินค้า"
"Catalog Section","Catalog Section"
"Catalog, Search","รายการสินค้า, ค้นหา"
"Categories","ประเภท"
"Categories Sitemap","แผนผังเว็บไซต์"
"Category","ประเภท"
"Category API","Category API"
"Category Data","ข้อมูลประเภท"
"Category Navigation:","การควบคุมประเภท"
"Category Products","ประเภทสินค้า"
"Category Top Navigation","Category Top Navigation"
"Category URL Suffix","Category URL Suffix"
"Category attributes API","Category attributes API"
"Category delete error","ข้อผิดพลาดในการลบประเภท"
"Category deleted","ลบประเภทแล้ว"
"Category move error","เกิดข้อผิดพลาดในการย้ายประเภท"
"Category must be instance of Mage_Catalog_Model_Category","Category must be instance of Mage_Catalog_Model_Category"
"Category saved","บันทึกประเภท"
"Change","เปลี่ยนแปลง"
"Change or Retrieve attribute store view","Change or Retrieve attribute store view"
"Change status","เปลี่ยนแปลงสถานะ"
"Check items to add to the cart or","Check items to add to the cart or"
"Choose an Option...","เลือกตัวเลือก..."
"Choose option...","เลือกตัวเลือก..."
"Clear All","Clear All"
"Clear All Items","ล้างทุกรายการ"
"Close Window","ปิดหน้าต่าง"
"Collapse All","Collapse All"
"Comparable","เปรียบเทียบได้"
"Comparable on Front-end","สามารถเปรียบเทียบได้ในด้านหน้า"
"Compare Items","เปรียบเทียบรายการสินค้า"
"Compare Products","เปรียบเทียบสินค้า"
"Compare Products (%d)","Compare Products (%d)"
"Compare Products - %d Items","เปรียบเทียบสินค้า - %d รายการ"
"Compare Products List","รายการเปรียบเทียบสินค้า"
"Compare list successfully cleared","เปรียบเทียบรายการสำเร็จ"
"Conditions Combination","การรวมเงื่อนไข"
"Configurable Product","สินค้าที่ปรับแต่งได้"
"Configurable Product Settings","ตั้งค่าสินค้าที่ปรับแต่งได้"
"Continue","ดำเนินการต่อ"
"Copy From Configurable","คัดลอกจากสิ่งที่แก้ไขได้"
"Country/State","Country/State"
"Create","Create"
"Create (Upload)","Create (Upload)"
"Create Empty","ไม่มีการสร้าง"
"Create Product Settings","สร้างการตั้งค่าสินค้า"
"Create Simple Associated Product","สร้างตัวอย่างที่เกี่ยวข้องกับสินค้า"
"Create new category","Create new category"
"Create new product","Create new product"
"Cross-sells","Cross-sell"
"Currently Shopping by","ขณะนี้ทำการเลือกซื้อโดย"
"Custom Design","ออกแบบให้เหมาะสม"
"Custom Options","Custom Options"
"Customer Group","กลุ่มลูกค้า"
"Customers Reviews","บทวิจารณ์ของลูกค้า"
"Customers Tagged Product","Tag สินค้า่ลูกค้า"
"Customers for alert %s was successfuly added to queue","เพิ่มลูกค้าสำหรับการแจ้งเตือน %s ลงในคิวแล้ว"
"Data Type for Saving in Database","ประเภทของข้อมูลที่จะบันทึกลงในฐานข้อมูล"
"Date","วันที่"
"Date & Time Custom Options","Date & Time Custom Options"
"Date Subscribed","วันที่สมัครสมาชิก"
"Date fields order","Date fields order"
"Datetime","วันเวลา"
"Decimal","ทศนิยม"
"Decimal Number","จำนวนทศนิยม"
"Declare attribute value saving scope","แจ้งขอบเขตการบันทึกค่าคุณลักษณะ"
"Default Qty","จำนวนค่าเริ่มต้น"
"Default Values","ค่าเริ่มต้น"
"Default price","ราคาที่เป็นค่าเริ่มต้น"
"Default value","ค่าเริ่มต้น"
"Delete","ลบ"
"Delete Attribute","ลบคุณลักษณะ"
"Delete Attribute Set","ลบชุดคุณลักษณะ"
"Delete Category","ลบประเภท"
"Delete Option","ลบตัวเลือก"
"Delete Row","Delete Row"
"Delete Search","ลบการค้นหา"
