"API Login ID","รหัสเข้าสู่ระบบ API "
"Authorize Only","อนุมัติเฉพาะ"
"Authorize and Capture","อนุมัติและจัดเก็บ"
"Authorize.net","Authorize.net"
"Credit Card Types","ประเภทบัตรเครดิต"
"Credit Card Verification","การตรวจสอบบัตรเครดิต"
"Debug","Debug"
"Email customer","อีเมลล์ลูกค้า"
"Enabled","เปิดการใช้งาน"
"Error in authorizing the payment","ความผิดพลาดในการอนุมัติการชำระเงิน"
"Error in capturing the payment","ความผิดพลาดในการเก็บข้อมูลการชำระเงิน"
"Error in payment gateway","ผิดพลาดในการเข้าไปชำระเงิน"
"Error in refunding the payment","ความผิดพลาดในการชำระเงินคืน"
"Error in refunding the payment.","ความผิดพลาดในการชำระเงินคืน"
"Error in retrieving the transaction","ความผิดพลาดในการเรียกข้อมูลธุรกรรม"
"Fraud order status","คำสั่งซื้อปลอม"
"Gateway request error: %s","ความผิดพลาดในการขอ Gateway: %s"
"Invalid amount for authorization","จำนวนเงินสำหรับการอนุมัติไม่ถูกต้อง"
"Invalid amount for authorization.","จำนวนเงินสำหรับการอนุมัติไม่ถูกต้อง"
"Invalid transaction id","รหัสธุรกรรมไม่ถูกต้อง"
"Maximum Order Total","Maximum Order Total"
"Merchant Login","เจ้าของร้านเข้าสู่ระบบ"
"Merchant's email","อีเมลล์เจ้าของร้าน"
"Minimum Order Total","Minimum Order Total"
"New order status","สถานะออเดอร์ใหม่"
"Partner","พาร์ทเนอร์"
"Password","รหัสผ่าน"
"Payflow Pro","Payflow Pro"
"Payment Action","การดำเนินการชำระเงิน"
"Payment authorization error.","ความผิดพลาดในการอนุมัติชำระเงิน"
"Payment authorization transaction has been declined.","ธุรกรรมการอนุมัติชำระเงินถูกปฏิเสธ"
"Payment from Specific countries","การชำระเงินจากประเทศที่ระบุ"
"Payment from applicable countries","การชำระเงินจากประเทศที่ใช้งานได้"
"Proxy Host","Proxy Host"
"Proxy Port","Proxy Port"
"Sort order","เรียงลำดับรายการ"
"TENDER","ยื่นประมูล"
"Test mode","โหมดทดสอบ"
"Title","หัวข้อ"
"Transaction key","ใส่ข้อมูลในการติดต่อ"
"URL","URL"
"Use Proxy","Use Proxy"
"User","ผู้ใช้"
"VERBOSITY","ใช้คำมากเกินไป"
"Voided transaction","ธุรกรรมที่ถูกยกเลิก"
