"%1$s was successfully added to your wishlist. Click <a href=""%2$s"">here</a> to continue shopping","Το %1$s προστέθηκε επιτυχώς στα Επιθυμητά σας. Πατήστε <a href=""%2$s"">εδώ</a> για να συνεχίσετε τις αγορές σας"
"%s's Wishlist","Λίστα Επιθυμητών του %s"
"* Required Fields","* Υποχρεωτικά Πεδία"
"Add All to Cart","Πρόσθεση όλων στο Καλάθι"
"Add to Cart","Πρόσθεση στο Καλάθι"
"Add to Wishlist","Πρόσθεση στα Επιθυμητά"
"Added On","Προστέθηκε Την"
"Are You sure?","Είστε σίγουροι;"
"Are you sure you want to remove this product from your wishlist?","Είστε βέβαιοι πως θέλετε να αφαιρέσετε αυτό το προϊόν από τα επιθυμητά σας;"
"Are you sure you would like to remove this item from the wishlist?","Είστε βέβαιοι πως θα θέλατε να αφαιρέσετε αυτό το είδος από τα επιθυμητά;"
"Back","Πίσω"
"Can't save description %s","Δεν είναι δυνατή η αποθήκευσης της περιγραφής %s"
"Cannot create wishlist","Δεν είναι δυνατή η δημιουργία της Λίστας Επιθυμητών"
"Cannot specify product","Δεν είναι δυνατή η διευκρίνιση προϊόντος"
"Check this checkbox if you want to add a link to an rss feed to your wishlist.","Κάντε τσεκ εδώ εάν επιθυμείτε να προσθέσετε ένα σύνδεσμο rss προς τα επιθυμητά σας."
"Comment","Σχόλιο"
"Email Sender","Αποστολέας Email"
"Email Template","Πρότυπο Email"
"Email address can't be empty.","Η διεύθυνση Email δεν μπορεί να είναι κενή."
"Email addresses, separated by commas","Διευθύνσεις Email, χωρισμένες με κόμματα"
"Enabled","Ενεργοποιημένο"
"General Options","Γενικές Επιλογές"
"Go to Wishlist","Μετάβαση στα Επιθυμητά"
"Last Added Items","Τελευταία αντικείμενα που προστέθηκαν"
"Message","Μήνυμα"
"My Wishlist","My Wishlist"
"My Wishlist (%d item)","Τα Επιθυμητά μου (%d είδος)"
"My Wishlist (%d items)","Τα Επιθυμητά μου (%d είδη)"
"Please enter a valid email addresses, separated by commas. For example johndoe@domain.com, johnsmith@domain.com.","Παρακαλούμε εισάγετε έγκυρες διευθύνσεις email, χωρισμένες με κόμματα. Για παράδειγμα johndoe@domain.com, johnsmith@domain.com."
"Please, enter your comments...","Παρακαλούμε, εισάγετε τα σχόλιά σας..."
"Product","Προϊόν"
"RSS Feed","RSS Feed"
"RSS link to %s's wishlist","RSS σύνδεσμος για τα Επιθυμητά του %s"
"Remove Item","Αφαίρεση Είδους"
"Share Wishlist","Διαμοιρασμός Των Επιθυμητών"
"Share Your Wishlist","Διαμοιρασμός Των Επιθυμητών Σας"
"Share options","Επιλογές Διαμοιρασμού"
"Sharing Information","Πληροφορίες Διαμοιρασμού"
"There was an error while adding item to wishlist.","Υπήρξε σφάλμα κατά την προσθήκη του είδους στα Επιθυμητά."
"There was an error while adding item to wishlist: %s","Υπήρξε σφάλμα κατά την προσθήκη του είδους στα Επιθυμητά: %s"
"There was an error while deleting item from wishlist.","Υπήρξε σφάλμα κατά τη διαγραφή του είδους από τα Επιθυμητά."
"There was an error while deleting item from wishlist: %s","Υπήρξε σφάλμα κατά τη διαγραφή του είδους από τα Επιθυμητά: %s"
"This product(s) is currently out of stock:","Το(α) προϊόν(τα) είναι αυτή τη στιγμή εκτός αποθέματος:"
"Update Wishlist","Ενημέρωση Επιθυμητών"
"View Product","Προβολή Προϊόντος"
"Wishlist","Λίστα Επιθυμητών"
"Wishlist Section","Wishlist Section"
"Wishlist Sharing","Διαμοιρασμός Λίστας Επιθυμητών"
"Wishlist is empty now.","Η Λίστα Επιθυμητών είναι τώρα κενή."
"You have no items in your wishlist.","Δεν έχετε είδη στα Επιθυμητά σας."
"You input not valid email address.","Εισάγατε μία λανθασμένη διεύθυνση email."
"Your Wishlist was successfully shared","Η Λίστα Επιθυμητών σας διαμοιράστηκε επιτυχώς"
"My Wishlist - <a href=""%s"">%d Item(s)</a>","My Wishlist - <a href=""%s"">%d Item(s)</a>"
"My Wishlist","Τα Επιθυμητά μου"
"Are you sure you want to remove this product from your wishlist?","Are you sure you want to remove this product from your wishlist?"
"Please, enter your comments...","Please, enter your comments..."
