"%s and greater","%s και μεγαλύτερο"
"Advanced Search","Προχωρημένη αναζήτηση"
"All","Όλα"
"Applies for ""Like"" Search type only","Applies for ""Like"" Search type only"
"Apply Layered Navigation if search results are less than","Apply Layered Navigation if search results are less than"
"Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process","Attribute setting change related with Search Index. Please run <a href=""%s"">Rebuild Search Index</a> process"
"Autogenerated site map","Αυτόματα δημιουργημένος χάρτης ιστότοπου"
"Catalog Advanced Search","Προχωρημένη Αναζήτηση Καταλόγου"
"Catalog Search","Catalog Search"
"Don't see what you're looking for?","Don't see what you're looking for?"
"Go","Go"
"Go to Home Page","Μετάβαση στην Αρχική Σελίδα"
"Grid","Πλέγμα"
"Home","Αρχική"
"List","Λίστα"
"Maximum Query Length","Maximum Query Length"
"Maximum Query Words Count","Maximum Query Words Count"
"Maximum Search query  length is %s. Your query was cut.","Maximum Search query  length is %s. Your query was cut."
"Minimal Query Length","Minimal Query Length"
"Modify your search","Τροποποιήστε την αναζήτησή σας"
"No","No"
"No items were found using the following search criteria.","No items were found using the following search criteria."
"Please enter ""0"" to enable layered navigation for any number of results","Please enter ""0"" to enable layered navigation for any number of results"
"Popular Search Terms","Δημοφιλή Κριτήρια Αναζήτησης"
"Popular search terms","Δημοφιλή κριτήρια αναζήτησης"
"Relevance","Relevance"
"Required Fields","Υποχρεωτικά Πεδία"
"Results","Αποτελέσματα"
"Search","Αναζήτηση"
"Search Settings","Ρυθμίσεις Αναζήτησης"
"Search Site","Αναζήτηση Ιστότοπου"
"Search Terms","Κριτήρια αναζήτησης"
"Search Type","Search Type"
"Search entire store here...","Αναζήτηση σε όλο το κατάστημα εδώ..."
"Search results for '%s'","Αποτελέσματα αναζήτησης για '%s'"
"Search results for: '%s'","Αποτελέσματα αναζήτησης για: '%s'"
"Subscribe to Feed","Subscribe to Feed"
"There are no search terms available.","Δεν υπάρχουν κριτήρια αναζήτησης διαθέσιμα."
"Yes","Yes"
"You have to specify at least one search term","Πρέπει να ορίσετε τουλάχιστον ένα κριτήριο αναζήτησης"
"Your search returns no results.","Η αναζήτησή σας δεν επιστρέφει αποτελέσματα."
"up to %s","έως %s"
"<strong>%d item(s)</strong> were found using the following search criteria","<strong>%d item(s)</strong> were found using the following search criteria"
"Is product available for purchase with Google Checkout","Is product available for purchase with Google Checkout"
"Advanced Search","Advanced Search"
"Search Terms","Search Terms"
"Popular Search Terms","Popular Search Terms"
"There are no search terms available.","There are no search terms available."
