"Actions","Ενέργειες"
"Active","Ενεργοποιημένο"
"Add New Rule","Προσθήκη Νέου Κανόνα"
"Apply","Εφαρμογή"
"Apply the rule only if the following conditions are met (leave blank for all products)","Εφαρμογή κανόνα μόνο εάν ισχύουν οι ακόλουθες συνθήκες (αφήστε κενό για όλα τα προϊόντα)"
"Apply the rule only to cart items matching the following conditions (leave blank for all items)","Εφαρμογή κανόνα μόνο στα προϊόντα στο Καλάθι που ταιριάζουν στις ακόλουθες συνθήκες (αφήστε κενό για όλα τα προϊόντα)"
"Apply the rule to cart items matching the following conditions","Εφαρμογή κανόνα στα προϊόντα στο Καλάθι που ταιριάζουν στις ακόλουθες συνθήκες"
"Apply to","Εφαρμογή σε"
"Buy X get Y free (discount amount is Y)","Αγοράστε το X αποκτήστε το Y δωρεάν (Το ποσό έκπτωσης είναι το  Y)"
"By Fixed Amount","Κατά Σταθερό Ποσό"
"By Fixed value","Κατά Σταθερή τιμή"
"By Percentage","Κατά Ποσοστό"
"By Percentage of the original price","Κατά Ποσοστό της αρχική τιμή"
"Cart Attribute","Χαρακτηριστικό Καλαθιού"
"Catalog","Κατάλογος"
"Conditions","Συνθήκες"
"Conditions combination","Συνδυασμός συνθηκών"
"Coupon Code","Κωδικός Κουπονιού"
"Coupon code","Κωδικός κουπονιού"
"Customer Groups","Ομάδες Πελατών"
"Customer is new buyer: %s","Ο Πελάτης είναι νέος αγοραστής: %s"
"Customer registered: %s","Εγγεγραμμένος Πελάτης: %s"
"Date Expire","Ημ/νία Λήξης"
"Date Start","Ημ/νία Έναρξης"
"Delete Rule","Διαγραφή Κανόνα"
"Description","Περιγραφή"
"Description: %s","Περιγραφή: %s"
"Discount Qty Step (Buy X)","Βήμα Έκπτωσης Ποσ. (Αγορά X)"
"Discount amount","Ποσό έκπτωσης"
"Edit Rule","Επεξεργασία Κανόνα"
"Edit Rule '%s'","Επεξεργασία Κανόνα '%s'"
"Expire at: %s","Λήξη στις: %s"
"Fixed amount discount","Σταθερό ποσό έκπτωσης"
"Fixed amount discount for whole cart","Σταθερό ποσό έκπτωσης για όλο το καλάθι"
"For matching items only","Για προϊόντα που ταιριάζουν μόνο"
"For shipment with matching items","Για αποστολή με προϊόντα που ταιριάζουν"
"Free shipping","Δωρεάν αποστολή"
"From Date","Από Ημ/νία"
"General Information","Γενικές Πληροφορίες"
"ID","ID"
"Inactive","Ανενεργό"
"Maximum Qty Discount is Applied to","Έκπτωση Μέγιστης Ποσότητας Εφαρμόζεται σε"
"NOT LOGGED IN","ΔΕΝ ΕΙΣΤΕ ΣΥΝΔΕΔΕΜΕΝΟΣ"
"Name: %s","Όνομα: %s"
"New Rule","Νέος Κανόνας"
"No","Όχι"
"Payment Method","Μέθοδος Πληρωμής"
"Percent of product price discount","Ποσοστό τιμής προϊόντος προς έκπτωση"
"Price in cart","Τιμή στο καλάθι"
"Priority","Προτεραιότητα"
"Product attribute combination","Συνδυασμός χαρακτηριστικών πρϊόντος"
"Products subselection","Products subselection"
"Promotions","Προσφορές"
"Public In RSS Feed","Δημόσιο στο RSS Feed"
"Quantity in cart","Ποσότητα στο καλάθι"
"Row total in cart","Σύνολο γραμμής στο καλάθι"
"Rule Information","Πληροφορίες Κανόνα"
"Rule Name","Όνομα Κανόνα"
"Rule was successfully deleted","Ο Κανόνας διαγράφηκε επιτυχώς"
"Rule was successfully saved","Ο Κανόνας αποθηκεύτηκε επιτυχώς"
"Save Rule","Αποθήκευση Κανόνα"
"Shipping Country","Χώρα Αποστολής"
"Shipping Method","Μέθοδος Αποστολής"
"Shipping Postcode","Ταχ. Κωδικός Αποστολής"
"Shipping Region","Περιοχή Αποστολής"
"Shipping State/Province","Νομός/Δήμος Αποστολής"
"Shopping Cart Price Rule","Κανόνας Τιμής του Καλαθιού Αγοράς"
"Shopping Cart Price Rules","Κανόνες Τιμών Καλαθιού Αγορών"
"Special price","Ειδική τιμή"
"Start at: %s","Έναρξη: %s"
"Status","Κατάσταση"
"Stop further rules processing","Σταμάτημα περαιτέρω επεξεργασίας κανόνων"
"Subtotal","Μερικό Σύνολο"
"The page you are trying to save no longer exists","Η σελίδα η οποία προσπαθείτε να αποθηκεύσετε δεν υπάρχει πλέον"
"This rule no longer exists","Ο κανόνας αυτός δεν υπάρχει πλέον"
"To Date","Έως Ημ/νία"
"To Fixed Amount","Έως Σταθερό Ποσό"
"To Fixed Value","Έως Σταθερή Τιμή"
"To Percentage","Έως Ποσοστό"
"To Percentage of the original price","Έως Ποσοστό της αρχικής τιμής"
"Total Items Quantity","Συνολική Ποσότητα Ειδών"
"Total Weight","συνολικό Βάρος"
"Unable to find a page to delete","Αδύνατη η εύρεση σελίδας για διαγραφή"
"Update prices using the following information","Ενημέρωση τιμών σύμφωνα με τα ακόλουθα στοιχεία"
"Update product's %s %s: %s","Ενημέρωση %s %s προϊόντος: %s"
"Update the Product","Ενημέρωση Προϊόντος"
"Uses per coupon","Χρήσεις ανά κουπόνι"
"Uses per customer","Χρήσεις ανά πελάτη"
"Yes","Ναι"
