"Action","Ενέργεια"
"All types","Όλοι οι τύποι"
"Backup file ""%s"" can't read or write","Backup file ""%s"" can't read or write"
"Backup file ""%s"" doesn't exist","Backup file ""%s"" doesn't exist"
"Backup file doesn't exist","Το αρχείο του αντιγράφου ασφαλείας δεν υπάρχει"
"Backup file handler don't specify","Backup file handler don't specify"
"Backup file path don't specify","Backup file path don't specify"
"Backups","Αντίγραφα Ασφαλείας"
"Cannot read backup file","Το αρχείο του αντιγράφου ασφαλείας δε μπορεί να διαβαστεί"
"Create Backup","Δημιουργία Αντιγράφου Ασφαλείας"
"DB","ΒΔ"
"Database was successfuly backed up.","Database was successfuly backed up."
"Download","Λήψη Αρχείου"
"Error write to Backup file ""%s""","Error write to Backup file ""%s"""
"File compressed with Zlib, but this extension is not installed on server","Το αρχείο έχει συμπιεστεί με Zlib, αλλά η επέκταση αυτή δεν είναι εγκατεστημένη στον εξυπηρέτη"
"Size, byte","Size, byte"
"Time","Χρόνος"
"Type","Τύπος"
"Unable to create backup. Please, try again later.","Unable to create backup. Please, try again later."
"Wrong order of creation for new backup","Εσφαλμένη σειρά δημιουργίας για νέο αντίγραφο ασφαλείας"
