"%s Item(s)","%s Είδος(η)"
"&copy; 2008 Magento Demo Store. All Rights Reserved.","&copy; 2008 Magento Demo Store. All Rights Reserved."
"(Shift-)Click or drag to change value","(Shift-)Click or drag to change value"
"(ver. %s)","(έκδ. %s)"
"- Click on any of the time parts to increase it","- Click on any of the time parts to increase it"
"- Hold mouse button on any of the above buttons for faster selection.","- Hold mouse button on any of the above buttons for faster selection."
"- Use the %s buttons to select month","- Use the %s buttons to select month"
"- Use the %s, %s buttons to select year","- Use the %s, %s buttons to select year"
"- or Shift-click to decrease it","- or Shift-click to decrease it"
"- or click and drag for faster selection.","- or click and drag for faster selection."
"About the calendar","About the calendar"
"Click <a href=""%s"">here</a> if nothing has happened","Click <a href=""%s"">here</a> if nothing has happened"
"Close","Close"
"Close Window","Κλείσιμο Παράθυρου"
"DHTML Date/Time Selector","DHTML Date/Time Selector"
"Date selection:","Date selection:"
"Default Description","Προεπιλεγμένη Περιγραφή"
"Default welcome msg!","Default welcome msg!"
"Display %s first","Display %s first"
"Distributed under GNU LGPL. See %s for details.","Distributed under GNU LGPL. See %s for details."
"Drag to move","Drag to move"
"For latest version visit: %s","For latest version visit: %s"
"Go Today","Go Today"
"Help Us to Keep Magento Healthy","Βοηθήστε μας να κρατήσουμε το Magento υγειές"
"Interface Language","Γλώσσα Διασύνδεσης"
"Items %s to %s of %s total","Είδη %s εώς %s από %s σύνολο"
"Next Page","Επόμενη Σελίδα"
"Next month (hold for menu)","Next month (hold for menu)"
"Next year (hold for menu)","Next year (hold for menu)"
"Page:","Σελίδα:"
"Prev. month (hold for menu)","Prev. month (hold for menu)"
"Prev. year (hold for menu)","Prev. year (hold for menu)"
"Previous Page","Προηγούμενη Σελίδα"
"Redirecting...","Redirecting..."
"Report All Bugs","Αναφέρεται Όλα Τα Bugs"
"Select Store","Επιλογή Καταστήματος"
"Select date","Select date"
"Show","Προβολή"
"Skip to Footer","Skip to Footer"
"Skip to Left Column","Skip to Left Column"
"Skip to Main Content","Συνέχεια στο Κυρίως Περιεχόμενο"
"Skip to Right Column","Skip to Right Column"
"This is a demo store. Any orders placed through this store will not be honored or fulfilled.","Αυτό είναι ένα demo κατάστημα. Οποιαδήποτε παραγγελία μέσα σε αυτό το κατάστημα δεν θα εκτελείται ή δεν θα παραδίδεται"
"Time selection:","Time selection:"
"Time:","Time:"
"Welcome, %s!","Καλως Ήρθατε, %s!"
"You're currently on:","Βρίσκεστε στο:"
"Your Language","Η Γλώσσα σας"
"Your Language:","Your Language:"
"per page","ανα σελίδα"
"Your Language:","Your Language:"
"(ver. %s)","(ver. %s)"
"Help Us to Keep Magento Healthy","Help Us to Keep Magento Healthy"
"Report All Bugs","Report All Bugs"
"Your Language","Your Language"
