"ALL","ΟΛΕΣ"
"ANY","ΟΠΟΙΑΔΗΠΟΤΕ"
"Add","Προσθήκη"
"Apply","Εφαρμογή"
"Description: %s","Περιγραφή: %s"
"Expire at: %s","Λήγει Σε: %s"
"FALSE","ΨΕΥΔΗΣ"
"If %s of these conditions are %s:","Εάν %s από τις συνθήκες είναι %s:"
"Invalid discount amount.","Invalid discount amount."
"MATCHING ALL","MATCHING ALL"
"MATCHING ANY","MATCHING ANY"
"NOT MATCHING ALL","NOT MATCHING ALL"
"NOT MATCHING ANY","NOT MATCHING ANY"
"Name: %s","Όνομα: %s"
"Open Chooser","Ανοιχτός Επιλογέας"
"Perform following actions","Εκτέλεσε Τις Ακόλουθες Ενέργεις"
"Please choose a condition to add...","Παρακαλούμε επιλέξτε μια συνθήκη για να προσθέσετε..."
"Please choose an action to add...","Παρακαλούμε επιλέξτε μια ενέργεια για να προσθέσετε ..."
"Remove","Αφαίρεση"
"Start at: %s","Εκκίνηση Στο: %s"
"TRUE","ΑΛΗΘΗΣ"
"by","ανα"
"contains","contains"
"does not contain","does not contain"
"equals or greater than","equals or greater than"
"equals or less than","equals or less than"
"greater than","greater than"
"is","είναι"
"is not","δεν είναι"
"is not one of","is not one of"
"is one of","is one of"
"less than","less than"
"to","εώς"
