" Copy"," Αντιγραφή"
"Action","Ενέργεια"
"Add New Template","Προσθήκη Νέου Προτύπου(Template)"
"Add to Queue","Προσθήκη στη Ουρά"
"Are you sure that you want to delete this template?","Είστε βέβαιοι πως θέλετε να διαγράψετε αυτό το Πρότυπο(Template);"
"Are you sure that you want to strip all tags?","Είστε βέβαιοι πως θέλετε να αφαιρέσετε όλες τις ετικέτες;"
"Back","Πίσω"
"Cancel","Ακύρωση"
"Cancelled","Ακυρώθηκε"
"Cannot delete subscriber","Δεν είναι δυνατή η διαγραφή του συνδρομητή"
"Cannot delete template","Δεν είναι δυνατή η διαγραφή του Προτύπου(Template)"
"Cannot mark as received subscriber","Δεν μπορεί να σημειωθεί ως λαμβανόμενος συνδρομητής"
"Cannot save your subscription: %s","Δεν είναι δυνατή η αποθήκευση της συνδρομή σας: %s"
"Confirmation Email Sender","Αποστολέας Email Επιβεβαίωσης"
"Confirmation Email Template","Πρότυπο(Template) Email Επιβεβαίωσης"
"Confirmation request has been sent","Το αίτημα επιβεβαίωσης έχει αποσταλεί"
"Convert to Plain Text","Μετατροπή σε Απλό Κείμενο"
"Create Newsletter Template","Δημιουργία Προτύπου(Template) Δελτίου Νέων"
"Customer","Πελάτης"
"Customer Firstname","Όνομα Πελάτη"
"Customer Lastname","Επίθετο Πελάτη"
"Date Added","Ημ/νία που προστέθηκε"
"Date Updated","Ημ/νία που ενημερώθηκε"
"Delete Selected Problems","Διαγραφή Επιλεγμένων Προβλημάτων"
"Delete Template","Διαγραφή Προτύπου(Template)"
"Do you really want to cancel the queue?","Σίγουρα θέλετε να ακυρώσετε την ουρά;"
"Duplicate of template code","Αντίγραφο του κωδικού του Προτύπου(Template)"
"Edit Newsletter","Επεξεργασία Δελτίου Νέων"
"Edit Newsletter Template","Επεξεργασία Προτύπου(Template) Δελτίου Νέων"
"Edit Queue","Επεξεργασία Ουράς"
"Edit Template","Επεξεργασία Προτύπου(Template)"
"Email","Email"
"Enter your email address","Εισάγετε το email σας"
"Error Code","Κωδικός Σφάλματος"
"Error Text","Κείμενο Σφάλματος"
"Form was filled incorrectly","Η Φόρμα δεν έχει συμπληρωθεί σωστά"
"Guest","Επισκέπτης"
"ID","ID"
"Invalid queue selected","Επιλέχθηκε άκυρη ουρά"
"Invalid subscriber ID","Άκυρο ID συνδρομητή"
"Invalid subscription ID","Άκυρο ID συνδρομής"
"Invalid subscription confirmation code","Άκυρος κωδικός επιβεβαίωσης συνδρομής"
"Message","Μήνυμα"
"Need to Confirm","Χρειάζεται επιβεβαίωση"
"New Newsletter Template","Νέο Πρότυπο(Template) Δελτίου Νέων"
"New Template","Νέο Πρότυπο(Template)"
"Newsletter","Δελτιο Νεων"
"Newsletter Message Preview","Προεπισκόπηση μηνύματος Δελτίου Νέων"
"Newsletter Problem Reports","Πρόβλημα Αναφορών Δελτίου Νέων"
"Newsletter Queue","Ουρά Δελτίου Νέων"
"Newsletter Section","Newsletter Section"
"Newsletter Sign-up","Newsletter Sign-up"
"Newsletter Subscribers","Συνδρομητές Δελτίου Νέων"
"Newsletter Subscription","Newsletter Subscription"
"Newsletter Subscriptions","Newsletter Subscriptions"
"Newsletter Templates","Πρότυπα(Templates) Δελτίου Νέων"
"Newsletter subscription confirmation","Επιβεβαίωση συνδρομής στο Δελτίο Νέων"
"Newsletter subscription success","Επιτυχής συνδρομή στο Δελτίο Νέων"
"Newsletter unsubscription success","Επιτυχής ακύρωσης συνδρομής από το Δελτίο Νέων"
"No Templates Found","Δεν βρέθηκε κανένα Πρότυπο(Template)"
"No problems found","Δεν βρέθηκαν προβλήματα"
"No subscribers selected","Δεν επιλέχθηκε κανένας συνδρομητής "
"Not Sent","Δεν έχει αποσταλεί"
"Not activated","Μη ενεργοποιημένο"
"Pause","Παύση"
"Paused","Σταματημένο"
"Please enter a valid email address","Please enter a valid email address"
"Please enter new template name","Παρακαλούμε εισάγετε νέο όνομα Προτύπου(Template)"
"Please select subscriber(s)","Παρακαλούμε επιλέξτε συνδρομητή(ες)"
"Preview","Προεπισκόπηση"
"Preview Template","Προεπισκόπηση Προτύπου(Template)"
"Processed","Επεξεργάστηκε"
"Queue Date Start","Ημ/νία Έναρξης Ουράς"
"Queue Finish","Τέλος Ουράς"
"Queue Information","Στοιχεία Ουράς"
"Queue Newsletter","Ουρά Δελτίου Νέων"
"Queue Start","Έναρξη Ουράς"
"Queue Subject","Θέμα Ουράς"
"Recipients","Αποδέκτες"
"Reset","Reset"
"Resume","Συνέχεια"
"Return Html Version","Επιστροφή Html Έκδοσης"
"Save And Resume","Αποθήκευση και Συνέχεια"
"Save As","Αποθήκευση Ως"
"Save Newsletter","Αποθήκευση Δελτίου Νέων"
"Save Template","Αποθήκευση Προτύπου(Template)"
"Selected problem subscribers successfully unsubscribed","Οι επιλεγμένοι προβληματικοί συνδρομητές διαγράφηκαν επιτυχώς"
"Selected problems successfully deleted","Τα επιλεγμένα προβλήματα διαγράφηκαν επιτυχώς"
"Sender","Αποστολέας"
"Sender Email","Email Αποστολέα"
"Sender Name","Όνομα Αποστολέα"
"Sending","Αποστέλεται"
"Sending Options","Sending Options"
"Sent","Απεστάλη"
"Set Return-Path","Set Return-Path"
"Sign me up","Εγγέγραψέ με"
"Sign up for our newsletter:","Γίνετε συνδρομητές στο Δελτίο Νέων μας:"
"Start","Έναρξη"
"Status","Κατάσταση"
"Store","Κατάστημα"
"Store View","Όψη Καταστήματος"
"Subject","Θέμα"
"Subscribe","Συνδρομή"
"Subscribed","Subscribed"
"Subscriber","Συνδρομητής"
"Subscribers","Συνδρομητές"
"Subscribers From","Συνδρομητές Από"
"Subscription Options","Επιλογές Συνδρομής"
"Success Email Sender","Αποστολέας Email Επιτυχίας"
"Success Email Template","Πρότυπο(Template) Email Επιτυχίας"
"Template Content","Περιεχόμενο Προτύπου(Template)"
"Template Information","Στοιχεία Προτύπου(Template)"
"Template Name","Όνομα Προτύπου(Template)"
"Template Subject","Θέμα Προτύπου(Template)"
"Template Type","Τύπος Προτύπου(Template)"
"Thank you for your subscription","Ευχαριστούμε για την συνδρομή σας"
"The subscription was successfully saved","Η εγγραφή αποθηκεύτηκε επιτυχώς"
"There was a problem with the subscription","Υπήρξε ένα πρόβλημα με την συνδρομή"
"There was a problem with the subscription: %s","Υπήρξε ένα πρόβλημα με την συνδρομή: %s"
"There was a problem with the un-subscription.","Υπήρξε ένα πρόβλημα με την ακύρωση συνδρομής."
