"Actions","Ενέργειες"
"Active","Ενεργό"
"Add New Rule","Προσθήκη Νέου Κανόνα"
"Apply Rules","Εφαρμογή Κανόνων"
"Attribute Set","Σύνολο Χαρακτηριστικών"
"Catalog","Κατάλογος"
"Catalog Price Rule","Κανόνας Τιμής Καταλόγου"
"Catalog Price Rules","Κανόνες Τιμής Καταλόγου"
"Category","Κατηγορία"
"Comments History","Ιστορικό Σχολίων"
"Conditions","Συνθήκες"
"Conditions (leave blank for all products)","Συνθήκες (αφήστε κενό για όλα τα προϊόντα)"
"Conditions Combination","Συνδυασμός Συνθηκών"
"Credit Memos","Πιστωτικά Υπομνήματα"
"Customer Groups","Ομάδες πελατών"
"Customer is new buyer: %s","Ο πελάτης είναι νέος αγοραστής: %s"
"Customer registered: %s","Ο πελάτης εγγράφηκε: %s"
"Date Expire","Ημερομηνία λήξης"
"Date From","Ημερομηνία από"
"Date Start","Έναρξη την ημερομηνία"
"Date To","Ημερομηνία ως"
"Delete Rule","Διαγραφή Κανόνα"
"Description","Περιγραφή"
"Description: %s","Περιγραφή: %s"
"Edit Rule","Επεξεργασία κανόνα"
"Edit Rule '%s'","Επεξεργασία Κανόνα '%s'"
"Expire at: %s","Λήξη στις: %s"
"From Date","Από Ημερομηνία"
"General Information","Γενικές πληροφορίες"
"Gift Messages","Μηνύματα Δώρων"
"ID","ID"
"Inactive","Ανενεργό"
"Invoices","Τιμολόγια"
"NOT LOGGED IN","ΜΗ ΣΥΝΔΕΜΕΝΟΣ"
"Name: %s","Όνομα: %s"
"New Rule","Νέος Κανόνας"
"No","Όχι"
"Options","Επιλογές"
"Order Credit Memos","Παραγγελία Πιστωτικών Υπομνημάτων"
"Order Gift Messages","Παραγγελία Μηνυμάτων Δώρων"
"Order History","Ιστορικό παραγγελιών"
"Order Invoices","Τιμολόγια παραγγελιών"
"Order Shipments","Αποστολές παραγγελιών"
"Priority","Προτεραιότητα"
"Product Attribute","Χαρακτηριστικό Προϊόντος"
"Promotions","Προσφορές/Διαφημίσεις"
"Rule Information","Πληροφορίες Κανόνα"
"Rule Name","Όνομα Κανόνα"
"Rule was successfully deleted","Ο κανόνας διαγράφηκε επιτυχώς"
"Rule was successfully saved","Ο κανόνας αποθηκεύτηκε επιτυχώς"
"Rules were successfully applied","Οι κανόνες εφαρμόστηκαν επιτυχώς"
"Save Rule","Αποθήκευση Κανόνα"
"Save and Apply","Αποθήκευση και εφαρμογή"
"Shipments","Αποστολές"
"Start at: %s","Έναρξη στις: %s"
"Status","Κατάσταση"
"Stop further rules processing","Παύση περαιτέρω επεξεργασίας κανόνων"
"The page you are trying to save no longer exists","Η σελίδα που προσπαθείτε να αποθηκεύσετε πλέον δεν υπάρχει"
"There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog.","There are rules that have been changed but not applied. Please, click Apply Rules in order to see immediate effect in catalog."
"This rule no longer exists","Αυτός ο κανόνας πλέον δεν υπάρχει"
"To Date","Μέχρι Ημερομηνία"
"Unable to apply rules","Αδύνατον να γίνει εφαρμογή των κανόνων"
"Unable to find a page to delete","Αδύνατο να βρεθεί σελίδα για διαγραφή"
"Update product's %s %s: %s","Ενημέρωση προϊόντος %s %s: %s"
"Websites","Ιστότοποι"
"Yes","Ναι"
