"Abandoned carts","Εγκαταλελλειμένα καλάθια"
"Action","Action"
"Add to Cart","Αγορά"
"Add to Compare","Προσθήκη για σύγκριση"
"Add to Wishlist","Προσθήκη στα επιθυμητά"
"Applied Coupon","Εφαρμοσμένο Κουπόνι"
"Avg. approved rating","Avg. approved rating"
"Avg. rating","Avg. rating"
"Bestsellers","Καλύτερες Πωλήσεις (Bestsellers)"
"Bought from wishlists","Αγορασμένα από τα επιθυμιτά"
"CSV","CSV"
"Carrier/Method","Μεταφορέας/Μέθοδος"
"Carts","Καλάθια"
"Coupons","Κουπόνια"
"Created at","Δημιουργήθηκε στις"
"Customer","Πελάτης"
"Customer Name","Όνομα Πελάτη"
"Customer Tags","Ετικέτες Πελάτη"
"Customers","Πελάτες"
"Customers Report","Αναφορά Πελατών"
"Customers Reviews","Αξιολογήσεις Πελατών"
"Customers Tags","Ετικέτες Πελατών"
"Customers by number of orders","Πελάτες ανά αριθμό παραγγελιών"
"Customers by orders total","Πελάτες ανά σύνολα παραγγελιών"
"Customers that have wishlist: %s%","Πελάτες που έχουν λίστα επιθυμητών: %s%"
"Day","Ημέρα"
"Default Recently Compared Products count","Default Recently Compared Products count"
"Default Recently Viewed Products count","Default Recently Viewed Products count"
"Detail","Λεπτομέρεια"
"Discounts","Εκπτώσεις"
"Downloads","Downloads"
"Email","Email"
"Excel","Excel"
"First Name","Όνομα"
"Guest","Επισκέπτης"
"Hits","Εμφανίσεις (hits)"
"ID","ID"
"Invalid date specified","Invalid date specified"
"Invoiced","Τιμολογημένα"
"Items Ordered","Παραγγελμένα Προϊόντα"
"Items in Cart","Προϊόντα στο Καλάθι"
"Last Name","Επίθετο"
"Last Review","Τελευταία Αξιολόγηση"
"Link","Link"
"Low stock","Χαμηλό απόθεμα"
"Month","Μήνα"
"Most Viewed","Περισσότερες Εμφανίσεις"
"Most viewed","Περισσότερες εμφανίσεις"
"Name","Όνομα"
"New Accounts","Νέοι Λογαριασμοί"
"Number Added","Αριθμός Προστέθηκε"
"Number Fulfilled","Αριθμός Συμπληρώθηκε"
"Number Of Historical Uses","Αριθμός Ιστορικών Χρήσεων"
"Number Of Reviews","Αριθμός Αξιολογήσεων"
"Number Of Uses","Αριθμός Χρήσεων"
"Number Purchased","Αριθμός Αγορών"
"Number Viewed","Αριθμός Εμφανίσεων"
"Number of Items","Αριθμός Προϊόντων"
"Number of Ivoiced Orders","Number of Ivoiced Orders"
