"%d Review(s)","%d Αξιολόγηση(εις)"
"%s Review(s)","%s Αξιολόγηση(εις)"
"(Posted on %s)","(Αναρτήθηκε στις %s)"
"1 star","1 αστέρι"
"2 stars","2 αστέρια"
"3 stars","3 αστέρια"
"4 stars","4 αστέρια"
"5 stars","5 αστέρια"
"Add New Review","Προσθήκη Νέας Αξιολόγησης"
"Add Your Review","Προσθήκη της Αξιολόγησης σας"
"Administrator","Διαχειριστής"
"All Reviews","Όλες οι Αξιολογήσεις"
"All reviews of customer `%s`","All reviews of customer `%s`"
"Allow guests to write reviews","Allow guests to write reviews"
"Are you sure you want to do this?","Είστε βέβαιοι ότι θέλετε να το κάνετε αυτό;"
"Are you sure?","Είστε σίγουροι;"
"Average Customer Rating","Μέση Βαθμολογία Πελατών"
"Average Customer Rating:","Μέση Βαθμολογία Πελατών:"
"Back","Πίσω"
"Back to Main Product Info","Επιστροφή στη βασική σελίδα στοιχείων προϊόντος"
"Back to My Reviews","Επιστροφή στις Αξιολογήσεις μου"
"Back to Product Reviews","Επιστροφή στις Αξιολογήσεις Προϊόντων"
"Be the first to review this product","Γράψτε πρώτος μια αξιολόγηση για αυτό το προϊόν"
"Created On","Δημιουργήθηκε στις"
"Customer","Πελάτης"
"Customer Reviews","Αξιολογήσεις Πελατών"
"Delete","Διαγραφή"
"Delete Review","Διαγραφή Αξιολόγησης"
"Detailed Rating","Λεπτομερής Βαθμολογία"
"Edit Review '%s'","Επεξεργασία Αξιολόγησης '%s'"
"Guest","Επισκέπτης"
"How do you rate this product?","Πως βαθμολογείτε αυτό το προϊόν;"
"ID","ID"
"Manage Ratings","Manage Ratings"
"My Product Reviews","Οι Αξιολογήσεις Προϊόντων μου"
"My Recent Reviews","Οι Πρόσφατες Αξιολογήσεις μου"
"Name","Όνομα"
"Name In Store","Όνομα στο Κατάστημα"
"New Review","Νέα Αξιολόγηση"
"Nickname","Ψευδώνυμο"
"Pending Reviews","Αξιολογήσεις σε Αναμονή"
"Pending reviews","Pending reviews"
"Pending reviews of customer `%s`","Pending reviews of customer `%s`"
"Please select a product","Παρακαλούμε επιλέξτε ένα προϊόν"
"Please select one of each of the ratings above","Παρακαλώ επιλέξτε ένα από το καθένα από τις παραπάνω βαθμολογίες"
"Posted By","Αναρτήθηκε από"
"Price","Τιμή"
"Product","Προϊόν"
"Product Name","Όνομα Προϊόντος"
"Product Rating","Βαθμολογία Προϊόντος"
"Product Rating:","Βαθμολογία Προϊόντος:"
"Product Review (submitted on %s):","Αξιολόγηση Προϊόντος (υποβλήθηκε στις %s):"
"Product Reviews","Αξιολογήσεις Προϊόντος"
"Product SKU","SKU Προϊόντος"
"Qty","Ποσ."
"Rating:","Βαθμολογία:"
"Review","Αξιολόγηση"
"Review Details","Λεπτομέρειες Αξιολόγησης"
"Review by %s","Αξιολόγηση από %s"
"Reviews and Ratings","Reviews and Ratings"
"SKU","SKU"
"Save Review","Αποθήκευση Αξιολόγησης"
"Status","Κατάσταση"
"Submit Review","Υποβολή Αξιολόγησης"
"Summary Rating","Βαθμολογία Περίληψης"
"Summary of Review","Περίληψη Αξιολόγησης"
"Summary of Your Review","Περίληψη της Αξιολόγησης σας"
"Summary of review","Περίληψη αξιολόγησης"
"Title","Τίτλος"
"Type","Τύπος"
"Unable to post review. Please, try again later.","Αδύνατη η υποβολή της αξιολόγησης. Παρακαλούμε, προσπαθήστε ξανά αργότερα"
"Update status","Ενημέρωση Κατάστασης"
"View All Reviews","Προβολή Όλων των Αξιολογήσεων"
"View Details","Εμφάνιση Λεπτομερειών"
"Visible In","Ορατή σε"
"Websites","Websites"
"Write Your Own Review","Γράψτε τη Δικιά σας Αξιολόγηση"
"You have submitted no reviews.","Δεν έχετε υποβάλει καμία αξιολόγηση."
"You're reviewing: %s","Αξιολογείτε : %s"
"Your Rating:","Η Βαθμολογία σας:"
"Your Review (submitted on %s):","Η Αξιολόγηση σας (υποβλήθηκε στις %s):"
"Your review has been accepted for moderation","Η αξιολόγηση σας έγινε δεκτή και περιμένει έγκριση"
"OR","OR"
"My Product Reviews","My Product Reviews"
